alderman,sample_scope,n_rezonings,downzone_share,mean_far_change_raw,alderman_fe_raw,alderman_se,shrinkage_B,alderman_fe_shrunk,strictness_index,n_rezonings_all_approved,downzone_share_all_approved,mean_far_change_raw_all_approved
Eugene Schulter,all_rezonings,2,0.5,-1.05,-1.2135974984494573,0.33630905390644794,0.7208818508725545,-0.8410181508316382,0.8410181508316382,2,0.5,-1.05
Patrick Levar,all_rezonings,2,0,0,-2.41714109678216,0.7924744696137944,0.3174708118388288,-0.7524678757882758,0.7524678757882758,5,0.2,0.21000000000000002
Angela Clay,all_rezonings,3,0,0.36666666666666664,-1.1006061050265845,0.3629918451715741,0.6891482775242461,-0.726128294366457,0.726128294366457,12,0,1.675
Ray Suarez,all_rezonings,3,0.3333333333333333,-0.33333333333333337,-0.966630936474518,0.2988032225899905,0.7659049226838542,-0.7043914956652836,0.7043914956652836,13,0.23076923076923078,0.2076923076923076
Lamont Robinson,all_rezonings,1,1,-1,-1.2409430513706403,0.521935197126755,0.5174464886399478,-0.6178297678072461,0.6178297678072461,9,0.1111111111111111,0.8555555555555556
Harry Osterman,all_rezonings,6,0,0.35,-1.0312699791522721,0.4925901282035064,0.5462539457576217,-0.5376910540070686,0.5376910540070686,23,0.21739130434782608,0.26086956521739124
Bill Conway,all_rezonings,3,0.3333333333333333,-0.33333333333333337,-0.6739845337443269,0.22720446597831304,0.8498213396209539,-0.5328710324271367,0.5328710324271367,7,0.14285714285714285,0.4285714285714287
Marty Quinn,all_rezonings,21,0.7142857142857143,-0.21428571428571422,-0.7159589268258895,0.32748783677612797,0.7314514913132397,-0.4893507661427587,0.4893507661427587,39,0.5897435897435898,-0.1384615384615384
Patrick Daley Thompson,all_rezonings,40,0.375,0.1374999999999999,-0.5578244441811677,0.14978001775923838,0.9286785694647592,-0.4744421967646102,0.4744421967646102,105,0.3523809523809524,0.06809523809523801
Michele Smith,all_rezonings,38,0.3157894736842105,0.16315789473684209,-0.5433221372856588,0.14542072509992882,0.9324935435811291,-0.4628678786309509,0.4628678786309509,63,0.2857142857142857,0.0888888888888889
Joe Moore,all_rezonings,8,0.25,-0.35625,-0.8903706052128175,0.5269282740374389,0.5126903482191745,-0.4324158389614196,0.4324158389614196,35,0.14285714285714285,0.4742857142857143
Carlos Ramirez-Rosa,all_rezonings,16,0.375,-0.14375000000000007,-0.4542900819967197,0.19287995146728057,0.8870308717350246,-0.3613270952207521,0.3613270952207521,66,0.22727272727272727,0.3340909090909091
Michelle A. Harris,all_rezonings,16,0.3125,-0.15937500000000013,-0.6672524318121775,0.45983294524316287,0.5800977429194036,-0.35983856967777655,0.35983856967777655,40,0.375,-0.20750000000000013
Monique Scott,all_rezonings,1,1,-1.0000000000000002,-0.8910473147564375,0.6391940551895767,0.41689934266925793,-0.35190543322977286,0.35190543322977286,33,0.6363636363636364,-0.1454545454545453
Patrick O'Connor,all_rezonings,23,0.30434782608695654,0.38260869565217387,-0.5376587030824682,0.34705677251207284,0.7080484001292531,-0.34744859903051667,0.34744859903051667,54,0.16666666666666666,0.4074074074074074
Anthony Beale,all_rezonings,27,0.6296296296296297,-0.3462962962962963,-0.6942328644081508,0.5193266718136464,0.5199481433287485,-0.3365557903790246,0.3365557903790246,65,0.5384615384615384,-0.37692307692307697
Timothy Cullerton,all_rezonings,13,0.3076923076923077,0.18846153846153849,-0.4100285028784634,0.19184422020131456,0.8881054714149557,-0.3224558768390391,0.3224558768390391,22,0.22727272727272727,0.16818181818181818
Pat Dowell,all_rezonings,14,0.5,-0.3928571428571429,-0.41540003783089685,0.21740135023252322,0.8607353257147333,-0.3171417158756956,0.3171417158756956,74,0.33783783783783783,-0.01486486486486491
Sophia King,all_rezonings,5,0.6,-2.92,-0.42294778391451526,0.2558138440324917,0.8169773049669548,-0.30718521795759723,0.30718521795759723,17,0.4117647058823529,-0.47058823529411764
Brendan Reilly,all_rezonings,8,0.5,-1.125,-2.0254972444921586,1.275457392216454,0.15222970880931108,-0.3011943345714135,0.3011943345714135,29,0.4827586206896552,-1
Raymond Lopez,all_rezonings,15,0.3333333333333333,0.18000000000000002,-0.4353932352579204,0.29565566060960374,0.7696808927655127,-0.29898069168511615,0.29898069168511615,45,0.2,0.29666666666666663
Jeanette Taylor,all_rezonings,1,0,0.25,-0.5342309816610142,0.4598480957386386,0.5800816919498639,-0.28266530528304934,0.28266530528304934,10,0,0.705
Dick Mell,all_rezonings,3,0.3333333333333333,0.43333333333333324,-0.4202095916223718,0.30956017761012533,0.7529849833753041,-0.28106215018624947,0.28106215018624947,6,0.16666666666666666,0.5666666666666667
Debra Silverstein,all_rezonings,10,0.1,0.20000000000000004,-0.4803713451827649,0.40983251755271255,0.6349249851620797,-0.27519280924591544,0.27519280924591544,34,0.23529411764705882,0.08088235294117636
Samantha Nugent,all_rezonings,3,0,0.6,-0.43428141898136996,0.3569010900601485,0.6963515046627408,-0.26972185229927026,0.26972185229927026,21,0,0.5785714285714286
