alderman,strictness_index,winner_candidate,n_rezonings,imputed_zero_rezonings
Proco Joe Moreno,0.11560524772136402,eb_down_share_t0,322,0
Ray Frias,0.15951856442985446,eb_down_share_t0,0,1
Ray Suarez,0.20959380168171748,eb_down_share_t0,13,0
Raymond Lopez,0.1962753356944383,eb_down_share_t0,45,0
Rey Colon,0.11429248632550935,eb_down_share_t0,37,0
Ricardo Munoz,0.09592315525858384,eb_down_share_t0,34,0
Robert Fioretti,0.2684308590136565,eb_down_share_t0,38,0
Robert Shaw,0.15951856442985446,eb_down_share_t0,0,1
Roberto Maldonado,0.1827458684347057,eb_down_share_t0,213,0
Roderick Sawyer,0.21020491275865025,eb_down_share_t0,32,0
Ronnie Mosley,0.14268353116167828,eb_down_share_t0,36,0
Rossana Rodriguez-Sanchez,0.05359396217550484,eb_down_share_t0,42,0
Ruth Cruz,0.1502955610908215,eb_down_share_t0,14,0
Sam Burrell,0.15951856442985446,eb_down_share_t0,0,1
Samantha Nugent,0.00664281457135999,eb_down_share_t0,21,0
Sandi Jackson,0.08917262217705804,eb_down_share_t0,3,0
Scott Waguespack,0.2352840181499631,eb_down_share_t0,219,0
Sharon Denise Dixon,0.07149565250346637,eb_down_share_t0,4,0
Shirley Coleman,0.15951856442985446,eb_down_share_t0,0,1
Shirley Newsome,0.15951856442985446,eb_down_share_t0,0,1
Silvana Tabares,0.15871569737110663,eb_down_share_t0,13,0
Sophia King,0.32678384257837995,eb_down_share_t0,17,0
Stephanie Coleman,0.10478993402330408,eb_down_share_t0,31,0
Susan Sadlowski Garza,0.07972986352678374,eb_down_share_t0,16,0
Ted Thomas,0.15951856442985446,eb_down_share_t0,0,1
Terry Gabinski,0.15951856442985446,eb_down_share_t0,0,1
Terry Peterson,0.15951856442985446,eb_down_share_t0,0,1
Theodore Matlak,0.08917262217705804,eb_down_share_t0,3,0
Thomas Allen,0.1684401653693039,eb_down_share_t0,6,0
Thomas Murphy,0.15951856442985446,eb_down_share_t0,0,1
Timmy Knudsen,0.0061039176114331,eb_down_share_t0,22,0
Timothy Cullerton,0.21351707197674769,eb_down_share_t0,22,0
Todd Stroger,0.15951856442985446,eb_down_share_t0,0,1
Tom Tunney,0.1475453444928067,eb_down_share_t0,116,0
Toni Foulkes,0.1169822256753193,eb_down_share_t0,19,0
Toni Preckwinkle,0.15951856442985446,eb_down_share_t0,0,1
Vi Daley,0.2000205472167193,eb_down_share_t0,14,0
Vilma Colom,0.15951856442985446,eb_down_share_t0,0,1
Virgil E. Jones,0.1107713544531586,eb_down_share_t0,2,0
Virginia Rugai,0.15951856442985446,eb_down_share_t0,0,1
"Walter Burnett, Jr.",0.11818266728098788,eb_down_share_t0,298,0
William Banks,0.1107713544531586,eb_down_share_t0,2,0
William Beavers,0.15951856442985446,eb_down_share_t0,0,1
William D. Burns,0.15871569737110663,eb_down_share_t0,13,0
William Hall,0.1547468053426659,eb_down_share_t0,7,0
Willie Cochran,0.11914254278895996,eb_down_share_t0,27,0
