alderman,n_rezonings,n_downzones_lt0,n_downzones_le0_1,n_upzones_gt0,n_upzones_ge0_1,mean_far_change,n_total_t0,n_down_t0,n_up_t0,raw_down_share_t0,eb_down_share_t0,raw_far_down_share_t0,eb_far_down_share_t0,eb_net_restrictive_t0,comp_adj_down_t0,n_total_t01,n_down_t01,n_up_t01,raw_down_share_t01,eb_down_share_t01,raw_far_down_share_t01,eb_far_down_share_t01,eb_net_restrictive_t01,comp_adj_down_t01,imputed_zero_rezonings
Ameya Pawar,109,13,13,76,76,0.681651376146789,109,13,76,0.11926605504587157,0.12119758123805524,0.13108242303872905,0.1414428368987576,0.2159075734095195,0.28145764291550995,109,13,76,0.11926605504587157,0.12119758123805524,0.13108242303872905,0.1414428368987576,0.2159075734095195,0.28145764291550995,0
Anabel Abarca,4,0,0,2,2,0.9,4,0,2,0,0.07149565250346637,0,0.1662843428582383,0.2589941304991552,0.2145597243812841,4,0,2,0,0.07149565250346637,0,0.1662843428582383,0.2589941304991552,0.2145597243812841,0
Andre Vasquez,46,2,2,34,34,0.8608695652173913,46,2,34,0.043478260869565216,0.04871590313843886,0.045871559633027525,0.06351807306072267,0.16550786053598637,0.19833159367265357,46,2,34,0.043478260869565216,0.04871590313843886,0.045871559633027525,0.06351807306072267,0.16550786053598637,0.19833159367265357,0
Angela Clay,12,0,0,9,9,1.675,12,0,9,0,0.017478571102222763,0,0.03298576814656311,0.1644308099436979,0.13207003722910987,12,0,9,0,0.017478571102222763,0,0.03298576814656311,0.1644308099436979,0.13207003722910987,0
Anthony Beale,65,35,35,17,17,-0.37692307692307697,65,35,17,0.5384615384615384,0.49003648365125874,0.7411417322834648,0.6337514640114089,0.598124198144469,0.8276008781984859,65,35,17,0.5384615384615384,0.49003648365125874,0.7411417322834648,0.6337514640114089,0.598124198144469,0.8276008781984859,0
Anthony Napolitano,20,0,0,13,13,0.525,20,0,13,0,0.007255198623699487,0,0.06480394967820352,0.1886378051095951,0.29476349580707467,20,0,13,0,0.007255198623699487,0,0.06480394967820352,0.1886378051095951,0.29476349580707467,0
Arenda Troutman,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Ariel Reboyras,92,5,5,68,68,0.5467391304347825,92,5,68,0.05434782608695652,0.05707130562291409,0.06031468531468536,0.07347912650341987,0.16474393387526154,0.30362296367232955,92,5,68,0.05434782608695652,0.05707130562291409,0.06031468531468536,0.07347912650341987,0.16474393387526154,0.30362296367232955,0
Barbara Holt,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Bennett Lawson,19,0,0,14,14,0.95,19,0,14,0,0.007954815457220123,0,0.02787863759302779,0.1568417445469228,0.07586106764141158,19,0,14,0,0.007954815457220123,0,0.02787863759302779,0.1568417445469228,0.07586106764141158,0
Bernard Stone,2,1,1,1,1,0.3750000000000001,2,1,1,0.5,0.24605684179086154,0.19999999999999996,0.23007671131641175,0.3419889830788354,0.32669189070642357,2,1,1,0.5,0.24605684179086154,0.19999999999999996,0.23007671131641175,0.3419889830788354,0.32669189070642357,0
Bernie Hansen,3,0,0,1,1,0.5,3,0,1,0,0.08917262217705804,0,0.20831848841880107,0.29226141704779396,0.08249804950023325,3,0,1,0,0.08917262217705804,0,0.20831848841880107,0.29226141704779396,0.08249804950023325,0
Bill Conway,7,1,1,3,3,0.4285714285714287,7,1,3,0.14285714285714285,0.1547468053426659,0.2857142857142857,0.24330988267144663,0.3218500406871633,0.28125928732782507,7,1,3,0.14285714285714285,0.1547468053426659,0.2857142857142857,0.24330988267144663,0.3218500406871633,0.28125928732782507,0
Billy Ocasio,7,0,0,7,7,1.342857142857143,7,0,7,0,0.038738983822857585,0,0.08347151792994914,0.06484850254070706,0.15234882313803325,7,0,7,0,0.038738983822857585,0,0.08347151792994914,0.06484850254070706,0.15234882313803325,0
Brendan Reilly,29,14,14,10,10,-1,29,14,10,0.4827586206896552,0.4043939031653151,0.6986301369863014,0.5270057968050935,0.5033196279218173,0.688162977635716,29,14,10,0.4827586206896552,0.4043939031653151,0.6986301369863014,0.5270057968050935,0.5033196279218173,0.688162977635716,0
Brian Doherty,2,1,1,1,1,-0.1000000000000002,2,1,1,0.5,0.24605684179086154,0.5555555555555557,0.2775626311983912,0.3419889830788354,0.4797388347012869,2,1,1,0.5,0.24605684179086154,0.5555555555555557,0.2775626311983912,0.3419889830788354,0.4797388347012869,0
Brian Hopkins,92,5,5,51,51,0.4945652173913043,92,5,51,0.05434782608695652,0.05707130562291409,0.13946117274167996,0.1536575059538912,0.25010868203681996,0.10961428531658442,92,5,51,0.05434782608695652,0.05707130562291409,0.13946117274167996,0.1536575059538912,0.25010868203681996,0.10961428531658442,0
Burton Natarus,2,0,0,0,0,0,2,0,0,0,0.1107713544531586,0.23400316220489456,0.23400316220489456,0.3700463968002169,0.24544336386318208,2,0,0,0,0.1107713544531586,0.23400316220489456,0.23400316220489456,0.3700463968002169,0.24544336386318208,0
Byron Sigcho-Lopez,92,5,5,74,74,1.2141304347826087,92,5,74,0.05434782608695652,0.05707130562291409,0.04108463434675435,0.0482602771940572,0.13315664835083463,0.1258816553287371,92,5,74,0.05434782608695652,0.05707130562291409,0.04108463434675435,0.0482602771940572,0.13315664835083463,0.1258816553287371,0
Carlos Ramirez-Rosa,66,15,15,42,42,0.3340909090909091,66,15,42,0.22727272727272727,0.22177620926851316,0.3202933985330076,0.3020500458093623,0.29587869634515196,0.48459777671910054,66,15,42,0.22727272727272727,0.22177620926851316,0.3202933985330076,0.3020500458093623,0.29587869634515196,0.48459777671910054,0
Carrie Austin,28,2,2,16,16,0.2375,28,2,16,0.07142857142857142,0.0811621522565748,0.10179640718562873,0.14281109304057488,0.253617603872881,0.300039902140121,28,2,16,0.07142857142857142,0.0811621522565748,0.10179640718562873,0.14281109304057488,0.253617603872881,0.300039902140121,0
Charles Bernardini,1,0,0,1,1,0.1999999999999999,1,0,1,0,0.13457546504844933,0,0.21643642812441255,0.2305345855826223,0.22671759594691265,1,0,1,0,0.13457546504844933,0,0.21643642812441255,0.2305345855826223,0.22671759594691265,0
Chris Taliaferro,51,2,2,33,33,0.45882352941176463,51,2,33,0.0392156862745098,0.04369530754119598,0.10472972972972973,0.13243820330198902,0.20299915560876364,0.29977302383788307,51,2,33,0.0392156862745098,0.04369530754119598,0.10472972972972973,0.13243820330198902,0.20299915560876364,0.29977302383788307,0
Daniel La Spata,78,11,11,52,52,0.6205128205128205,78,11,52,0.14102564102564102,0.14276707142316705,0.22562358276644004,0.22700715822804707,0.24215789411933758,0.31790889895870666,78,11,52,0.14102564102564102,0.14276707142316705,0.22562358276644004,0.22700715822804707,0.24215789411933758,0.31790889895870666,0
Daniel Solis,128,14,14,94,94,0.742578125,128,14,94,0.109375,0.11121178786282147,0.13845568657284152,0.14610514065969374,0.19257699120721922,0.21602746840926165,128,14,94,0.109375,0.11121178786282147,0.13845568657284152,0.14610514065969374,0.19257699120721922,0.21602746840926165,0
Darcel Beavers,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
David Moore,33,5,5,20,20,0.6621212121212121,33,5,20,0.15151515151515152,0.15410768242216216,0.13153456998313653,0.15935397403218238,0.2765899902664246,0.3682919579096125,33,5,20,0.15151515151515152,0.15410768242216216,0.13153456998313653,0.15935397403218238,0.2765899902664246,0.3682919579096125,0
Deb Mell,60,12,12,41,41,0.61,60,12,41,0.2,0.19711701749316993,0.23744619799139177,0.23672164087238556,0.26294579490196984,0.40095113137032823,60,12,41,0.2,0.19711701749316993,0.23744619799139177,0.23672164087238556,0.26294579490196984,0.40095113137032823,0
Deborah Graham,11,4,4,4,4,-0.2045454545454546,11,4,4,0.36363636363636365,0.2785775466601804,0.6573426573426574,0.38273658481911865,0.4110613154541814,0.7764968020460359,11,4,4,0.36363636363636365,0.2785775466601804,0.6573426573426574,0.38273658481911865,0.4110613154541814,0.7764968020460359,0
Debra Silverstein,34,8,8,18,18,0.08088235294117636,34,8,18,0.23529411764705882,0.22395393878886585,0.44353182751540043,0.35007119869809333,0.3417095684188516,0.4747274137093993,34,8,18,0.23529411764705882,0.22395393878886585,0.44353182751540043,0.35007119869809333,0.3417095684188516,0.4747274137093993,0
Derrick Curtis,14,0,0,0,0,0,14,0,0,0,0.013538691329197114,0.23400316220489456,0.23400316220489456,0.48485072998657824,0.1866982643406102,14,0,0,0,0.013538691329197114,0.23400316220489456,0.23400316220489456,0.48485072998657824,0.1866982643406102,0
Desmon Yancy,3,2,2,0,0,-0.7000000000000001,3,2,0,0.6666666666666666,0.31818062633656263,1,0.40666382385462485,0.5109909201454095,0.6251068209369759,3,2,0,0.6666666666666666,0.31818062633656263,1,0.40666382385462485,0.5109909201454095,0.6251068209369759,0
Dick Mell,6,1,1,2,2,0.5666666666666667,6,1,2,0.16666666666666666,0.1684401653693039,0.11363636363636367,0.2047963795693694,0.3486969418363005,0.3501862331378888,6,1,2,0.16666666666666666,0.1684401653693039,0.11363636363636367,0.2047963795693694,0.3486969418363005,0.3501862331378888,0
Dorothy Tillman,0,NA,NA,NA,NA,NA,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,NA,NA,NA,0.17957709731699936,0.15951856442985446,0.24076237112802001,0.22395526786302844,0.3024891964583614,0.3452881136642819,1
Ed Burke,30,1,1,19,19,0.425,30,1,19,0.03333333333333333,0.041051461532530024,0.06779661016949153,0.11550344346980727,0.20959263591408428,0.2059861472508165,30,1,19,0.03333333333333333,0.041051461532530024,0.06779661016949153,0.11550344346980727,0.20959263591408428,0.2059861472508165,0
Ed Smith,9,2,2,5,5,1.2,9,2,5,0.2222222222222222,0.1998916436106526,0.09090909090909094,0.16230655503800367,0.3158341746663793,0.3515487575980095,9,2,5,0.2222222222222222,0.1998916436106526,0.09090909090909094,0.16230655503800367,0.3158341746663793,0.3515487575980095,0
