File: split_pairs.parquet
Rows: 42942
Columns: 11
SHA-256 (saved bytes): a94b262abed917a5167c8289d9f012d23b9ac003cd102ba070b9319067302c09
Key: cutoff, method, draw, pair
Types: Stored Parquet schema.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

      column inferred_type non_missing distinct                min                max                mean                 sd
        pair       VARCHAR       42942      377                  -                  -                   -                  -
  alderman_a       VARCHAR       42942       88                  -                  -                   -                  -
  alderman_b       VARCHAR       42942       96                  -                  -                   -                  -
baseline_gap        DOUBLE       42942      421 -4.616253377138877  4.508636335552829  0.0702414027281102 1.2918275488802526
       gap_a        DOUBLE       41028    41028  -5.77121004588487  5.687431997169457 0.06829952686163163 1.2991513853002599
       gap_b        DOUBLE       40960    40960 -6.099694227569996 5.5328418994927455 0.06598511962541573  1.298579681187606
      usable       BOOLEAN       42942        2                  -                  -                   -                  -
      cutoff       INTEGER       42942        2               2014               2022  2021.1638954869359  2.447428208550558
      method       VARCHAR       42942        4                  -                  -                   -                  -
        draw       INTEGER       42942       50                  1                 50  25.019607843137255 14.687086885587226
       agree       BOOLEAN       42942        2                  -                  -                   -                  -
