matter_id,census_block_id,assignment_source,evidence,overlap_sqft,is_representative
O2011-845,170314601001031,ordinance_legal_description,South Works legal boundary reaches the block east of S Green Bay Avenue,NA,FALSE
O2011-845,170314601001032,ordinance_legal_description,"South Works legal boundary includes the block bounded by E 86th Street, E 87th Street, and S Burley Avenue",NA,TRUE
O2011-9720,170313302002017,ordinance_legal_description_and_parcel,Official boundary and 1615 S Clark parcels fall in this block,NA,TRUE
O2012-6644,170318356002027,city_zoning_clerk_document,City zoning polygon linked to O2012-6644,10947.601441949606,TRUE
O2012-6644,170318356002028,city_zoning_clerk_document,City zoning polygon linked to O2012-6644,5149.131837704508,FALSE
O2016-1620,170315304002001,city_zoning_clerk_document,City zoning polygon linked to O2016-1620,20716.19698044192,FALSE
O2016-1620,170315304002002,city_zoning_clerk_document,City zoning polygon linked to O2016-1620,144636.15117020905,TRUE
O2016-1620,170315304002003,city_zoning_clerk_document,City zoning polygon linked to O2016-1620,330.9854255146929,FALSE
O2016-1620,170315304002004,city_zoning_clerk_document,City zoning polygon linked to O2016-1620,1810.1792724659972,FALSE
O2016-1620,170315304002015,city_zoning_clerk_document,City zoning polygon linked to O2016-1620,5663.680671423674,FALSE
O2016-1620,170315304002016,city_zoning_clerk_document,City zoning polygon linked to O2016-1620,12169.817641087808,FALSE
O2016-1620,170315304002017,city_zoning_clerk_document,City zoning polygon linked to O2016-1620,17081.301297090948,FALSE
O2018-3281,170310306031003,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,46843.62363963062,FALSE
O2018-3281,170310306031004,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,40927.82271453738,FALSE
O2018-3281,170310307011004,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,54190.78273445172,TRUE
O2018-3281,170310307031001,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,47120.07934331894,FALSE
O2018-3281,170310307031003,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,46614.97344923488,FALSE
O2018-3281,170310307033001,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,149.95450866222382,FALSE
O2018-3281,170310307033002,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,47672.34435361624,FALSE
O2018-3281,170310312002003,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,33541.80967534028,FALSE
O2018-3281,170310312002004,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,11302.525092950455,FALSE
O2018-3281,170310312002005,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,17465.630446333962,FALSE
O2018-3281,170310312002006,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,48787.51030040328,FALSE
O2018-3281,170310312002007,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,252.83007531044564,FALSE
O2018-3281,170310312003002,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,25868.77743028626,FALSE
O2018-3281,170310312003006,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,53024.07683739817,FALSE
O2018-3281,170318307002004,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,132.1178578734398,FALSE
O2018-3281,170318307002005,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,36353.62359447181,FALSE
O2018-3281,170318307002006,city_zoning_ordinance,City T-district polygon linked to ordinance A8390,9747.855462772233,FALSE
SO2011-8028,170318330002020,ordinance_common_address_parcel,"Official 1241 W Fulton Market address, PIN 17083200030000",NA,TRUE
SO2013-8665,170312229001007,city_zoning_ordinance,City PD 733 polygon linked to ordinance A7964,202438.01710790396,TRUE
SO2014-2421,170312222002010,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,39659.521660387516,TRUE
SO2014-2421,170312222002013,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,290.130174851176,FALSE
SO2014-2421,170312222002015,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,3413.8322597970255,FALSE
SO2014-2421,170312225001012,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,100.03566408292454,FALSE
SO2014-2421,170312225001014,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,133.64935220277403,FALSE
SO2014-2421,170312226001012,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,821.8731835223734,FALSE
SO2014-2421,170312226001013,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,741.4034255607985,FALSE
SO2014-2421,170312226001014,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,1080.799866565445,FALSE
SO2014-2421,170312226001015,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,16905.85960773239,FALSE
SO2014-2421,170312226001026,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,956.5841993459035,FALSE
SO2014-2421,170312226001027,city_zoning_ordinance,City zoning polygons linked to 606 Trail ordinance MA181,135.14259058624157,FALSE
