pin,manual_residential_units,unit_override_reason
14303140460000,34,Permit/public records describe 34 dwelling units; source bedroom-count detail reports only 30 two-bedroom units.
17151100370000,524,University Center student housing: CCAO apartment-unit fields appear to count beds rather than dwelling units.
