project_id,permit_id
commercial_11321130260000,1755928
commercial_11321130300000,1733520
commercial_11321140130000,2268135
commercial_11323190150000,2372381
commercial_11323200060000,3007230
commercial_11323300400000,2630458
commercial_11323310340000,1877571
commercial_11323310340000,1885283
commercial_11323310340000,1923410
commercial_13114290270000,1866659
commercial_13114310260000,2468380
commercial_13124030470000,3080050
commercial_13131250240000,2775355
commercial_13132050020000,2733548
commercial_13132140280000,2749495
commercial_13132140280000,2757795
commercial_13133070270000,1864545
commercial_13134060560000,2381393
commercial_13134080510000,2911995
commercial_13142030200000,1851287
commercial_13143060050000,2460153
commercial_13143060050000,2467203
commercial_13143060050000,2467215
commercial_13143060050000,2467219
commercial_13143110250000,2823469
commercial_13144020050000,2930754
commercial_13144290420000,2705963
commercial_13144310040000,2619537
commercial_13151040020000,1646289
commercial_13153180750000,1819314
commercial_13154100160000,3095996
commercial_13162300320000,2727135
commercial_13171051090000,3176976
commercial_13171051100000,1813709
commercial_13171051100000,2233835
commercial_13171051110000,3176986
commercial_13202270270000,2971092
commercial_13224350220000,3139156
commercial_13224350220000,3139157
commercial_13224350220000,3139158
commercial_13224350220000,3139159
commercial_13224350220000,3139160
commercial_13224350220000,3139162
commercial_13224350220000,3139163
commercial_13224350220000,3139164
commercial_13224350220000,3139165
commercial_13224360410000,3118487
commercial_13224360410000,3170657
commercial_13233300310000,2846457
commercial_13242130150000,2991123
commercial_13243160170000,3117690
commercial_13243220400000,1642064
commercial_13251040090000,2887410
commercial_13252280380000,3115423
commercial_13252280400000,2949502
commercial_13252280420000,3058008
commercial_13253150240000,1814686
commercial_13253150250000,1724694
commercial_13253220370000,1733609
commercial_13261040230000,3005854
commercial_13261110140000,3057044
commercial_13261110140000,3124286
commercial_13261150010000,2553484
commercial_13262140850000,2933759
commercial_13264050040000,2749111
commercial_13264050040000,3151684
commercial_13264080450000,3094499
commercial_13264080450000,3168703
commercial_13264080450000,3257262
commercial_13272040010000,3170545
commercial_13281160080000,2513879
commercial_13281160440000,2513868
commercial_13281160440000,2513879
commercial_13283000590000,2752736
commercial_13301010010000,2865306
commercial_13302270040000,2896951
commercial_13312050180000,2991167
commercial_13312050180000,3165962
commercial_13312050180000,3232320
commercial_13312050180000,3356275
commercial_13312140010000,2866070
commercial_13312140010000,2866107
commercial_13312140010000,2866294
commercial_13312140010000,2866322
commercial_13312140010000,2866363
commercial_13312140010000,2866369
commercial_13312140010000,2866377
commercial_13312140010000,2866385
commercial_13312140010000,2991162
commercial_13312140010000,2991172
commercial_13312140010000,2991183
commercial_13312140010000,2991190
commercial_13312140010000,2991198
commercial_13312140010000,2991218
commercial_13312140010000,2991229
commercial_13312140010000,2991233
commercial_13352360210000,2234790
commercial_13353030380000,2234816
commercial_13354020010000,2234799
commercial_13354230170000,2579414
commercial_13361030360000,2795320
commercial_13361030360000,2885308
commercial_13361070300000,2907774
commercial_13361070300000,3250515
commercial_13361070340000,1883458
commercial_13361070340000,1956463
commercial_13361070360000,1745185
commercial_13361150430000,2469622
commercial_13361150670000,1764719
commercial_13361250140000,1811128
commercial_13362040010000,2808541
commercial_13362150350000,2646769
commercial_13362240070000,2652474
commercial_13362250430000,2857573
commercial_13362290490000,2805182
commercial_13363050010000,2716709
commercial_13363150240000,2727732
commercial_13363160220000,2404227
commercial_13363280310000,2844245
commercial_13364000330000,1762224
commercial_13364000330000,1762236
commercial_13364000330000,1762240
commercial_13364000330000,2381553
commercial_13364000330000,2381556
commercial_13364030160000,2699753
commercial_13364040200000,2823943
commercial_13364040200000,2846081
commercial_13364040200000,2877314
commercial_13364040200000,2957694
commercial_13364040260000,2994601
commercial_13364040260000,3024620
commercial_13364090210000,2484326
commercial_13364140420000,2902982
commercial_13364160400000,1802447
commercial_13364240420000,2991393
commercial_13364240570000,2997921
commercial_13364250360000,2541160
commercial_14051050140000,2616278
commercial_14051050280000,2617674
commercial_14052000010000,2909926
commercial_14052000010000,2966361
commercial_14074180020000,2466139
commercial_14074180020000,2500549
commercial_14074180020000,2501564
commercial_14074180020000,2501565
commercial_14074180020000,2501566
commercial_14074180020000,2501567
commercial_14074180020000,2501568
commercial_14074180020000,2501569
commercial_14074180020000,2501570
commercial_14083050540000,3090968
commercial_14083060130000,2593343
commercial_14083060130000,2674406
commercial_14083090220000,2925587
commercial_14083170400000,3096065
commercial_14083170400000,3103493
commercial_14084000010000,2968008
commercial_14084000040000,2817498
commercial_14084040010000,3157156
commercial_14084040010000,3164769
commercial_14084040010000,3284277
commercial_14171000010000,2940391
commercial_14171060100000,1717631
commercial_14171200250000,3122470
commercial_14171200250000,3127588
commercial_14171210100000,2470404
commercial_14172010070000,3072046
commercial_14172010070000,3078353
commercial_14172030160000,3123279
commercial_14172030160000,3131370
commercial_14174150060000,2723820
commercial_14181020390000,2891988
commercial_14181140140000,2897358
commercial_14192240330000,2840290
commercial_14192320210000,1960767
commercial_14193160240000,1700885
commercial_14194130180000,2808254
commercial_14194350290000,2821937
commercial_14194350410000,3092702
commercial_14201040060000,3032834
commercial_14201080160000,2635240
commercial_14201230040000,2886336
commercial_14202020070000,2773741
commercial_14202060010000,3062128
commercial_14202060010000,3137566
commercial_14202060010000,3158732
commercial_14202060010000,3169317
commercial_14202060010000,3206180
commercial_14202200010000,3014856
commercial_14202220280000,2423732
commercial_14202220280000,2427028
commercial_14202220280000,2450401
commercial_14202220280000,2462705
commercial_14202240190000,3142796
