project_id,source_family,source_project_ids,source_addresses,component_pins,project_kind,construction_year,dwelling_units,building_sqft,land_sqft,allow_far,allow_dupac,far,dupac,class_values,external_multifamily,multifamily_source,source_row_ids,tax_year,evidence_ids,decision_references,decision_reason,geometry_source,geometry_evidence,x_3435,y_3435,location_resolved,zoning_group,zoning_year,zoning_source,zoning_note
residential_20041150330000,residential,residential_20041150330000,NA,20041150330000,single_pin_single_card,2014,1,2600,3075,TRUE,TRUE,0.8455284552845529,14.165853658536586,278,FALSE,selected_assessor_class_and_finished_home_count,2004115033000012022,2022,NA,NA,NA,historical_parcel_centroid,517672,1173291.9057634594,1877493.1938780684,TRUE,NA,NA,NA,NA
residential_20041150340000,residential,residential_20041150340000,NA,20041150340000,single_pin_single_card,2014,1,2600,3075,TRUE,TRUE,0.8455284552845529,14.165853658536586,278,FALSE,selected_assessor_class_and_finished_home_count,2004115034000012022,2022,NA,NA,NA,historical_parcel_centroid,517890,1173316.8909987807,1877493.8257057348,TRUE,NA,NA,NA,NA
residential_20041150350000,residential,residential_20041150350000,NA,20041150350000,single_pin_single_card,2014,1,2600,3075,TRUE,TRUE,0.8455284552845529,14.165853658536586,278,FALSE,selected_assessor_class_and_finished_home_count,2004115035000012022,2022,NA,NA,NA,historical_parcel_centroid,517889,1173341.8857653462,1877494.4638744018,TRUE,NA,NA,NA,NA
residential_20041150360000,residential,residential_20041150360000,NA,20041150360000,single_pin_single_card,2014,1,2600,3075,TRUE,TRUE,0.8455284552845529,14.165853658536586,278,FALSE,selected_assessor_class_and_finished_home_count,2004115036000012022,2022,NA,NA,NA,historical_parcel_centroid,517595,1173366.876232163,1877495.0775154014,TRUE,NA,NA,NA,NA
residential_20041150400000,residential,residential_20041150400000,NA,20041150400000,single_pin_single_card,2018,1,2600,3100,TRUE,TRUE,0.8387096774193549,14.051612903225806,278,FALSE,selected_assessor_class_and_finished_home_count,2004115040000012022,2022,NA,NA,NA,historical_parcel_centroid,762325,1173466.8457603657,1877497.6139053886,TRUE,NA,NA,NA,NA
residential_20041150510000,residential,residential_20041150510000,NA,20041150510000,single_pin_single_card,2018,1,2600,3075,TRUE,TRUE,0.8455284552845529,14.165853658536586,278,FALSE,selected_assessor_class_and_finished_home_count,2004115051000012022,2022,NA,NA,NA,historical_parcel_centroid,762323,1173441.8499193087,1877496.974070668,TRUE,NA,NA,NA,NA
residential_20041160220000,residential,residential_20041160220000,NA,20041160220000,single_pin_single_card,2006,1,2200,3100,TRUE,TRUE,0.7096774193548387,14.051612903225806,278,FALSE,selected_assessor_class_and_finished_home_count,2004116022000012022,2022,NA,NA,NA,historical_parcel_centroid,589482,1173962.8252458037,1877510.0017465362,TRUE,NA,NA,NA,NA
residential_20041170390000,residential,residential_20041170390000,NA,20041170390000,single_pin_single_card,2006,1,1920,2792,TRUE,TRUE,0.6876790830945558,15.601719197707736,207,FALSE,selected_assessor_class_and_finished_home_count,2004117039000012022,2022,NA,NA,NA,historical_parcel_centroid,1531963,1171908.3241557311,1877079.6756674857,TRUE,NA,NA,NA,NA
residential_20041170420000,residential,residential_20041170420000,NA,20041170420000,single_pin_single_card,2006,1,2240,2898,TRUE,TRUE,0.7729468599033816,15.031055900621118,278,FALSE,selected_assessor_class_and_finished_home_count,2004117042000012022,2022,NA,NA,NA,historical_parcel_centroid,1531969,1171910.1969036967,1877007.2207696247,TRUE,NA,NA,NA,NA
residential_20041170430000,residential,residential_20041170430000,NA,20041170430000,single_pin_single_card,2006,1,2240,2672,TRUE,TRUE,0.8383233532934131,16.302395209580837,278,FALSE,selected_assessor_class_and_finished_home_count,2004117043000012022,2022,NA,NA,NA,historical_parcel_centroid,1531971,1171910.90211563,1876983.2313909326,TRUE,NA,NA,NA,NA
residential_20041170440000,residential,residential_20041170440000,NA,20041170440000,single_pin_single_card,2007,1,2240,2777,TRUE,TRUE,0.8066258552394671,15.685992077781778,278,FALSE,selected_assessor_class_and_finished_home_count,2004117044000012022,2022,NA,NA,NA,historical_parcel_centroid,1531973,1171911.443418117,1876959.7368619756,TRUE,NA,NA,NA,NA
residential_20041200050000,residential,residential_20041200050000,NA,20041200050000,single_pin_single_card,2008,1,1281,3000,TRUE,TRUE,0.427,14.52,203,FALSE,selected_assessor_class_and_finished_home_count,2004120005000012022,2022,NA,NA,NA,historical_parcel_centroid,569050,1172845.6152623075,1877292.5713335618,TRUE,NA,NA,NA,NA
residential_20041200060000,residential,residential_20041200060000,NA,20041200060000,single_pin_single_card,2015,1,1300,3000,TRUE,TRUE,0.43333333333333335,14.52,203,FALSE,selected_assessor_class_and_finished_home_count,2004120006000012022,2022,NA,NA,NA,historical_parcel_centroid,517082,1172869.6152639065,1877293.151326375,TRUE,NA,NA,NA,NA
residential_20041200080000,residential,residential_20041200080000,NA,20041200080000,single_pin_single_card,2015,1,1300,3000,TRUE,TRUE,0.43333333333333335,14.52,203,FALSE,selected_assessor_class_and_finished_home_count,2004120008000012022,2022,NA,NA,NA,historical_parcel_centroid,517081,1172917.5947374834,1877294.328673659,TRUE,NA,NA,NA,NA
residential_20041200200000,residential,residential_20041200200000,NA,20041200200000,single_pin_single_card,2007,1,2200,2998,TRUE,TRUE,0.733822548365577,14.529686457638425,278,FALSE,selected_assessor_class_and_finished_home_count,2004120020000012022,2022,NA,NA,NA,historical_parcel_centroid,1548617,1172773.629687841,1877290.854736812,TRUE,NA,NA,NA,NA
residential_20041200220000,residential,residential_20041200220000,NA,20041200220000,single_pin_single_card,2006,1,1912,2109,TRUE,TRUE,0.9065908013276435,20.65433854907539,295,FALSE,selected_assessor_class_and_finished_home_count,2004120022000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,589591,1172723.8451155638,1877337.6812022245,TRUE,NA,NA,NA,NA
residential_20041200230000,residential,residential_20041200230000,NA,20041200230000,single_pin_single_card,2006,1,1912,1727,TRUE,TRUE,1.1071221771858715,25.222929936305732,295,FALSE,selected_assessor_class_and_finished_home_count,2004120023000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,589591,1172724.619112595,1877311.3426427261,TRUE,NA,NA,NA,NA
residential_20041200240000,residential,residential_20041200240000,NA,20041200240000,single_pin_single_card,2006,1,1912,1724,TRUE,TRUE,1.1090487238979119,25.26682134570766,295,FALSE,selected_assessor_class_and_finished_home_count,2004120024000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,589591,1172725.2948163578,1877287.642268255,TRUE,NA,NA,NA,NA
residential_20041200250000,residential,residential_20041200250000,NA,20041200250000,single_pin_single_card,2006,1,1912,1725,TRUE,TRUE,1.1084057971014494,25.252173913043478,295,FALSE,selected_assessor_class_and_finished_home_count,2004120025000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,589591,1172726.0311933095,1877263.9633363807,TRUE,NA,NA,NA,NA
residential_20041200260000,residential,residential_20041200260000,NA,20041200260000,single_pin_single_card,2006,1,1912,1814,TRUE,TRUE,1.054024255788313,24.013230429988976,295,FALSE,selected_assessor_class_and_finished_home_count,2004120026000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,589591,1172726.724360203,1877239.6716511676,TRUE,NA,NA,NA,NA
residential_20041200280000,residential,residential_20041200280000,NA,20041200280000,single_pin_single_card,2006,1,4177,3741,TRUE,TRUE,1.1165463779738038,11.643945469125903,208,FALSE,selected_assessor_class_and_finished_home_count,2004120028000012022,2022,NA,NA,NA,same_property_later_exact_parcel_point,590462,1172754.8055465121,1877166.8593883305,TRUE,NA,NA,NA,NA
residential_20041210060000,residential,residential_20041210060000,NA,20041210060000,single_pin_single_card,2014,1,1200,3125,TRUE,TRUE,0.384,13.9392,203,FALSE,selected_assessor_class_and_finished_home_count,2004121006000012022,2022,NA,NA,NA,historical_parcel_centroid,517905,1173084.2364531534,1877223.295117935,TRUE,NA,NA,NA,NA
residential_20041210190000,residential,residential_20041210190000,NA,20041210190000,single_pin_single_card,2021,1,2445,3150,TRUE,TRUE,0.7761904761904762,13.82857142857143,278,FALSE,selected_assessor_class_and_finished_home_count,2004121019000012022,2022,NA,NA,NA,historical_parcel_centroid,1214052,1173397.1224981386,1877305.1617316436,TRUE,NA,NA,NA,NA
residential_20041210230000,residential,residential_20041210230000,NA,20041210230000,single_pin_single_card,2008,1,2276,3780,TRUE,TRUE,0.6021164021164022,11.523809523809524,278,FALSE,selected_assessor_class_and_finished_home_count,2004121023000012022,2022,NA,NA,NA,historical_parcel_centroid,569032,1173499.5715354364,1877307.9067797996,TRUE,NA,NA,NA,NA
residential_20041210330000,residential,residential_20041210330000,NA,20041210330000,single_pin_single_card,2012,1,1243,3150,TRUE,TRUE,0.3946031746031746,13.82857142857143,203,FALSE,selected_assessor_class_and_finished_home_count,2004121033000012022,2022,NA,NA,NA,historical_parcel_centroid,577640,1173301.08,1877160.790000001,TRUE,NA,NA,NA,NA
residential_20041220090000,residential,residential_20041220090000,NA,20041220090000,single_pin_single_card,2006,1,2080,3100,TRUE,TRUE,0.6709677419354839,14.051612903225806,278,FALSE,selected_assessor_class_and_finished_home_count,2004122009000012022,2022,NA,NA,NA,historical_parcel_centroid,589554,1173918.4547431518,1877318.9182664205,TRUE,NA,NA,NA,NA
residential_20041220320000,residential,residential_20041220320000,NA,20041220320000,single_pin_single_card,2007,1,1240,3101,TRUE,TRUE,0.399871009351822,14.047081586584973,203,FALSE,selected_assessor_class_and_finished_home_count,2004122032000012022,2022,NA,NA,NA,historical_parcel_centroid,1531893,1174043.42,1877321.9100000001,TRUE,NA,NA,NA,NA
residential_20041220330000,residential,residential_20041220330000,NA,20041220330000,single_pin_single_card,2006,1,1240,3098,TRUE,TRUE,0.4002582311168496,14.060684312459651,203,FALSE,selected_assessor_class_and_finished_home_count,2004122033000012022,2022,NA,NA,NA,historical_parcel_centroid,1531895,1174018.4299999997,1877321.3099999987,TRUE,NA,NA,NA,NA
residential_20041220360000,residential,residential_20041220360000,NA,20041220360000,single_pin_single_card,2014,1,2598,3092,TRUE,TRUE,0.8402328589909444,14.08796895213454,204,FALSE,selected_assessor_class_and_finished_home_count,2004122036000012022,2022,NA,NA,NA,historical_parcel_centroid,1268802,1173997.6176930235,1877180.94322084,TRUE,NA,NA,NA,NA
residential_20041220370000,residential,residential_20041220370000,NA,20041220370000,single_pin_single_card,2013,1,1276,3086,TRUE,TRUE,0.4134802333117304,14.115359688917692,203,FALSE,selected_assessor_class_and_finished_home_count,2004122037000012022,2022,NA,NA,NA,historical_parcel_centroid,1316224,1174022.6076923406,1877181.6132193971,TRUE,NA,NA,NA,NA
residential_20041220380000,residential,residential_20041220380000,NA,20041220380000,single_pin_single_card,2012,1,2200,3086,TRUE,TRUE,0.712896953985742,14.115359688917692,278,FALSE,selected_assessor_class_and_finished_home_count,2004122038000012022,2022,NA,NA,NA,historical_parcel_centroid,1382585,1174047.6029418597,1877182.2750061734,TRUE,NA,NA,NA,NA
