source_family,project_id,construction_year,allow_far,allow_dupac,location_resolved,construction_date,boundary_year,era,ward,neighbor_ward,ward_pair,distance_to_boundary_ft,within_1500ft,within_500ft
commercial,commercial_09363030360000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,41,45,41_45,8768.236403035397,FALSE,FALSE
commercial,commercial_09364150320000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,41,45,41_45,5655.627232997561,FALSE,FALSE
commercial,commercial_09364190520000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,41,45,41_45,6053.056913742629,FALSE,FALSE
commercial,commercial_09364250490000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,41,45,41_45,5728.979461703261,FALSE,FALSE
commercial,commercial_10362300510000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,50,49,49_50,2604.4308135134647,FALSE,FALSE
commercial,commercial_10364280090000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,50,40,40_50,2240.2931885889966,FALSE,FALSE
commercial,commercial_11293000160000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,49,50,49_50,4470.822194485469,FALSE,FALSE
commercial,commercial_11311130550000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,50,49,49_50,1791.847728811397,FALSE,FALSE
commercial,commercial_11312060010000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,49,50,49_50,2042.8098544813386,FALSE,FALSE
commercial,commercial_11321040200000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,49,40,40_49,1907.792097036628,FALSE,FALSE
commercial,commercial_11321130260000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,49,40,40_49,1020.2199090274828,TRUE,FALSE
commercial,commercial_11321130300000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,49,40,40_49,994.5646562636549,TRUE,FALSE
commercial,commercial_11321140130000,2012,TRUE,TRUE,TRUE,2012-06-15,2003,2003_2014,49,40,40_49,1033.066872364092,TRUE,FALSE
commercial,commercial_11321180180000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,49,40,40_49,2343.896295450597,FALSE,FALSE
commercial,commercial_11323190080000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,49,48,48_49,1523.6506475028964,FALSE,FALSE
commercial,commercial_11323190150000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,49,40,40_49,173.3710178793562,TRUE,TRUE
commercial,commercial_11323200060000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,49,40,40_49,1015.5712401276916,TRUE,FALSE
commercial,commercial_11323300400000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,40,49,40_49,509.3142803528556,TRUE,FALSE
commercial,commercial_11323310340000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,40,49,40_49,107.47033851995555,TRUE,TRUE
commercial,commercial_11323310360000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,49,48,48_49,338.4764305249269,TRUE,TRUE
commercial,commercial_12242320280000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,38,29,29_38,1788.9318967752313,FALSE,FALSE
commercial,commercial_12252150210000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,29,36,29_36,1597.7624909655876,FALSE,FALSE
commercial,commercial_13013200070000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,40,50,40_50,1576.9870125776256,FALSE,FALSE
commercial,commercial_13013210180000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,40,50,40_50,1408.5669545591115,TRUE,FALSE
commercial,commercial_13061030300000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,41,45,41_45,4195.976674155016,FALSE,FALSE
commercial,commercial_13084250010000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,45,38,38_45,1539.6721029116463,FALSE,FALSE
commercial,commercial_13093100480000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,45,39,39_45,2992.9875132956167,FALSE,FALSE
commercial,commercial_13093110210000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,45,38,38_45,3222.8344334477565,FALSE,FALSE
commercial,commercial_13093170070000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,45,38,38_45,1914.2561033805064,FALSE,FALSE
commercial,commercial_13093170090000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,45,38,38_45,2195.443338225039,FALSE,FALSE
commercial,commercial_13094290330000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,45,39,39_45,1403.4329122501535,TRUE,FALSE
commercial,commercial_13104210310000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,39,35,35_39,2585.181917921036,FALSE,FALSE
commercial,commercial_13114290270000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,39,33,33_39,95.19613712684891,TRUE,TRUE
commercial,commercial_13114310260000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,39,33,33_39,95.45807365928422,TRUE,TRUE
commercial,commercial_13122180260000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,40,47,40_47,3756.6848274608114,FALSE,FALSE
commercial,commercial_13124030470000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,40,47,40_47,1430.109507599554,TRUE,FALSE
commercial,commercial_13131250240000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,33,35,33_35,1426.5003166949882,TRUE,FALSE
commercial,commercial_13132050020000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,40,47,40_47,570.0990350011451,TRUE,FALSE
commercial,commercial_13132140280000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,47,40,40_47,451.8100154935902,TRUE,TRUE
commercial,commercial_13133070270000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,33,47,33_47,1119.1440478265629,TRUE,FALSE
commercial,commercial_13134040530000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,47,33,33_47,1515.1336152195959,FALSE,FALSE
commercial,commercial_13134060560000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,47,33,33_47,1485.5715562554733,TRUE,FALSE
commercial,commercial_13134080510000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,47,33,33_47,1467.195506018336,TRUE,FALSE
commercial,commercial_13142030200000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,33,39,33_39,306.7944370551249,TRUE,TRUE
commercial,commercial_13142200250000,2009,TRUE,TRUE,TRUE,2009-06-15,2003,2003_2014,33,39,33_39,1711.1049328182794,FALSE,FALSE
commercial,commercial_13143060050000,2013,TRUE,TRUE,TRUE,2013-06-15,2003,2003_2014,33,39,33_39,205.2993818925802,TRUE,TRUE
commercial,commercial_13143110250000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,39,35,35_39,482.14457178479665,TRUE,TRUE
commercial,commercial_13143310300000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,45,39,39_45,401.8830847316146,TRUE,TRUE
commercial,commercial_13144020050000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,35,33,33_35,432.2737011032777,TRUE,TRUE
commercial,commercial_13144070270000,2009,TRUE,TRUE,TRUE,2009-06-15,2003,2003_2014,33,35,33_35,2083.018634343128,FALSE,FALSE
commercial,commercial_13144290420000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,33,35,33_35,114.90587684149993,TRUE,TRUE
commercial,commercial_13144310040000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,33,35,33_35,1250.9539413833643,TRUE,FALSE
commercial,commercial_13151010310000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,45,39,39_45,83.49801387847151,TRUE,TRUE
commercial,commercial_13151040020000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,45,39,39_45,107.68457220532359,TRUE,TRUE
commercial,commercial_13153120240000,2016,TRUE,TRUE,TRUE,2016-06-15,2015,2015_2023,45,39,39_45,1595.002100325974,FALSE,FALSE
commercial,commercial_13153180750000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,38,45,38_45,514.3351724827643,TRUE,FALSE
commercial,commercial_13154100160000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,39,45,39_45,1279.3492883549557,TRUE,FALSE
commercial,commercial_13161060200000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,45,38,38_45,1627.1056520745224,FALSE,FALSE
commercial,commercial_13162030010000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,45,39,39_45,1574.1025493624475,FALSE,FALSE
commercial,commercial_13162300320000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,45,39,39_45,551.4800139304679,TRUE,FALSE
commercial,commercial_13171051090000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,38,45,38_45,94.92534028571649,TRUE,TRUE
commercial,commercial_13171051100000,2010,TRUE,TRUE,TRUE,2010-06-15,2003,2003_2014,38,45,38_45,131.15899193068367,TRUE,TRUE
commercial,commercial_13171051110000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,38,45,38_45,212.3206199852821,TRUE,TRUE
commercial,commercial_13173090120000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,38,36,36_38,2504.2411061560215,FALSE,FALSE
commercial,commercial_13173110010000,2017,TRUE,TRUE,TRUE,2017-06-15,2015,2015_2023,38,36,36_38,1888.8999751245967,FALSE,FALSE
commercial,commercial_13184090850000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,38,36,36_38,3270.6067750331113,FALSE,FALSE
commercial,commercial_13184090870000,2010,TRUE,TRUE,TRUE,2010-06-15,2003,2003_2014,38,36,36_38,3199.6134696902172,FALSE,FALSE
commercial,commercial_13202270270000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,36,38,36_38,462.0215745349689,TRUE,TRUE
commercial,commercial_13203280120000_building_a,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,36,38,36_38,1244.8820748387984,TRUE,FALSE
commercial,commercial_13203280130000_building_b,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,36,30,30_36,1120.084729133488,TRUE,FALSE
commercial,commercial_13212310360000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,38,45,38_45,571.9548764113238,TRUE,FALSE
commercial,commercial_13213010120000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,38,45,38_45,1595.718319504895,FALSE,FALSE
commercial,commercial_13222030300000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,45,39,39_45,429.18686643993436,TRUE,TRUE
commercial,commercial_13224350220000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,30,31,30_31,95.95407369597835,TRUE,TRUE
commercial,commercial_13224360410000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,30,31,30_31,200.18689916862357,TRUE,TRUE
commercial,commercial_13233000040000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,30,38,30_38,991.9713299666245,TRUE,FALSE
commercial,commercial_13233300310000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,30,35,30_35,940.4504347793087,TRUE,FALSE
commercial,commercial_13241080430000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,33,35,33_35,1092.290018375106,TRUE,FALSE
commercial,commercial_13241160430000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,33,35,33_35,796.8021745794451,TRUE,FALSE
commercial,commercial_13242130150000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,47,32,32_47,1067.310421028886,TRUE,FALSE
commercial,commercial_13243090220000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,33,35,33_35,883.693215580829,TRUE,FALSE
commercial,commercial_13243160170000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,33,47,33_47,901.4839316104479,TRUE,FALSE
commercial,commercial_13243180370000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,33,35,33_35,464.46877534416495,TRUE,TRUE
commercial,commercial_13243220400000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,33,1,1_33,792.2100573439307,TRUE,FALSE
commercial,commercial_13251040090000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,33,47,33_47,1458.3226287020607,TRUE,FALSE
commercial,commercial_13252010060000,2012,TRUE,TRUE,TRUE,2012-06-15,2003,2003_2014,1,33,1_33,96.99970896107438,TRUE,TRUE
commercial,commercial_13252200010000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,1,35,1_35,1386.694981745751,TRUE,FALSE
commercial,commercial_13252280380000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,33,32,32_33,98.70709745899873,TRUE,TRUE
commercial,commercial_13252280400000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,33,32,32_33,98.39974044236887,TRUE,TRUE
commercial,commercial_13252280420000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,33,32,32_33,98.09599779804108,TRUE,TRUE
commercial,commercial_13253140740000,2020,TRUE,TRUE,TRUE,2020-06-15,2015,2015_2023,32,1,1_32,373.34920774178454,TRUE,TRUE
commercial,commercial_13253150240000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,35,26,26_35,829.0470061830183,TRUE,FALSE
commercial,commercial_13253150250000,2006,TRUE,TRUE,TRUE,2006-06-15,2003,2003_2014,35,26,26_35,828.5271038928283,TRUE,FALSE
commercial,commercial_13253150700000,2011,TRUE,TRUE,TRUE,2011-06-15,2003,2003_2014,35,26,26_35,828.4419907074453,TRUE,FALSE
commercial,commercial_13253220370000,2007,TRUE,TRUE,TRUE,2007-06-15,2003,2003_2014,35,1,1_35,841.8331513137215,TRUE,FALSE
commercial,commercial_13261040230000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,30,35,30_35,1005.1886580452917,TRUE,FALSE
commercial,commercial_13261110140000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,30,35,30_35,559.718357605997,TRUE,FALSE
commercial,commercial_13261150010000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,30,35,30_35,838.5496455773404,TRUE,FALSE
commercial,commercial_13262140850000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,35,30,30_35,178.11503521421707,TRUE,TRUE
commercial,commercial_13264050040000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,35,32,32_35,891.0138626342903,TRUE,FALSE
commercial,commercial_13264080450000,2021,TRUE,TRUE,TRUE,2021-06-15,2015,2015_2023,35,32,32_35,232.07837181915923,TRUE,TRUE
commercial,commercial_13272040010000,2022,TRUE,TRUE,TRUE,2022-06-15,2015,2015_2023,31,30,30_31,95.13753010497489,TRUE,TRUE
commercial,commercial_13273040010000,2008,TRUE,TRUE,TRUE,2008-06-15,2003,2003_2014,31,30,30_31,2953.6048210626004,FALSE,FALSE
commercial,commercial_13281160080000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,31,30,30_31,573.9119146887305,TRUE,FALSE
commercial,commercial_13281160440000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,31,30,30_31,492.5241259202531,TRUE,TRUE
commercial,commercial_13282230290000,2015,TRUE,TRUE,TRUE,2015-06-15,2015,2015_2023,31,30,30_31,1895.8403018667389,FALSE,FALSE
commercial,commercial_13283000590000,2019,TRUE,TRUE,TRUE,2019-06-15,2015,2015_2023,30,31,30_31,96.24384609508273,TRUE,TRUE
commercial,commercial_13301010010000,2018,TRUE,TRUE,TRUE,2018-06-15,2015,2015_2023,29,38,29_38,952.467029948574,TRUE,FALSE
commercial,commercial_13301180350000,2014,TRUE,TRUE,TRUE,2014-06-15,2003,2003_2014,36,38,36_38,5066.160956706997,FALSE,FALSE
