building_id,route,permit_number,member_permit_numbers,source,record_ids,issue_date,assessor_year_built,date_source,construction_date,construction_year,boundary_year,era,ward,neighbor_ward,ward_pair,distance_to_boundary_ft,within_1500ft,within_500ft,location_source,x_3435,y_3435,dwelling_units,building_sqft,floor_area_source,land_sqft,allow_far,allow_dupac,density_far,density_dupac,multifamily,permit_ids,segment_id,alderman_own,alderman_neighbor,strictness_own,strictness_neighbor,share_white_own,share_black_own,median_hh_income_own,share_bach_plus_own,homeownership_rate_own,share_white_neighbor,share_black_neighbor,median_hh_income_neighbor,share_bach_plus_neighbor,homeownership_rate_neighbor,alderman_assignment_status,signed_distance_m,lenient_dist,strict_dist,side,continuous_score_difference,pair_average_score,joint_service,zoning_source,zone_group,density_eligible
1394091,permit,100011918,100011918,condominium,1405122073,2006-02-06,2008,permit_issue_date,2006-02-06,2006,2003,2003_2014,48,49,48_49,539.4136885783769,TRUE,FALSE,parcel_centroid,1167080.6215210366,1940792.7544910177,12,,,6843,FALSE,TRUE,,76.38754932047348,TRUE,1394091,48_49_2003_2014_1,Mary Ann Smith,Joe Moore,1.0167880033718983,0.5433666231980739,0.4676507306039337,0.2052696547529345,33474.15733785353,0.40466634488585657,0.29522761556575866,0.3290217783924132,0.29406830180272975,32414.15567902652,0.3259703210597111,0.20789111435793348,assigned,164.41329227868928,0,164.41329227868928,1,0.2367106900869122,0.7800773132849861,2003_2014:48_49:Joe Moore 1998-01-01:Mary Ann Smith 1998-01-01,later_maps_agree_2006_missing,Neighborhood Mixed-Use,FALSE
1549457,permit,100033819,100033819,residential,17041310010000,2006-01-31,2006,permit_issue_date,2006-01-31,2006,2003,2003_2014,27,43,27_43,35.73597799318379,TRUE,TRUE,parcel_centroid,1172708.9830293057,1908919.4668452656,1,3062,assessor,1444,TRUE,TRUE,2.1204986149584486,30.16620498614958,FALSE,1549457,27_43_2003_2014_3,"Walter Burnett, Jr.",Vi Daley,0.49314502968840385,0.39082894636554816,0.17719645981368878,0.6323073259121846,35035.69035994124,0.2276799771509924,0.30291703714084883,0.8469903733484148,0.064345122592959,69531.89155367234,0.7971570829296623,0.39659710471361087,assigned,10.892326092322419,0,10.892326092322419,1,0.051158041661427844,0.441986988026976,"2003_2014:27_43:Vi Daley 1999-05-03:Walter Burnett, Jr. 1998-01-01",latest_map_before_construction,Multi-Family Residential,TRUE
1555404,permit,100038638,100038638,residential,13354120340000,2006-02-01,2005,permit_issue_date,2006-02-01,2006,2003,2003_2014,26,35,26_35,1432.7268089629083,TRUE,FALSE,parcel_centroid,1152234.10002025,1911172.5800121168,2,3191,assessor,3825,TRUE,TRUE,0.8342483660130718,22.776470588235295,TRUE,1555404,26_35_2003_2014_13,Billy Ocasio,Rey Colon,0.14589476221847916,0.36710188519220577,0.14234349120801265,0.12376907973669649,30686.2752632978,0.12780599825171246,0.29512140074572346,0.24469042653776815,0.04247131344575265,35755.10252945938,0.1779820181756418,0.3128598912042479,assigned,-436.6951313718945,436.6951313718945,0,0,-0.1106035614868633,0.2564983237053425,2003_2014:26_35:Billy Ocasio 1998-01-01:Rey Colon 2003-05-05,latest_map_before_construction,Single-Family Residential,TRUE
1556100,permit,100039182,100039182,condominium,1734311102,2006-01-10,2007,permit_issue_date,2006-01-10,2006,2003,2003_2014,2,4,2_4,155.89131958439077,TRUE,TRUE,parcel_centroid,1178956.41975231,1880871.0907786451,4,6424,assessor,3739,TRUE,TRUE,1.7181064455736828,46.60069537309441,TRUE,1556100,2_4_2003_2014_8,Madeline Haithcock,Toni Preckwinkle,0.05005421402477293,1.1745468866567783,0.24776091330581868,0.5976775914169672,37869.222704019274,0.3811814385778661,0.2792484810231699,0.13539718787034638,0.7796714027658994,29507.455238258768,0.37421279142113983,0.20382903271476335,assigned,-47.51567420932231,47.51567420932231,0,0,-0.5622463363160027,0.6123005503407756,2003_2014:2_4:Madeline Haithcock 1998-01-01:Toni Preckwinkle 1998-01-01,latest_map_before_construction,Multi-Family Residential,TRUE
1564516,permit,100045294,100045294,condominium,1324108042,2006-01-05,2006,permit_issue_date,2006-01-05,2006,2003,2003_2014,33,35,33_35,1092.4126264800143,TRUE,FALSE,parcel_centroid,1154469.254036622,1925279.437779873,6,14976,assessor,6268,TRUE,TRUE,2.389278876834716,41.69751116783663,TRUE,1564516,33_35_2003_2014_6,Dick Mell,Rey Colon,-0.8530401617096666,0.36710188519220577,0.27193875346583146,0.03253293484173771,40493.36862219001,0.1961051862447859,0.34117348245857865,0.24469042653776815,0.04247131344575265,35755.10252945938,0.1779820181756418,0.3128598912042479,assigned,-332.9673685511084,332.9673685511084,0,0,-0.6100710234509361,-0.2429691382587304,2003_2014:33_35:Dick Mell 1998-01-01:Rey Colon 2003-05-05,latest_map_before_construction,Commercial,TRUE
1566647,permit,100046644,100046644,condominium,1708131101,2006-03-02,2007,permit_issue_date,2006-03-02,2006,2003,2003_2014,27,26,26_27,384.35006106182544,TRUE,TRUE,parcel_centroid,1166468.887613403,1903467.0611408951,8,15030,assessor,7882,TRUE,TRUE,1.906876427302715,44.212128901294086,TRUE,1566647,26_27_2003_2014_2,"Walter Burnett, Jr.",Billy Ocasio,0.49314502968840385,0.14589476221847916,0.17719645981368878,0.6323073259121846,35035.69035994124,0.2276799771509924,0.30291703714084883,0.14234349120801265,0.12376907973669649,30686.2752632978,0.12780599825171246,0.29512140074572346,assigned,117.1498986116444,0,117.1498986116444,1,0.17362513373496236,0.3195198959534415,"2003_2014:26_27:Billy Ocasio 1998-01-01:Walter Burnett, Jr. 1998-01-01",current_map_amended_before_construction,Multi-Family Residential,TRUE
1568680,permit,100048001,100048001,residential,17341100410000,2006-01-18,2006,permit_issue_date,2006-01-18,2006,2003,2003_2014,3,2,2_3,219.950535779274,TRUE,TRUE,parcel_centroid,1178374.3700198785,1883363.3999991913,1,2184,assessor,3125,TRUE,TRUE,0.69888,13.9392,FALSE,1568680,2_3_2003_2014_3,Dorothy Tillman,Madeline Haithcock,3.3357244289705767,0.05005421402477293,0.04981250844067825,0.8540025665501869,17794.77018835824,0.11997682509713528,0.18817021270261344,0.24776091330581868,0.5976775914169672,37869.222704019274,0.3811814385778661,0.2792484810231699,assigned,67.04092330552271,0,67.04092330552271,1,1.642835107472902,1.6928893214976748,2003_2014:2_3:Dorothy Tillman 1998-01-01:Madeline Haithcock 1998-01-01,latest_map_before_construction,Single-Family Residential,TRUE
1571265,permit,100049664,100049664,commercial,17073270380000,2006-03-28,2008,permit_issue_date,2006-03-28,2006,2003,2003_2014,2,27,2_27,95.66825767811537,TRUE,TRUE,parcel_centroid,1162972.0999546703,1900452.939983567,16,30464,assessor,9000,TRUE,TRUE,3.384888888888889,77.44,TRUE,1571265,2_27_2003_2014_8,Madeline Haithcock,"Walter Burnett, Jr.",0.05005421402477293,0.49314502968840385,0.24776091330581868,0.5976775914169672,37869.222704019274,0.3811814385778661,0.2792484810231699,0.17719645981368878,0.6323073259121846,35035.69035994124,0.2276799771509924,0.30291703714084883,assigned,-29.159684940289566,29.159684940289566,0,0,-0.22154540783181545,0.27159962185658837,"2003_2014:2_27:Madeline Haithcock 1998-01-01:Walter Burnett, Jr. 1998-01-01",latest_map_before_construction,Neighborhood Mixed-Use,TRUE
1573034,permit,100050726,100050726,condominium,1408402018,2006-03-28,2007,permit_issue_date,2006-03-28,2006,2003,2003_2014,48,46,46_48,98.05611576789268,TRUE,TRUE,parcel_centroid,1168429.524997184,1934403.124838508,10,17570,assessor,7481,TRUE,TRUE,2.348616495120973,58.22750969121775,TRUE,1573034,46_48_2003_2014_10,Mary Ann Smith,Helen Shiller,1.0167880033718983,0.13672348287505132,0.4676507306039337,0.2052696547529345,33474.15733785353,0.40466634488585657,0.29522761556575866,0.5019014359414604,0.19438829915440237,36863.9988910593,0.47085249919202377,0.2630458275800644,assigned,29.88750408605369,0,29.88750408605369,1,0.4400322602484235,0.5767557431234749,2003_2014:46_48:Helen Shiller 1998-01-01:Mary Ann Smith 1998-01-01,current_map_amended_before_construction,Neighborhood Mixed-Use,TRUE
1584490,permit,100058269,100058269,residential,13362040150000,2006-03-10,2006,permit_issue_date,2006-03-10,2006,2003,2003_2014,1,32,1_32,649.2900580508093,TRUE,FALSE,parcel_centroid,1159317.9995861645,1915771.2224150423,4,7241,assessor,2779,TRUE,TRUE,2.6056135300467793,62.69881252249011,TRUE,1584490,1_32_2003_2014_8,Manuel Flores,Theodore Matlak,0.9746539068149748,0.8020217933174896,0.3600693414522599,0.06061799426613374,37681.79165589923,0.31289394767674866,0.2985772032783148,0.7287242632334999,0.04313644860114733,63836.70303790752,0.6031122174616153,0.40488858697154384,assigned,197.9036096938867,0,197.9036096938867,1,0.0863160567487426,0.8883378500662322,2003_2014:1_32:Manuel Flores 2003-05-05:Theodore Matlak 1998-05-21,current_map_amended_before_construction,Neighborhood Mixed-Use,TRUE
