project_id,x_3435,y_3435
commercial_11321130260000,1165473.01952034,1946298.92480858
commercial_11321130300000,1165173.58497217,1946275.9042689
commercial_11321140130000,1165838.29932826,1946310.91826861
commercial_11323190150000,1166936.77016669,1943943.71000433
commercial_11323200060000,1166097.75066063,1943695.33363562
commercial_11323300400000,1166604.97993437,1942720.01218223
commercial_11323310340000,1166975.182036,1943294.59036575
commercial_11323310360000,1166985.52335704,1942983.86279315
commercial_13013210180000,1156537.34677883,1938335.60995272
commercial_13094290330000,1142104.56287772,1931545.67833459
commercial_13114290270000,1153403.28009473,1931793.39659845
commercial_13114310260000,1154075.30841673,1931961.33863305
commercial_13124030470000,1159329.88901815,1933889.37101466
commercial_13131250240000,1154340.4930453,1929564.17215244
commercial_13132050020000,1158634.34060597,1931699.37860563
commercial_13132140280000,1159430.8977403,1930691.37497444
commercial_13133070270000,1156837.84885407,1928659.88254406
commercial_13134060560000,1159504.61675675,1928227.60636471
commercial_13134080510000,1159510.50318977,1928028.71687366
commercial_13142030200000,1152762.94012326,1931376.82347809
commercial_13143060050000,1151140.45001124,1928898.02962248
commercial_13143110250000,1149819.04344353,1927805.17952354
commercial_13143310300000,1150951.93317594,1926507.42832213
commercial_13144020050000,1152500.43154328,1928926.1273602
commercial_13144290420000,1153363.79910105,1926508.52647979
commercial_13144310040000,1154243.71503606,1926985.65943232
commercial_13151010310000,1143932.18068278,1931409.4006097
commercial_13151040020000,1145026.20329509,1931408.77921634
commercial_13153180750000,1145436.57241799,1926320.95323474
commercial_13154100160000,1147953.86507013,1928047.76945976
commercial_13162300320000,1143371.90686693,1928928.2685186
commercial_13171051090000,1135382.31359439,1931147.02578743
commercial_13171051100000,1135350.61970589,1931016.39733691
commercial_13171051110000,1135264.92111941,1931145.38460942
commercial_13202270270000,1138270.71003471,1923910.97006365
commercial_13203280120000_building_a,1133243.51283311,1920690.75575754
commercial_13212310360000,1143095.53005413,1923583.06001713
commercial_13222030300000,1147821.67725331,1926005.8400879
commercial_13224350220000,1147498.94679532,1921032.96708685
commercial_13224360410000,1148396.49592351,1921160.19487748
commercial_13233000040000,1149189.72606929,1923451.21990187
commercial_13233300310000,1150884.03056477,1921119.21757578
commercial_13241080430000,1154464.74338469,1925443.93045322
commercial_13241160430000,1154490.29290704,1924512.15028122
commercial_13242130150000,1158987.89597495,1923920.62167471
commercial_13243090220000,1155330.28961361,1922565.5783207
commercial_13243160170000,1157035.39724551,1921967.72010233
commercial_13243180370000,1154996.52013661,1921208.97492905
commercial_13243220400000,1156366.14006082,1921229.38782804
commercial_13251040090000,1156879.22333281,1921048.75174944
commercial_13252010060000,1158359.14164359,1921066.9118529
commercial_13252200010000,1158587.74899592,1919640.52053814
commercial_13252280380000,1158978.58514627,1918615.16934399
commercial_13252280400000,1159026.44521718,1918615.97561546
commercial_13252280420000,1159074.3101603,1918616.78515091
commercial_13253140740000,1155579.98096689,1916442.94735228
commercial_13253150240000,1155758.53416892,1916700.04038118
commercial_13253150250000,1155797.04304356,1916668.75769582
commercial_13253150700000,1155835.56350505,1916637.47827507
commercial_13253220370000,1156459.28098117,1915959.83522513
commercial_13261040230000,1150842.31914129,1920482.80598186
commercial_13261110140000,1151293.70960346,1920278.97518987
commercial_13261150010000,1151019.05177536,1920102.52412862
commercial_13262140850000,1152051.0588991,1919518.53021972
commercial_13264050040000,1153675.81446799,1918211.1274742
commercial_13264080450000,1154344.30499004,1917855.53874962
commercial_13272040010000,1147675.6457801,1920846.48018193
commercial_13281160080000,1138619.44305263,1919111.92998591
commercial_13281160440000,1138623.92952508,1918974.22165739
commercial_13283000590000,1138919.87503636,1917970.37101159
commercial_13301010010000,1127965.70782037,1920342.80451116
commercial_13302270040000,1131748.4546715,1918115.61227226
commercial_13312050180000,1132065.3258825,1913955.33426648
commercial_13312050690000,1132347.8704196,1913872.95138283
commercial_13312140010000,1132316.4197275,1913494.57259519
commercial_13352360210000,1154345.13770672,1913203.46867966
commercial_13353030380000,1150975.32202735,1912456.63452378
commercial_13354020010000,1153034.79012881,1912965.73590853
commercial_13354150250000,1153741.15838348,1911642.6581663
commercial_13354230170000,1154646.89118028,1911048.46871367
commercial_13361030360000,1157200.89490078,1915552.12044702
commercial_13361070300000,1156874.10152318,1915165.3994172
commercial_13361070340000,1157006.26382892,1915167.53967184
commercial_13361070360000,1157128.67229595,1915188.0581484
commercial_13361150430000,1155501.28392466,1913223.7350833
commercial_13361150670000,1155300.21156595,1913219.74132533
commercial_13361250140000,1157285.28178447,1913471.67548907
commercial_13362040010000,1158999.18996809,1915764.81956072
commercial_13362100010000_north,1157555.1980485,1915069.64865032
commercial_13362100140000_south,1157738.54013206,1914916.30927315
commercial_13362150350000,1158195.20530242,1914558.44774266
commercial_13362240070000,1159665.92433286,1914388.78871748
commercial_13362250430000,1159481.58955436,1913516.25386804
commercial_13362290490000,1158713.29570838,1913286.46798289
commercial_13362300400000,1159511.43495332,1913277.35690644
commercial_13363050010000,1156589.77382773,1913041.73123376
commercial_13363150240000,1157320.89324441,1912444.04506236
commercial_13363160220000,1154883.29652299,1911194.99496764
commercial_13363200350000,1156302.08801559,1911494.68788977
commercial_13363280310000,1156387.57920745,1910631.96980922
commercial_13364000330000,1157487.85863754,1912893.15605792
commercial_13364030160000,1159249.36386095,1913055.27681784
commercial_13364040200000,1159750.13959952,1913081.45214645
commercial_13364040260000,1159859.40467219,1912990.6406591
commercial_13364090210000,1157516.54654463,1911899.3749583
commercial_13364140420000,1159977.86151052,1912281.42592488
commercial_13364160400000,1159978.39101527,1911986.3436635
commercial_13364240420000,1159993.77208935,1911344.73893512
commercial_13364240570000,1159951.768005,1911772.65479661
commercial_13364250360000,1157648.570004,1910633.18986196
commercial_13364270350000,1158360.82998845,1910650.77040081
commercial_14051050140000,1166363.94041374,1942573.27713921
commercial_14051050280000,1166228.88913331,1942570.49877366
commercial_14052000010000,1167259.01362203,1942568.47347893
commercial_14062250100000,1162987.68272635,1940005.10095244
commercial_14074180020000,1163268.87694013,1932892.67446508
commercial_14083050540000,1167212.60195559,1934164.79771979
commercial_14083060130000,1165010.41860912,1933890.73216323
commercial_14083090220000,1165116.37052608,1933149.18859411
commercial_14083170400000,1167024.90039344,1932107.49666705
commercial_14084000010000,1167487.73758266,1934607.84558847
commercial_14084000040000,1167535.5048444,1934485.58837864
commercial_14084040010000,1167505.77481418,1934196.24515145
commercial_14171000010000,1164904.17496616,1931839.88324048
commercial_14171060100000,1165345.91346788,1931159.81758818
commercial_14171200250000,1165599.54595435,1929468.3002663
commercial_14171210100000,1165807.96560296,1929555.30908741
commercial_14172010070000,1167901.68222011,1931851.48697791
commercial_14172030160000,1168660.33695444,1931586.63059824
commercial_14174150060000,1169217.46261353,1927415.80897184
commercial_14181020390000,1160317.76005249,1931731.46707693
commercial_14181140140000,1162063.23352645,1931080.77788475
commercial_14184220370000,1164633.59909952,1926694.91713768
commercial_14192190050000,1163109.714458,1924811.80832036
commercial_14192240330000,1164884.81751035,1924894.06084137
commercial_14192320210000,1164893.67013746,1924579.13000356
commercial_14193160240000,1159896.64221323,1921922.40045427
commercial_14194130180000,1163981.49012401,1923211.01920476
commercial_14194140460000,1164244.09569476,1922698.2976346
commercial_14194140510000,1164186.71331988,1922810.5789846
commercial_14194350290000,1164874.98348765,1921515.23721406
commercial_14194350410000,1164609.15795704,1921398.2470424
commercial_14201040060000,1167362.91971837,1925874.60911019
commercial_14201080160000,1166385.82819334,1925576.05687944
commercial_14201230040000,1166415.52006816,1924540.38993968
commercial_14202020070000,1169213.18506391,1926644.15959012
commercial_14202060010000,1169013.21399215,1926302.08247602
commercial_14202200010000,1169025.53688963,1925411.81575536
commercial_14202220280000,1170072.54174401,1925289.4568296
commercial_14202240190000,1167875.18299811,1924470.25916857
commercial_14202300160000,1170182.52657724,1924305.77498513
commercial_14203000310000,1165124.50460398,1923671.90660378
commercial_14203080100000,1165147.63015821,1922883.34997341
commercial_14203170390000,1166274.80532968,1922401.03950744
commercial_14203280470000,1165531.81071264,1921563.8500837
commercial_14203290420000,1166332.83782403,1921445.65110721
commercial_14204020100000,1168516.79341667,1923473.33983333
commercial_14204030750000,1168697.41472538,1923893.94182078
commercial_14204200460000,1170243.14485195,1922283.19026704
commercial_14204250340000,1169135.91918446,1921660.96526597
commercial_14211000120000,1170303.17150777,1926259.83889051
commercial_14211020430000,1170313.87830856,1925914.25935198
commercial_14211060470000,1171316.05854574,1925490.11044457
commercial_14213040110000,1171128.6450126,1923253.28249326
commercial_14281130190000,1172937.36650167,1919987.48686464
commercial_14281230200000,1172382.9269421,1918991.03665909
commercial_14291000140000,1165686.412043,1920875.58404749
commercial_14292020060000,1168660.89506701,1921324.37513514
commercial_14293050560000,1167254.38604751,1918668.26362808
commercial_14293180280000,1165469.62605459,1916117.84252863
commercial_14294010290000,1168110.66518683,1918329.74707057
commercial_14294020280000,1168750.08666667,1917947.86666667
commercial_14294070630000,1170379.79400633,1918206.20066218
commercial_14294070660000,1170383.28390286,1918101.21997656
commercial_14294070940000,1170396.6252032,1917699.62452516
commercial_14301040010000,1160577.12659007,1920818.25410729
commercial_14301220270000_building_a,1162229.42820484,1919016.44259104
commercial_14301220460000_building_b,1162311.15339117,1918938.49377058
commercial_14303020298002,1162078.6884238,1918402.71597381
commercial_14303140460000,1160039.13012106,1916324.36015623
commercial_14311090070000,1162214.51479066,1915837.70202586
commercial_14311100080000,1162384.49612056,1915725.72648697
commercial_14311100110000,1162387.23399007,1915650.37018215
commercial_14311100140000,1162389.96434266,1915575.01603103
commercial_14312120200000,1164643.92778099,1914398.6045844
commercial_14312160460000,1163910.72335649,1913696.60714394
commercial_14313000500000,1160586.55552896,1912591.14810375
commercial_14313080700000,1160153.88451164,1912752.58647066
commercial_14313090210000,1160184.33559927,1912373.08768287
commercial_14313130050000,1160843.69242885,1912151.96422804
commercial_14313130360000,1161067.36054814,1911981.61237427
commercial_14313190010000,1160193.23101651,1911658.41017065
commercial_14313220560000,1161591.16750623,1911795.91323363
commercial_14313260010000,1160203.07925507,1911298.09096711
commercial_14313260840000,1160193.13027773,1911204.0650641
commercial_14313260850000,1160194.7698711,1911144.06512296
commercial_14313320050000,1162382.61498631,1911057.71854211
commercial_14314140570000,1164984.3377658,1912615.99872258
commercial_14314160030000,1162848.88011497,1911908.34500368
commercial_14321060130000,1167512.89105313,1915972.09407113
commercial_14333000210000,1170757.06582749,1912717.82475771
commercial_16012020260000,1158377.47549051,1910431.77153149
commercial_16012150290000,1160036.11735629,1909722.82074818
commercial_16012210370000,1160060.54655027,1908821.04190768
commercial_16012270350000,1159287.97996211,1908005.84006989
commercial_16012270360000,1159336.1001324,1908006.7851003
commercial_16013030070000,1157112.2645674,1907731.03480298
commercial_16013050010000,1156351.19676131,1907068.67756638
commercial_16013240410000,1156602.2800052,1905354.46997384
commercial_16014000010000,1157613.34495875,1907749.93226974
commercial_16021000010000,1149578.68673393,1910224.80342041
commercial_16022000090000,1152391.72497243,1910292.67713309
commercial_16022280210000,1154277.57499938,1907895.40942381
commercial_16022280270000,1154490.04538873,1907900.22984362
commercial_16082260220000,1138175.00352018,1902347.71366323
commercial_16111020190000,1150489.50071363,1904838.26624859
commercial_16112170200000,1152854.32828356,1903512.30780063
commercial_16112180180000,1153184.92206253,1903563.96708628
commercial_16112200020000,1153711.20159235,1903628.46137688
commercial_16112200040000,1153842.36524633,1903690.68282369
commercial_16113040200000,1150898.98246148,1901882.41928463
commercial_16122180170000,1160210.99895773,1903603.38059216
commercial_16132140760000,1159688.84644905,1898700.64804474
commercial_16132150730000,1159884.36842684,1898713.56294369
commercial_16132180010000,1159286.80804533,1898340.37709593
commercial_16132190540000,1159564.07393251,1898164.11297453
commercial_16134200390000,1160427.68649409,1895914.59992396
commercial_16134200470000,1160433.1076812,1895720.69247293
commercial_16142140240000,1152849.31960054,1898171.28080167
commercial_16143160360000,1152333.49482266,1895865.38039762
commercial_16143160370000,1152031.90919248,1895950.19000582
commercial_16224090400000,1147659.31645131,1890467.98730504
commercial_16234110170000,1154208.77129292,1890602.33266257
commercial_16242010140000,1158469.3130836,1894362.71857257
commercial_16242010170000,1158471.13963941,1894301.31067693
commercial_16242020090000,1158649.92960726,1894363.16487003
commercial_16242020110000,1158737.40995501,1894365.08260807
commercial_16242020170000,1158856.4,1894367.69
commercial_16242060480000,1158137.07739495,1894001.52192737
commercial_16242060510000,1158138.93558788,1893939.0390705
commercial_16242070100000,1158332.0913037,1894001.59480756
commercial_16242070150000,1158336.43076916,1893861.17010666
commercial_16242070180000,1158339.51814064,1893760.86484327
commercial_16242070310000,1158348.20518479,1893479.1496712
commercial_16242070410000,1158468.45282815,1894184.51345331
commercial_16242070530000,1158477.24567088,1893889.14176618
commercial_16242070560000,1158483.73447746,1893785.73606626
commercial_16242070760000,1158475.00142742,1893964.59284305
commercial_16242280010000,1158731.8471876,1894161.91550024
commercial_16244000200000,1158069.70204728,1891342.31002937
commercial_17031080180000,1176776.31175967,1909333.76689885
commercial_17032230320000,1176334.19391065,1906236.09295495
commercial_17041030480000,1171660.41790996,1910788.45518434
commercial_17041120620000,1170894.8027612,1909780.88296969
commercial_17041120710000,1171052.78398251,1909574.67677079
commercial_17041410320000,1172636.26711286,1908373.91183999
commercial_17041420020000,1172838.56929275,1908391.81508778
commercial_17042000120000,1173454.91511389,1910438.91953305
commercial_17042000430000,1173481.78494756,1910089.26011651
