candidate,bw,n_rd,rd_coef,rd_se,rd_p,rd_t,rd_signal
comp_adj_down_t0,250,521,-0.46686047305045264,0.5209264240070399,0.37013958810577713,-0.8962119246309214,0.8962119246309214
comp_adj_down_t0,500,871,-0.1647825941918093,0.17455531125854049,0.34516267976811965,-0.9440136367305578,0.9440136367305578
comp_adj_down_t0,1000,1473,-0.08534291489011459,0.10406432092322558,0.4121603878331336,-0.8200977446734805,0.8200977446734805
comp_adj_down_t01,250,521,-0.46686047305045264,0.5209264240070399,0.37013958810577713,-0.8962119246309214,0.8962119246309214
comp_adj_down_t01,500,871,-0.1647825941918093,0.17455531125854049,0.34516267976811965,-0.9440136367305578,0.9440136367305578
comp_adj_down_t01,1000,1473,-0.08534291489011459,0.10406432092322558,0.4121603878331336,-0.8200977446734805,0.8200977446734805
eb_down_share_t0,250,521,-0.9186557914553255,0.4578411189037755,0.044803490649930576,-2.0064947282474197,2.0064947282474197
eb_down_share_t0,500,871,-0.2485673542423914,0.1563038689004588,0.11177107393269754,-1.5902827997219318,1.5902827997219318
eb_down_share_t0,1000,1473,-0.12094639730230128,0.09572925554846763,0.20643775026703484,-1.2634214755912965,1.2634214755912965
eb_down_share_t01,250,521,-0.9186557914553255,0.4578411189037755,0.044803490649930576,-2.0064947282474197,2.0064947282474197
eb_down_share_t01,500,871,-0.2485673542423914,0.1563038689004588,0.11177107393269754,-1.5902827997219318,1.5902827997219318
eb_down_share_t01,1000,1473,-0.12094639730230128,0.09572925554846763,0.20643775026703484,-1.2634214755912965,1.2634214755912965
eb_far_down_share_t0,250,521,-0.9701665601597433,0.5354496179190951,0.07000586415179852,-1.8118727284372305,1.8118727284372305
eb_far_down_share_t0,500,872,-0.3457909291726846,0.19038165249089595,0.06932377437123789,-1.8163038541186123,1.8163038541186123
eb_far_down_share_t0,1000,1479,-0.24020711667636707,0.1081883942177388,0.026400651620208628,-2.220266955741378,2.220266955741378
eb_far_down_share_t01,250,521,-0.9701665601597433,0.5354496179190951,0.07000586415179852,-1.8118727284372305,1.8118727284372305
eb_far_down_share_t01,500,872,-0.3457909291726846,0.19038165249089595,0.06932377437123789,-1.8163038541186123,1.8163038541186123
eb_far_down_share_t01,1000,1479,-0.24020711667636707,0.1081883942177388,0.026400651620208628,-2.220266955741378,2.220266955741378
eb_net_restrictive_t0,250,521,-0.9447167886762742,0.4640078465314569,0.041751044940407725,-2.0359931318795668,2.0359931318795668
eb_net_restrictive_t0,500,872,-0.23486569759320908,0.16719850640907996,0.16010702623716128,-1.4047116965182074,1.4047116965182074
eb_net_restrictive_t0,1000,1479,-0.08608035770774869,0.1006470502856213,0.39240193906275855,-0.85526955299202,0.85526955299202
eb_net_restrictive_t01,250,521,-0.9447167886762742,0.4640078465314569,0.041751044940407725,-2.0359931318795668,2.0359931318795668
eb_net_restrictive_t01,500,872,-0.23486569759320908,0.16719850640907996,0.16010702623716128,-1.4047116965182074,1.4047116965182074
eb_net_restrictive_t01,1000,1479,-0.08608035770774869,0.1006470502856213,0.39240193906275855,-0.85526955299202,0.85526955299202
raw_down_share_t0,250,517,-0.9357773168042556,0.45489849013370204,0.039675416899940266,-2.0571123824333104,2.0571123824333104
raw_down_share_t0,500,864,-0.2531533044446963,0.1568401313469416,0.10650898907000717,-1.614085006628202,1.614085006628202
raw_down_share_t0,1000,1461,-0.12113757045584883,0.09493262244407685,0.20194232193011802,-1.2760373340282352,1.2760373340282352
raw_down_share_t01,250,517,-0.9357773168042556,0.45489849013370204,0.039675416899940266,-2.0571123824333104,2.0571123824333104
raw_down_share_t01,500,864,-0.2531533044446963,0.1568401313469416,0.10650898907000717,-1.614085006628202,1.614085006628202
raw_down_share_t01,1000,1461,-0.12113757045584883,0.09493262244407685,0.20194232193011802,-1.2760373340282352,1.2760373340282352
raw_far_down_share_t0,250,517,-0.4007150658355414,0.5062468172344983,0.4286284137560956,-0.7915409088881766,0.7915409088881766
raw_far_down_share_t0,500,864,-0.10184190170979335,0.1819358414634178,0.5756375447192495,-0.559768217689371,0.559768217689371
raw_far_down_share_t0,1000,1461,-0.07238297817726291,0.10538281805231166,0.49217253575311504,-0.6868574926638634,0.6868574926638634
raw_far_down_share_t01,250,517,-0.4007150658355414,0.5062468172344983,0.4286284137560956,-0.7915409088881766,0.7915409088881766
raw_far_down_share_t01,500,864,-0.10184190170979335,0.1819358414634178,0.5756375447192495,-0.559768217689371,0.559768217689371
raw_far_down_share_t01,1000,1461,-0.07238297817726291,0.10538281805231166,0.49217253575311504,-0.6868574926638634,0.6868574926638634
