upload_row_number,address,matched_address,status,latitude,longitude,lat_long_coordinates
1,"99 Southport Avenue, Chicago, IL","2045 N SOUTHPORT AVE, CHICAGO, IL",CLOSEST ADDRESS,41.91892085045187,-87.66302724345594,41.91892085045187;-87.66302724345594
2,"2900 North PAULINA Street, Chicago, IL","2900 N PAULINA ST, CHICAGO, IL",nan,41.9342753614757,-87.67104181677936,41.9342753614757;-87.67104181677936
3,"2900 North PAULINA Street, Chicago, IL","2900 N PAULINA ST, CHICAGO, IL",nan,41.9342753614757,-87.67104181677936,41.9342753614757;-87.67104181677936
4,"2900 North PAULINA Street, Chicago, IL","2900 N PAULINA ST, CHICAGO, IL",nan,41.9342753614757,-87.67104181677936,41.9342753614757;-87.67104181677936
5,"3 South Princeton Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
6,"3 South Princeton Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
7,"4 Commonwealth Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
8,"4 Commonwealth Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
9,"4 Commonwealth Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
10,"5450 WESTERN Avenue, Chicago, IL",nan,AMBIGUOUS,,,---
11,"6 Milwaukee Avenue, Chicago, IL",nan,BADADDRESSNUM,,,---
12,"2006 Milwaukee Avenue, Chicago, IL","2006 N MILWAUKEE AVE, CHICAGO, IL",PRE_DIR CORRECTION,41.91770245734654,-87.6890540918701,41.91770245734654;-87.6890540918701
13,"428 St James Place, Chicago, IL","428 W ST JAMES PL, CHICAGO, IL",PRE_DIR CORRECTION,41.928405947644016,-87.64037164543811,41.928405947644016;-87.64037164543811
14,"428 St James Place, Chicago, IL","428 W ST JAMES PL, CHICAGO, IL",PRE_DIR CORRECTION,41.928405947644016,-87.64037164543811,41.928405947644016;-87.64037164543811
