alderman,n_rezonings,n_upzones,n_downzones,downzone_share,upzone_share,downzone_share_conditional,upzone_share_conditional,median_upzone_far,median_downzone_far,median_downzone_far_abs,avg_wait_days,n_wait_obs,strictness_index_pca,strictness_index_pca_weighted,pc1_raw,pc2,pc1_weighted_raw,pc2_weighted,strictness_index
Mary Ann Smith,3,1,2,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,3.8,-2.55,2.55,56,1,4.118264884234617,5.937916423880997,4.118264884234617,2.9301252284078982,-5.937916423880997,-1.5629293707802683,5.937916423880997
Brendan Reilly,29,10,14,0.4827586206896552,0.3448275862068966,0.5833333333333334,0.4166666666666667,2,-4,4,79.26666666666667,15,4.75506986053265,5.652997481377351,4.75506986053265,1.7727945382789434,-5.652997481377351,0.3278418328669282,5.652997481377351
Jesse Granato,1,0,1,1,0,1,0,0,-1.8,1.8,56,0,3.768548774970621,2.6631804519752533,3.768548774970621,-2.2472724997585427,-2.6631804519752533,5.03224133517879,2.6631804519752533
James Cappleman,41,35,1,0.024390243902439025,0.8536585365853658,0.027777777777777776,0.9722222222222222,1.8,-2.8,2.8,71.57894736842105,38,1.8268464305206256,2.553466560300704,1.8268464305206256,1.7741868186161682,-2.553466560300704,-1.4455275580757114,2.553466560300704
Michael Scott Jr.,40,9,23,0.575,0.225,0.71875,0.28125,1,-1.0000000000000002,1.0000000000000002,96.70588235294117,34,1.6823144645961057,2.124992260451331,1.6823144645961057,0.3727329898619145,-2.124992260451331,0.8977633625042183,2.124992260451331
Eugene Schulter,2,0,1,0.5,0,1,0,0,-2.1,2.1,95,2,2.424701603457005,2.0970959576668404,2.424701603457005,-0.6060166965753011,-2.0970959576668404,2.4146974644156933,2.0970959576668404
Carlos Ramirez-Rosa,66,42,15,0.22727272727272727,0.6363636363636364,0.2631578947368421,0.7368421052631579,0.7999999999999999,-1.0000000000000002,1.0000000000000002,149.28301886792454,53,0.5262068750346685,1.7962521574872676,0.5262068750346685,1.8402040848416457,-1.7962521574872676,-1.1622989785253952,1.7962521574872676
Helen Shiller,4,1,1,0.25,0.25,0.5,0.5,1.8,-0.7999999999999998,0.7999999999999998,106,1,0.5032954116637522,1.7802614763232478,0.5032954116637522,1.968121962819763,-1.7802614763232478,-1.7893950044900855,1.7802614763232478
John Rice,2,1,0,0,0.5,0,1,0.2999999999999999,0,0,252.5,2,-1.2673366740528147,1.4500180141434,-1.2673366740528147,3.8206512000344857,-1.4500180141434,-3.539879294701794,1.4500180141434
Harry Osterman,23,8,5,0.21739130434782608,0.34782608695652173,0.38461538461538464,0.6153846153846154,1.4000000000000001,-1.4000000000000004,1.4000000000000004,77.57142857142858,21,0.9201912053262928,1.4140104320422333,0.9201912053262928,0.9495194193372085,-1.4140104320422333,-0.6373973399917128,1.4140104320422333
Patrick Daley Thompson,105,55,37,0.3523809523809524,0.5238095238095238,0.40217391304347827,0.5978260869565217,0.7999999999999998,-1.3000000000000005,1.3000000000000005,80.22916666666669,96,1.17380767536282,1.232610605482811,1.17380767536282,0.08713389736300886,-1.232610605482811,0.6903490933954304,1.232610605482811
Robert Fioretti,38,13,11,0.2894736842105263,0.34210526315789475,0.4583333333333333,0.5416666666666666,1.8,-1.0000000000000002,1.0000000000000002,57.90909090909091,22,0.7798880134895463,1.2240856809320704,0.7798880134895463,0.8098496930186856,-1.2240856809320704,-0.6924084976010252,1.2240856809320704
Anthony Beale,65,17,35,0.5384615384615384,0.26153846153846155,0.6730769230769231,0.3269230769230769,0.5499999999999999,-0.7,0.7,92.06666666666668,45,1.142915089835487,1.1782388380026374,1.142915089835487,-0.281371437019138,-1.1782388380026374,1.3943542905648603,1.1782388380026374
