File: historical_parcels_additional_2008.gpkg
Rows: 1
Columns: 7
SHA-256 (saved bytes): 6866f69b34805edb9b022ea60335de942516b7dae233f80bb1dda7b9ebd94ea3
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct   min   max    mean sd
           fid        BIGINT           1        1     1     1     1.0  -
   target_year        BIGINT           1        1  2008  2008  2008.0  -
      layer_id        DOUBLE           1        1   8.0   8.0     8.0  -
     object_id        BIGINT           1        1 45605 45605 45605.0  -
         pin14       VARCHAR           1        1     -     -       -  -
         pin10       VARCHAR           1        1     -     -       -  -
geometry_valid        BIGINT           1        1     1     1     1.0  -
