alderman,n_permits,mean_resid,alderman_fe_raw,alderman_se,shrinkage_B,uncertainty_index
Ameya Pawar,2361,0.1104888877221591,0.1178679614766891,0.0333668252945471,0.9373954239805076,0.9706432208724834
Andre Vasquez,399,0.029164976068337744,0.03911152355567612,0.07540126475576943,0.745687547221748,0.22504250976242104
Anthony Beale,1300,0.12564780816353524,0.14548365175045264,0.05130044609657143,0.8636558585913026,1.1096245073219506
Anthony Napolitano,938,0.2143202460284507,0.23078907584342323,0.03579093416641858,0.9286412073241038,1.9225985930911897
Arenda Troutman,189,0.30849751988263413,0.402803181785473,0.07138653590893862,0.7658765715682339,2.786042578114833
Ariel Reboyras,1543,0.016255097406834545,0.01773279515588935,0.03892882364609811,0.9166686505954457,0.10668107688723416
Bernard Stone,662,-0.04717202787437699,-0.054338014334917736,0.05032328474737947,0.8681220403754087,-0.47483681559495994
Billy Ocasio,677,0.020532199391808052,0.024886478681165603,0.05945846142369336,0.8250343351045111,0.14589476221832653
Brendan Reilly,9560,0.0822664926146134,0.09451100445095463,0.04981183139660855,0.8704435329253603,0.7118922897688583
Brian Doherty,914,-0.05980806705843249,-0.06759484098275977,0.04658779569513213,0.8848022450956973,-0.5906876103938066
Brian Hopkins,1480,-0.05996121515634552,-0.0643386754719989,0.034885837916553336,0.9319622251540054,-0.5920917156364955
Burton Natarus,1158,-0.02144866754639952,-0.026438683406807783,0.06227648135410872,0.8112608035873917,-0.23899774486355166
Byron Sigcho-Lopez,589,0.16506457698492216,0.21496190039685997,0.07098800086835971,0.7678782922935738,1.471008634883233
Carlos Ramirez-Rosa,834,-0.21839618629215898,-0.26024014280411384,0.05651543939874198,0.8392102153761445,-2.044668513053912
Carrie Austin,1542,0.07709922970017127,0.09665950411366481,0.06503328842245801,0.7976373395161223,0.6645173563064729
Chris Taliaferro,742,-0.06496593895669539,-0.07904885447970968,0.06011414712043971,0.8218454193206671,-0.6379764443536118
Daniel La Spata,668,-0.01370350064448331,-0.017095878568475806,0.0642406038446381,0.8015675000027245,-0.16798785573872757
Daniel Solis,2238,0.11013628433295809,0.1166255621030984,0.03134052263482295,0.9443580150601657,0.9674104528909431
Darcel Beavers,56,-0.12078727886972063,-0.2996192457032566,0.1571032756950072,0.4031359153388583,-1.1497623371847077
David Moore,684,0.025034736497573058,0.032933687075790016,0.07252478476781576,0.7601558987294933,0.18717530074121844
Deb Mell,781,-0.06371399650085584,-0.0710945196830595,0.043943982526017146,0.8961871714570102,-0.6264982804733948
