alderman,n_permits,mean_resid,alderman_fe_raw,alderman_se,shrinkage_B,uncertainty_index
Ameya Pawar,1132,0.026574579020907756,0.030837514625279706,0.055803841626515374,0.8617613755137932,0.2287843155023745
Anthony Beale,661,0.09676485985865883,0.1129663606655109,0.05701139863162921,0.856581191857423,0.8034544372543726
Arenda Troutman,189,0.33256804430392384,0.4117909805378876,0.06800300700900688,0.8076137167198719,2.734049999735542
Ariel Reboyras,890,0.01958200159858274,0.02227791402198738,0.05169722804279272,0.8789872148378036,0.17153386329323442
Bernard Stone,662,-0.06017703212097143,-0.06791983283595861,0.04997773458899951,0.8860008867558943,-0.48147867735165195
Billy Ocasio,677,-0.025789820236070606,-0.030284150395846497,0.05816359438591141,0.8515946427081443,-0.19993965222241625
Brendan Reilly,6278,-0.07567302055786815,-0.08691430527029244,0.05370074948153554,0.870662433790786,-0.6083492562325601
Brian Doherty,914,0.020592954661354145,0.02303261035100279,0.047956540419255025,0.8940781938100026,0.1798108570982789
Burton Natarus,1158,-0.2787994169048711,-0.345347401831806,0.06807136075510219,0.8073013302722176,-2.27140957635874
Carrie Austin,787,-0.08838242821600407,-0.11935781594008556,0.0824837351503972,0.7404829547180195,-0.7124052132557228
Daniel Solis,1344,0.059239071705878596,0.06412810597130031,0.04002674979065021,0.9237614429528024,0.49621889140370784
Darcel Beavers,56,-0.10799334932731955,-0.25436976684965634,0.16221087226364703,0.42455261356255575,-0.8729660528505852
Deb Mell,191,-0.18635755605994145,-0.277928707150356,0.09766720099654749,0.6705228760666465,-1.514558701954416
Deborah Graham,368,-0.020996607924414826,-0.026668038300104537,0.07241268336201594,0.787332299741467,-0.16069610069582205
Debra Silverstein,284,0.1669056643256527,0.2001425901053106,0.06217528631471075,0.8339337681091797,1.3777194802452155
Dick Mell,988,-0.14430760164696907,-0.16189292758907517,0.048637754331531786,0.8913768117978442,-1.1702823700498997
Dorothy Tillman,300,0.3657540141165793,0.47604210605782754,0.07650902527439449,0.7683228215786212,3.005754074503109
Ed Burke,670,0.034055035734125494,0.03902674592412767,0.05323596616318912,0.8726076163339949,0.29002919041721215
Ed Smith,906,-0.019927334171542965,-0.022981971116255294,0.05455042094535268,0.8670855111051913,-0.15194161687819074
Emma Mitts,858,-0.07096812042688004,-0.08001267240404676,0.049739886040703465,0.8869610062329417,-0.5698287445771666
Eugene Schulter,1629,-0.1293428469681071,-0.13789331954968728,0.03582339645734562,0.9379921187661366,-1.0477611706666214
Frank Olivo,384,-0.16158357279651955,-0.1984397465119386,0.06654254820061775,0.8142702036096298,-1.311726232724353
Fredrenna Lyle,769,0.032364358990286855,0.037179855301762245,0.05374399306340813,0.8704810367767314,0.27618708295405936
George Cardenas,617,0.12659979027540322,0.15717283758218253,0.06846928285519384,0.805481355575875,1.047722488192723
Harry Osterman,290,0.10613018445755848,0.13788534371082148,0.0762132700451263,0.7696988062787793,0.8801313241860175
Helen Shiller,641,-0.015859193190580708,-0.018284131990488575,0.05448196395069584,0.8673746830765977,-0.11863445461967341
Howard Brookins,894,0.101371365303682,0.12723859684658978,0.07038177825709153,0.7967029487593641,0.8411693603654784
Isaac Carothers,363,-0.07048565496539608,-0.08809210350606088,0.06963513455409155,0.8001359050365571,-0.5658786466122786
James Balcer,1733,0.04808170120341018,0.05876713320858898,0.06568240373509888,0.8181733322390977,0.40486995550320987
James Cappleman,249,-0.12490476151365422,-0.1708764725445508,0.08452764023182245,0.7309652385356278,-1.011425155508744
Jason Ervin,612,0.02365685062998731,0.028789758087540022,0.06490021886150057,0.8217106430020961,0.20489594649120932
JoAnn Thompson,912,-0.3221247967341517,-0.3737035671503795,0.0557527535845029,0.8619794539037077,-2.6261282212235035
Joe Moore,807,0.08483008808553599,0.10051895835594989,0.05991889353019109,0.8439212808507457,0.7057406702472742
John Arena,347,0.056166525844138185,0.06809677436418511,0.06421387415077333,0.8248044987234883,0.47106298258869
