alderman_id,full_name,panel_committee_definition,first_cycle_year,last_cycle_year,cycles_count,ward_numbers,committee_count_sum,candidate_committee_count_sum,review_committee_count_sum,total_receipts_amount,total_receipts_count,union_total_amount,union_total_count,union_share_total_receipts,construction_trades_amount,construction_trades_count,construction_trades_share_total_receipts,construction_trades_share_union_total,teacher_education_amount,teacher_education_count,teacher_education_share_total_receipts,teacher_education_share_union_total,public_sector_service_amount,public_sector_service_count,public_sector_service_share_total_receipts,public_sector_service_share_union_total,generic_labor_amount,generic_labor_count,generic_labor_share_total_receipts,generic_labor_share_union_total
toni_foulkes,Toni Foulkes,reviewed_named_recipient,2007,2015,3,15;16,3,3,0,1246264.39,1279,990372.88,736,0.794673175248151,14800,24,0.0118754897586378,0.0149438663950491,57646.9,20,0.0462557547680553,0.0582072683573484,886787.24,671,0.711556269372344,0.895407434823942,31138.74,21,0.0249856613491139,0.0314414304236602
joann_thompson,JoAnn Thompson,reviewed_named_recipient,2007,2011,2,16,2,2,0,1202696.98,785,741193.62,220,0.616276279333469,8000,5,0.00665171704347341,0.0107934010549092,0,0,0,0,638774.77,189,0.531118628068726,0.861819034545926,94418.85,26,0.0785059342212699,0.127387564399165
pat_dowell,Pat Dowell,reviewed_named_recipient,2007,2023,5,3,5,5,0,3746179.18,4225,638375.41,242,0.170407067928876,63770,61,0.0170226774897617,0.09989419861896,5250,3,0.00140142789432725,0.0082240009839978,511628.21,166,0.136573341908328,0.801453505234483,57727.2,12,0.0154096206364587,0.0904282951625596
silvana_tabares,Silvana Tabares,reviewed_named_recipient,2019,2023,2,23,2,2,0,1365723.08,440,570384,87,0.417642498946419,415034,47,0.303893231415552,0.727639625234929,55250,10,0.0404547604189277,0.096864568431092,98600,28,0.0721961878245479,0.172865999046257,1500,2,0.0010983192873917,0.00262980728772196
susan_sadlowski_garza,Susan Sadlowski Garza,reviewed_named_recipient,2015,2019,2,10,2,2,0,1026855.9,1061,494436.56,184,0.481505301766295,71145,95,0.0692843075644791,0.143891058541464,237968.74,34,0.231745018945696,0.481292766861739,163084.03,33,0.158818807974907,0.329838129283967,22238.79,22,0.0216571672812125,0.0449780453128304
joe_moore,Joe Moore,reviewed_named_recipient,2003,2015,4,49,6,6,0,3744883.98,5404,481153.4,392,0.128482858900211,38350,60,0.0102406376819183,0.0797043105171864,1750,5,0.000467304196697704,0.00363709370026274,395324.36,314,0.105563847134191,0.821618136752229,45729.04,13,0.0122110698874041,0.0950404590303217
jeanette_taylor,Jeanette Taylor,reviewed_named_recipient,2019,2023,2,20,2,2,0,611092.3,470,475329.55,117,0.77783593411339,11500,7,0.0188187610938642,0.0241937409529873,160581.67,25,0.262778094242065,0.337832289198094,225970.54,54,0.369781357087955,0.475397626762317,77277.34,31,0.126457721689506,0.162576343086602
nicholas_sposato,Nicholas Sposato,reviewed_named_recipient,2011,2023,4,36;38,4,4,0,1003127.89,1388,349203.19,217,0.348114326678725,88050,111,0.0877754480537871,0.25214546293234,36200,16,0.03608712344744,0.103664574198191,212904.76,76,0.212240893830596,0.609687328457681,12048.43,14,0.0120108613469016,0.0345026344117876
marty_quinn,Marty Quinn,reviewed_named_recipient,2011,2023,4,13,4,4,0,1218354.95,137,336472,18,0.276169108189695,331300,14,0.271924039870319,0.984628735823486,3172,1,0.00260351057793133,0.00942723317244823,2000,3,0.00164155774144472,0.00594403100406572,0,0,0,0
john_arena,John Arena,reviewed_named_recipient,2011,2015,2,45,2,2,0,819676.4,1151,331144.74,106,0.403994478796754,14450,26,0.0176289081886462,0.0436365077095895,80115.89,18,0.0977408767655138,0.241936169664057,206073.14,50,0.251407921467545,0.62230533995497,30505.71,12,0.0372167723750495,0.0921219826713841
