month,ward,alderman
Jun 1998,38,Thomas Allen
Jun 1998,39,Margaret Laurino
Jun 1998,40,Patrick O'Connor
Jun 1998,41,Brian Doherty
Jun 1998,42,Burton Natarus
Jun 1998,43,Charles Bernardini
Jun 1998,44,Bernie Hansen
Jun 1998,45,Patrick Levar
Jun 1998,46,Helen Shiller
Jun 1998,47,Eugene Schulter
Jun 1998,48,Mary Ann Smith
Jun 1998,49,Joe Moore
Jun 1998,50,Bernard Stone
Jul 1998,1,Jesse Granato
Jul 1998,2,Madeline Haithcock
Jul 1998,3,Dorothy Tillman
Jul 1998,4,Toni Preckwinkle
Jul 1998,5,Barbara Holt
Jul 1998,6,Fredrenna Lyle
Jul 1998,7,William Beavers
Jul 1998,8,Lorraine Dixon
Jul 1998,9,Robert Shaw
Jul 1998,10,John J. Buchanan
Jul 1998,11,James Balcer
Jul 1998,12,Ray Frias
Jul 1998,13,Frank Olivo
Jul 1998,14,Ed Burke
Jul 1998,15,Virgil E. Jones
Jul 1998,16,Shirley Coleman
Jul 1998,17,Terry Peterson
Jul 1998,18,Thomas Murphy
Jul 1998,19,Virginia Rugai
Jul 1998,20,Arenda Troutman
Jul 1998,21,Leonard DeVille
Jul 1998,22,Ricardo Munoz
Jul 1998,23,Michael Zalewski
Jul 1998,24,Michael Chandler
Jul 1998,25,Daniel Solis
Jul 1998,26,Billy Ocasio
Jul 1998,27,"Walter Burnett, Jr."
Jul 1998,28,Ed Smith
Jul 1998,29,Sam Burrell
Jul 1998,30,Michael Wojcik
Jul 1998,31,Ray Suarez
Jul 1998,32,Theodore Matlak
Jul 1998,33,Dick Mell
Jul 1998,34,Carrie Austin
Jul 1998,35,Vilma Colom
Jul 1998,36,William Banks
Jul 1998,37,Percy Z. Giles
Jul 1998,38,Thomas Allen
Jul 1998,39,Margaret Laurino
Jul 1998,40,Patrick O'Connor
Jul 1998,41,Brian Doherty
Jul 1998,42,Burton Natarus
Jul 1998,43,Charles Bernardini
Jul 1998,44,Bernie Hansen
Jul 1998,45,Patrick Levar
Jul 1998,46,Helen Shiller
Jul 1998,47,Eugene Schulter
Jul 1998,48,Mary Ann Smith
Jul 1998,49,Joe Moore
Jul 1998,50,Bernard Stone
Aug 1998,1,Jesse Granato
Aug 1998,2,Madeline Haithcock
Aug 1998,3,Dorothy Tillman
Aug 1998,4,Toni Preckwinkle
Aug 1998,5,Barbara Holt
Aug 1998,6,Fredrenna Lyle
Aug 1998,7,William Beavers
Aug 1998,8,Lorraine Dixon
Aug 1998,9,Robert Shaw
Aug 1998,10,John J. Buchanan
Aug 1998,11,James Balcer
Aug 1998,12,Ray Frias
Aug 1998,13,Frank Olivo
Aug 1998,14,Ed Burke
Aug 1998,15,Virgil E. Jones
