draw,density_multifamily_far_continuous,density_multifamily_dupac_continuous,density_multifamily_far_binary,density_multifamily_dupac_binary,rental_price_binary,home_sale_price_binary,permit_high_discretion_pooled,permit_low_discretion_pooled
1,-0.1688698730714091,-0.13413797335391475,-0.316741724498446,-0.3865419065700653,0.02682322492963113,6.617280310005806e-4,-0.08985513701472335,-0.030155825223336468
2,-0.11355565261446199,-0.07916678569936605,-0.24225987670529367,-0.3407574259644821,0.026902833172983254,0.02433107269850146,-0.06757943349223494,-0.0627972077024537
3,-0.09707559046161422,-0.03901587427781517,-0.20703802168377708,-0.19548140000063832,0.020990382154795616,0.017364074120721246,-0.06897018713885165,-0.02037415135248405
4,-0.20709488351463887,-0.17583282059918445,-0.2800471579663258,-0.41952455631655,0.017281439713916373,0.01498981487213475,-0.08722156862469926,-0.04221608292347879
5,-0.11657663617280549,-0.08053443688898905,-0.22905455578006437,-0.21222551441416268,0.019206588388354227,0.011584899820244755,-0.07669188422569964,-0.026541318810113117
6,-0.18808452378042603,-0.13431158304063479,-0.3636997189115918,-0.37951785347909806,0.016595432215601013,-7.948485289569593e-4,-0.085115569546007,-0.05252113853301295
7,-0.13365529928355419,-0.09227018551227649,-0.3014904950235401,-0.27997604705458984,0.015818265197156445,0.014737821595922114,-0.10137430267959377,-0.07204362019294006
8,-0.10935003998203537,-0.10285423079562815,-0.2743748408227867,-0.2858754999775915,0.012476287713814963,0.0015678549810850015,-0.06540348229955877,-0.048768027870604566
9,-0.12065896630302407,-0.11168474431787818,-0.3640886854956127,-0.19973409423985433,0.02214387330751995,0.00950865065103423,-0.08489425710044742,-0.0470333741757321
10,-0.18757897876210194,-0.1528086789339539,-0.2749687531072475,-0.26554109034604234,0.019936982454177177,0.004312392679204348,-0.09459156810661971,-0.06793351839692241
11,-0.13139455688875193,-0.10018090048441461,-0.31726249331210304,-0.2795150629939932,0.024669450809963838,0.012945496784535947,-0.08734755349949223,-0.053098607806265075
12,-0.1987836404289078,-0.184890437923696,-0.17951589542548627,-0.13243988963804823,0.028021649862367947,0.011675200032296447,-0.08233336220135179,-0.03989822206002634
13,-0.21133735363318848,-0.17205328074304302,-0.2308868439520508,-0.30467567739456425,0.015880914220758022,0.006455502715092928,-0.08178387079502838,-0.05687579417223749
14,-0.1356554179518396,-0.11901561876981856,-0.2631399591305019,-0.2694615270444024,0.014575799098878893,0.009814064712923608,-0.0415379171795512,-0.024011778036490468
15,-0.10274868910623275,-0.0648853476827533,-0.16754056751551136,-0.1543855611401773,0.012886603075964639,0.012847674619471243,-0.08359957094895426,-0.026753099967199902
16,-0.1386294423577065,-0.12406368751111752,-0.16955608896053986,-0.21851100390539047,0.018064254525274485,0.010876019897879946,-0.046849205425517605,-0.03124474844388379
17,-0.1367848870894856,-0.07441088440507361,-0.16495918959146205,-0.161194154296296,0.015411072605657258,0.008693762353283811,-0.051395186424102984,-0.016705279789821587
18,-0.12651376906341186,-0.09768246178969055,-0.1550211097790364,-0.1474282702783968,0.018418891710283783,0.016243525349531142,-0.1186501917214505,-0.041075542539062225
19,-0.12089374906631876,-0.09283870787821152,-0.2885321001167277,-0.30882064929856107,0.016674177433400068,0.020044767961423012,-0.07459820589784492,-0.04598531204426433
20,-0.06878611711442217,-0.059224260798429615,-0.14554227167188458,-0.17043923126499172,0.013050377913996958,0.012903721917238663,-0.07392770654901486,-0.025229804078270728
21,-0.16057467436777256,-0.12380171499106085,-0.23444633213523294,-0.12877040337749246,0.019489667101219167,0.01278240159863885,-0.09496003350177316,-0.05356044022336201
22,-0.22438940963430745,-0.20482104697895673,-0.36527333390888034,-0.2207775892976362,0.015784058510831058,0.004220430641844543,-0.08592210520260822,-0.02793307310502591
23,-0.16305545614410977,-0.13159786559862988,-0.3068870629254506,-0.15890957289715177,0.023188538197649846,0.007614277077996959,-0.09396640121422836,-0.057923318541883345
