estimate,production_estimate,production_clustered_se,bootstrap_mean,bootstrap_sd,p025,median,p975,probability_negative,probability_positive,score_sd_to_clustered_se,n_draws,workers,elapsed_seconds
density_multifamily_dupac_binary,-0.2632157996065455,0.10894216559591899,-0.2339062548376282,0.08526268372538776,-0.3756206569331351,-0.24409013346765057,-0.05212245476240716,0.9945,0.0055,0.7826417187412853,2000,8,1321.2721951007843
density_multifamily_dupac_continuous,-0.08969284443347361,0.05488112829004224,-0.08890252743940984,0.03237371190064774,-0.15390637406263785,-0.08851566245732131,-0.026352495338998503,0.9955,0.0045,0.5898878705546166,2000,8,1321.2721951007843
density_multifamily_far_binary,-0.20556105989721776,0.09996998711956802,-0.22621415721536564,0.06989934239219915,-0.3556308319455557,-0.22970711098488567,-0.07780404109471621,0.998,0.002,0.6992032749648832,2000,8,1321.2721951007843
density_multifamily_far_continuous,-0.13409505743128683,0.059844442458932924,-0.12656504371057894,0.0321072045480931,-0.18950365979644546,-0.12658049200592708,-0.06410301538571693,0.9995,5e-4,0.5365110481249121,2000,8,1321.2721951007843
home_sale_price_binary,0.014416048321792057,0.007796771198537116,0.014432832068588216,0.005195478689554423,0.003933477490959738,0.014456639166736361,0.02434202083448096,0.005,0.995,0.6663628516544432,2000,8,1321.2721951007843
permit_high_discretion_pooled,-0.10089910703395374,0.032616460545606865,-0.0883985944915842,0.020210702064096784,-0.12918954809470706,-0.08793113620888918,-0.04988494857827456,1,0,0.6196473107753864,2000,8,1321.2721951007843
permit_low_discretion_pooled,-0.045114188426804085,0.032160683575707304,-0.040585505862924406,0.014546124250122562,-0.0685529253787467,-0.04066129652740623,-0.012229863608956889,0.9995,5e-4,0.4522952447786288,2000,8,1321.2721951007843
rental_price_binary,0.01652484629970724,0.00852164602792399,0.020358300827691984,0.005963244571453677,0.01082618844043064,0.019398366874447685,0.03068406324916507,0,1,0.6997761408902852,2000,8,1321.2721951007843
