score_vintage,alderman_a,alderman_b,analyses,n_analysis_rows,n_density_multifamily,n_rental_prices,n_home_sales,n_permit_event_study,production_difference,probability_a_more_stringent,probability_production_order_retained,difference_p025,difference_median,difference_p975
2014,James Balcer,Pat Dowell,permit_event_study,6,0,0,0,6,0.07688982344796214,0.5175,0.5175,-0.8188157867131572,0.020738634236749598,0.8528040279904158
2014,Michelle A. Harris,Natashia Holmes,permit_event_study,9,0,0,0,9,0.00490334036201882,0.5205,0.5205,-1.3309337490659428,0.028792338052264083,1.3517776663838652
2014,Deborah Graham,Jason Ervin,permit_event_study,9,0,0,0,9,-0.06218147506050882,0.465,0.535,-1.1823079175688154,-0.055751230082269454,1.140187367334584
2014,Jason Ervin,Michael Chandler,permit_event_study,50,0,0,0,50,-0.06400436569815245,0.462,0.538,-1.1380614806987663,-0.06017890518876563,1.0882657055766147
2014,Scott Waguespack,"Walter Burnett, Jr.",permit_event_study,15,0,0,0,15,-0.010389777751648677,0.457,0.543,-0.5439756966865525,-0.028489990278019184,0.5132741904623572
2014,Daniel Solis,George Cardenas,permit_event_study,9,0,0,0,9,0.08434071984131064,0.559,0.559,-0.9081503322121722,0.06643038155554426,1.0417373481529442
2014,Deborah Graham,Michael Chandler,permit_event_study,14,0,0,0,14,-0.12618584075866127,0.4295,0.5705,-1.234576458048117,-0.10124916934888466,0.9897384578078178
2014,Ed Burke,Michael Zalewski,permit_event_study,37,0,0,0,37,0.091660569136853,0.574,0.574,-0.8995089081158708,0.11716869130057518,1.2760679369207466
2014,Michelle A. Harris,Roderick Sawyer,permit_event_study,63,0,0,0,63,0.19402173334277778,0.606,0.606,-1.018408551166044,0.16978833454047426,1.395046607546317
2014,Ed Burke,Ricardo Munoz,permit_event_study,1,0,0,0,1,0.17323694049677882,0.6065,0.6065,-0.8381947397001538,0.1384927973384727,1.244056617851229
2014,Jason Ervin,Robert Fioretti,permit_event_study,45,0,0,0,45,-0.13804752384244637,0.387,0.613,-1.0074859355884425,-0.11655482439256343,0.7833373530976462
2014,Emma Mitts,Ray Suarez,permit_event_study,1,0,0,0,1,-0.1383655647138245,0.384,0.616,-0.9847330706951986,-0.12424360377561171,0.7159171392910839
2014,Proco Joe Moreno,"Walter Burnett, Jr.",permit_event_study,12,0,0,0,12,0.12750323858709162,0.63,0.63,-0.532569689051473,0.101350890355866,0.7787720140371324
2014,George Cardenas,James Balcer,permit_event_study,47,0,0,0,47,0.18808180478805925,0.6425,0.6425,-0.7868774802360231,0.1713310118231582,1.116823412949081
2014,Harry Osterman,Joe Moore,permit_event_study,8,0,0,0,8,0.18400701885453896,0.6525,0.6525,-0.9444259206151974,0.21602731260768362,1.385649843484001
2014,Deborah Graham,Emma Mitts,permit_event_study,4,0,0,0,4,0.25570580678122334,0.6655,0.6655,-0.8924466268125415,0.23337060026954126,1.3044578828715356
2014,Proco Joe Moreno,Scott Waguespack,permit_event_study,96,0,0,0,96,0.1378930163387403,0.668,0.668,-0.4895791494697432,0.13711058330348488,0.7243397415470586
2014,Ameya Pawar,Scott Waguespack,permit_event_study,20,0,0,0,20,-0.1903900483678826,0.3305,0.6695,-0.9227162793687211,-0.17037355171462046,0.5777590401486442
2014,Rey Colon,Roberto Maldonado,permit_event_study,75,0,0,0,75,0.1839211133257257,0.672,0.672,-0.5730108794785511,0.17900390025321436,0.9561384429408516
2014,Emma Mitts,Jason Ervin,permit_event_study,63,0,0,0,63,-0.31788728184173215,0.2925,0.7075,-1.3146388811934493,-0.28001558977337915,0.741272858476518
2014,Daniel Solis,James Balcer,permit_event_study,26,0,0,0,26,0.2724225246293699,0.714,0.714,-0.6190680388221317,0.23749893845037612,1.0797191571589564
2014,Margaret Laurino,Timothy Cullerton,permit_event_study,8,0,0,0,8,0.28657229707036763,0.7205,0.7205,-0.6546855814986596,0.2800926977997533,1.255211871859424
2014,Pat Dowell,Willie Cochran,permit_event_study,87,0,0,0,87,0.2665148421270589,0.7365,0.7365,-0.5808767706356168,0.27549207858434877,1.1868691948707295
2014,Daniel Solis,Pat Dowell,permit_event_study,2,0,0,0,2,0.349312348077332,0.738,0.738,-0.6115864845983502,0.2691406755657698,1.1204895288644132
2014,Ariel Reboyras,Deborah Graham,permit_event_study,32,0,0,0,32,0.3929920194492502,0.751,0.751,-0.7254316011415216,0.34299261753240395,1.431847316851208
2014,Roderick Sawyer,Willie Cochran,permit_event_study,23,0,0,0,23,-0.48853024734808237,0.237,0.763,-1.524073504670387,-0.43409169424630556,0.758988557109007
2014,Howard Brookins,Lona Lane,permit_event_study,21,0,0,0,21,0.5308262938911338,0.779,0.779,-0.6213623432115124,0.4582804325563879,1.677282297636829
2014,JoAnn Thompson,Toni Foulkes,permit_event_study,76,0,0,0,76,-0.48022430927976734,0.21,0.79,-1.3982265963406026,-0.38128273910216337,0.595797843735745
