score_vintage,analysis,n_pairs,total_analysis_rows,expected_row_order_flip_rate,share_rows_in_pairs_below_95pct,share_rows_in_pairs_below_80pct
2014,permit_event_study,90,2630,0.14516844106463878,0.5395437262357414,0.34638783269961976
2022,density_multifamily,158,881,0.13128206583427918,0.5175936435868331,0.322360953461975
2022,home_sales,364,51224,0.15638571763235978,0.617074027799469,0.39653287521474306
2022,rental_prices,244,240389,0.10775010503808417,0.3827171792386507,0.254749593367417
