component_id,card_id,successor_id,project_id,card_num,card_units,card_building_sqft,project_pin,construction_year,within_500ft,successor_type,successor_pin,successor_pin10,successor_address,successor_year,year_gap,successor_class,successor_units,successor_building_sqft,successor_land_sqft,successor_x_3435,successor_y_3435,represented_project_ids,search_geometry_source,projects_per_condo_base,within_one_year,within_two_years,automatic_candidate,building_ratio,match_quality
episode_007,13161090190000_card_1,noncondo_13161090520000,residential_multicard_13161090190000,1,1,2016,13161090190000,2021,FALSE,current_noncondo_parcel,13161090520000,1316109052,5334 W LELAND,2021,0,278,1,2071,3446,1139784.8186366186,1930660.963157196,residential_13161090520000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1.027281746031746,within_5pct
episode_007,13161090190000_card_2,noncondo_13161090530000,residential_multicard_13161090190000,2,1,2016,13161090190000,2021,FALSE,current_noncondo_parcel,13161090530000,1316109053,5336 W LELAND,2021,0,278,1,2071,3446,1139757.2206502748,1930660.244865087,residential_13161090530000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1.027281746031746,within_5pct
episode_008,13221240150000_card_1,noncondo_13221240740000,residential_multicard_13221240150000,1,1,1777,13221240150000,2015,TRUE,current_noncondo_parcel,13221240740000,1322124074,4601 W PATTERSON AVE,2015,0,207,1,1777,3112,1144954.128331171,1923767.4442499976,residential_13221240740000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_008,13221240150000_card_2,noncondo_13221240750000,residential_multicard_13221240150000,2,1,1777,13221240150000,2015,TRUE,current_noncondo_parcel,13221240750000,1322124075,4603 W PATTERSON AVE,2015,0,207,1,1777,3112,1144929.1664469186,1923766.7715072748,residential_13221240750000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_008,13221240150000_card_3,noncondo_13221240760000,residential_multicard_13221240150000,3,1,1777,13221240150000,2015,TRUE,current_noncondo_parcel,13221240760000,1322124076,4607 W PATTERSON AVE,2014,-1,207,1,1777,3115,1144904.1897587418,1923766.1675946289,residential_13221240760000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_009,13222210280000_card_1,noncondo_13222210350000,residential_multicard_13222210280000,1,1,2640,13222210280000,2018,TRUE,current_noncondo_parcel,13222210350000,1322221035,3626 N KEELER AV,2018,0,278,1,2622,3930,1147641.490059922,1923913.9050033272,residential_13222210350000,construction_year_parcel,NA,TRUE,TRUE,TRUE,0.9931818181818182,within_2pct
episode_009,13222210280000_card_2,noncondo_13222210360000,residential_multicard_13222210280000,2,1,2640,13222210280000,2018,TRUE,current_noncondo_parcel,13222210360000,1322221036,3624 N KEELER AVE,2018,0,278,1,2622,3930,1147642.250065077,1923888.6749966743,residential_13222210360000,construction_year_parcel,NA,TRUE,TRUE,TRUE,0.9931818181818182,within_2pct
episode_010,13223070280000_card_1,noncondo_13223070390000,residential_multicard_13223070280000,1,1,2082,13223070280000,2018,TRUE,current_noncondo_parcel,13223070390000,1322307039,3410 N KEATING AVE,2018,0,278,1,2082,4084,1144100.6606032278,1922329.574156896,residential_13223070390000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_010,13223070280000_card_2,noncondo_13223070400000,residential_multicard_13223070280000,2,1,2082,13223070280000,2018,TRUE,current_noncondo_parcel,13223070400000,1322307040,3408 N KEATING AVE,2018,0,278,1,2082,4263,1144102.59754566,1922306.4511905075,residential_13223070400000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_010,13223070280000_card_3,noncondo_13223070410000,residential_multicard_13223070280000,3,1,2082,13223070280000,2018,TRUE,current_noncondo_parcel,13223070410000,1322307041,3406 N KEATING AVE,2018,0,278,1,2082,4263,1144103.2468605377,1922282.7908335356,residential_13223070410000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_011,13224130020000_card_1,noncondo_13224130140000,residential_multicard_13224130020000,1,1,2343,13224130020000,2018,FALSE,current_noncondo_parcel,13224130140000,1322413014,4169 W CORNELIA AVE,2018,0,278,1,2343,3407,1147871.1260648535,1922988.2566602735,residential_13224130140000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_011,13224130020000_card_2,noncondo_13224130150000,residential_multicard_13224130020000,2,1,2343,13224130020000,2018,FALSE,current_noncondo_parcel,13224130150000,1322413015,4167 W CORNELIA AVE,2018,0,278,1,2343,4095,1147899.7134217992,1922977.009949238,residential_13224130150000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_012,13243050100000_card_1,noncondo_13243050300000,residential_multicard_13243050100000,1,1,2324,13243050100000,2006,FALSE,current_noncondo_parcel,13243050300000,1324305030,3001 W CORNELIA AVE,2007,1,295,1,2324,1269,1155725.2725204811,1923034.9577572667,residential_13243050300000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_012,13243050100000_card_2,noncondo_13243050310000,residential_multicard_13243050100000,2,1,1762,13243050100000,2006,FALSE,current_noncondo_parcel,13243050310000,1324305031,3003 W CORNELIA AVE,2007,1,295,1,1762,972,1155704.5246973438,1923034.667376011,residential_13243050310000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_012,13243050100000_card_3,noncondo_13243050320000,residential_multicard_13243050100000,3,1,1762,13243050100000,2006,FALSE,current_noncondo_parcel,13243050320000,1324305032,3005 W CORNELIA AVE,2007,1,295,1,1762,972,1155686.5264415194,1923034.4158759215,residential_13243050320000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_012,13243050100000_card_4,noncondo_13243050530000,residential_multicard_13243050100000,4,1,1762,13243050100000,2006,FALSE,current_noncondo_parcel,13243050530000,1324305053,3004 W NEWPORT AVE,2007,1,295,1,1762,972,1155690.4866607469,1922961.463433628,residential_13243050530000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_1,noncondo_13243050330000,residential_multicard_13243050060000,1,1,1762,13243050060000,2006,FALSE,current_noncondo_parcel,13243050330000,1324305033,3007 W CORNELIA AVE,2007,1,295,1,1762,972,1155668.5278879432,1923034.1640175364,residential_13243050330000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_10,noncondo_13243050360000,residential_multicard_13243050060000,10,1,2324,13243050060000,2006,FALSE,current_noncondo_parcel,13243050360000,1324305036,3015 W CORNELIA AVE,2007,1,295,1,2324,1242,1155612.4231338622,1923033.379563309,residential_13243050360000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_2,noncondo_13243050340000,residential_multicard_13243050060000,2,1,1762,13243050060000,2006,FALSE,current_noncondo_parcel,13243050340000,1324305034,3009 W CORNELIA AVE,2007,1,295,1,1762,962,1155650.619030688,1923034.0056129177,residential_13243050340000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
episode_013,13243050060000_card_3,noncondo_13243050370000,residential_multicard_13243050060000,3,1,2324,13243050060000,2006,FALSE,current_noncondo_parcel,13243050370000,1324305037,3019 W CORNELIA AVE,2007,1,295,1,2324,1257,1155578.3969366977,1923032.9025483148,residential_13243050370000,construction_year_parcel,NA,TRUE,TRUE,TRUE,1,within_2pct
