project_id,source_family,project_kind,component_pins,component_count,construction_year,dwelling_units,building_sqft,land_sqft,class_values,source_row_ids,permit_chain_ids,permit_numbers,year_source,units_source,building_source,land_source,current_distance_m,current_within_1500ft,candidate_status,decision_reason,replacement_project_ids,replacement_check
residential_14293210910000,residential,single_pin_single_card,14293210910000,1,2000,1,2127,704,295,1429321091000012022,NA,NA,assessor_row:1429321091000012022,assessor_row:1429321091000012022,assessor_row:1429321091000012022,assessor_row:1429321091000012022,57.36974989084674,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210920000,residential,single_pin_single_card,14293210920000,1,2000,1,1926,786,295,1429321092000012022,NA,NA,assessor_row:1429321092000012022,assessor_row:1429321092000012022,assessor_row:1429321092000012022,assessor_row:1429321092000012022,51.14345949615364,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210930000,residential,single_pin_single_card,14293210930000,1,2000,1,2333,903,295,1429321093000012022,NA,NA,assessor_row:1429321093000012022,assessor_row:1429321093000012022,assessor_row:1429321093000012022,assessor_row:1429321093000012022,52.61663182286329,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210940000,residential,single_pin_single_card,14293210940000,1,2000,1,2782,1559,295,1429321094000012022,NA,NA,assessor_row:1429321094000012022,assessor_row:1429321094000012022,assessor_row:1429321094000012022,assessor_row:1429321094000012022,53.03897532604155,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210950000,residential,single_pin_single_card,14293210950000,1,2000,1,2859,1359,295,1429321095000012022,NA,NA,assessor_row:1429321095000012022,assessor_row:1429321095000012022,assessor_row:1429321095000012022,assessor_row:1429321095000012022,87.59890788189233,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210960000,residential,single_pin_single_card,14293210960000,1,2000,1,1892,1024,295,1429321096000012022,NA,NA,assessor_row:1429321096000012022,assessor_row:1429321096000012022,assessor_row:1429321096000012022,assessor_row:1429321096000012022,89.30538242755298,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210970000,residential,single_pin_single_card,14293210970000,1,2000,1,1926,675,295,1429321097000012022,NA,NA,assessor_row:1429321097000012022,assessor_row:1429321097000012022,assessor_row:1429321097000012022,assessor_row:1429321097000012022,86.23533063434206,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210980000,residential,single_pin_single_card,14293210980000,1,2000,1,2127,923,295,1429321098000012022,NA,NA,assessor_row:1429321098000012022,assessor_row:1429321098000012022,assessor_row:1429321098000012022,assessor_row:1429321098000012022,80.09620367519057,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293210990000,residential,single_pin_single_card,14293210990000,1,2000,1,2127,928,295,1429321099000012022,NA,NA,assessor_row:1429321099000012022,assessor_row:1429321099000012022,assessor_row:1429321099000012022,assessor_row:1429321099000012022,74.9536862853482,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293211000000,residential,single_pin_single_card,14293211000000,1,2000,1,2127,924,295,1429321100000012022,NA,NA,assessor_row:1429321100000012022,assessor_row:1429321100000012022,assessor_row:1429321100000012022,assessor_row:1429321100000012022,69.73118521455972,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293211010000,residential,single_pin_single_card,14293211010000,1,2000,1,2127,927,295,1429321101000012022,NA,NA,assessor_row:1429321101000012022,assessor_row:1429321101000012022,assessor_row:1429321101000012022,assessor_row:1429321101000012022,64.12243862973898,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293211020000,residential,single_pin_single_card,14293211020000,1,2000,1,2127,706,295,1429321102000012022,NA,NA,assessor_row:1429321102000012022,assessor_row:1429321102000012022,assessor_row:1429321102000012022,assessor_row:1429321102000012022,58.537001182117905,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293211030000,residential,single_pin_single_card,14293211030000,1,2000,1,1926,790,295,1429321103000012022,NA,NA,assessor_row:1429321103000012022,assessor_row:1429321103000012022,assessor_row:1429321103000012022,assessor_row:1429321103000012022,52.30568895002097,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293211040000,residential,single_pin_single_card,14293211040000,1,2000,1,2333,904,295,1429321104000012022,NA,NA,assessor_row:1429321104000012022,assessor_row:1429321104000012022,assessor_row:1429321104000012022,assessor_row:1429321104000012022,53.20519271852868,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293211050000,residential,single_pin_single_card,14293211050000,1,2000,1,2782,1554,295,1429321105000012022,NA,NA,assessor_row:1429321105000012022,assessor_row:1429321105000012022,assessor_row:1429321105000012022,assessor_row:1429321105000012022,53.30956102141359,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293220040000,residential,single_pin_single_card,14293220040000,1,1999,1,4576,4520,208,1429322004000012022,NA,NA,assessor_row:1429322004000012022,assessor_row:1429322004000012022,assessor_row:1429322004000012022,assessor_row:1429322004000012022,110.18235874929172,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293220050000,residential,single_pin_single_card,14293220050000,1,2000,1,2563,3390,278,1429322005000012022,NA,NA,assessor_row:1429322005000012022,assessor_row:1429322005000012022,assessor_row:1429322005000012022,assessor_row:1429322005000012022,99.51768669683628,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293220070000,residential,single_pin_single_card,14293220070000,1,2024,1,3853,4520,208,1429322007000022025,permit_chain_101030570,101030570,assessor_row:1429322007000022025,assessor_row:1429322007000022025,assessor_row:1429322007000022025,assessor_row:1429322007000022025,100.66654538566704,TRUE,exclude_outside_period,construction_year_outside_2006_2022,NA,NA
residential_14293220200000,residential,single_pin_single_card,14293220200000,1,2021,1,3011,3450,278,1429322020000022022,permit_chain_100866500,100866500,assessor_row:1429322020000022022,assessor_row:1429322020000022022,assessor_row:1429322020000022022,assessor_row:1429322020000022022,95.40585376893851,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
residential_14293230020000,residential,single_pin_single_card,14293230020000,1,2016,1,3183,3600,278,1429323002000012022,permit_chain_100661331,100661331/100675123,issued_permit_chain:permit_chain_100661331,assessor_row:1429323002000012022,assessor_row:1429323002000012022,assessor_row:1429323002000012022,22.023236128024347,TRUE,retain_mechanical,single_exact_permit_chain_one_year_after_assessor_year,NA,NA
residential_14293230030000,residential,single_pin_single_card,14293230030000,1,2006,1,3460,3600,278,1429323003000012022,NA,NA,assessor_row:1429323003000012022,assessor_row:1429323003000012022,assessor_row:1429323003000012022,assessor_row:1429323003000012022,252.62850543945328,TRUE,retain_mechanical,latest_single_card_assessor_report,NA,NA
