project_id,source_family,construction_year,within_500ft,construction_zone_group,zoning_assignment_source,zoning_decision_note,component_count,matched_component_count,exact_component_count,adjacent_component_count,exact_groups,adjacent_groups,zone_group_2006,zone_group_2012,zone_group_2014,zone_group_2016,zone_group_2025,ordinance_number_2025,ordinance_date_2025,clerk_document_2025,nearest_validated_pin,nearest_validated_year,nearest_validated_group,nearest_validated_distance_ft
residential_13353210030000,residential,2015,TRUE,Multi-Family Residential,current_polygon_last_event_preconstruction,,1,0,0,0,,,Industrial,Industrial,Industrial,Multi-Family Residential,Multi-Family Residential,18145T1,2014-11-19,O2014-6786,13353210510000,2014,Industrial,28.86744031762663
residential_13353210210000,residential,2015,TRUE,Multi-Family Residential,current_polygon_last_event_preconstruction,,1,0,0,0,,,Industrial,Industrial,Industrial,Multi-Family Residential,Multi-Family Residential,18145T1,2014-11-19,O2014-6786,13353210220000,2014,Industrial,28.26647946103236
residential_16122140310000,residential,2014,TRUE,Neighborhood Mixed-Use,current_polygon_last_event_preconstruction,,1,0,0,0,,,Single-Family Residential,Single-Family Residential,Neighborhood Mixed-Use,Neighborhood Mixed-Use,Neighborhood Mixed-Use,17887T1,2014-01-15,O2013-8401,16122140530000,2015,Neighborhood Mixed-Use,5.25112398939753
residential_16122140450000,residential,2014,TRUE,Neighborhood Mixed-Use,current_polygon_last_event_preconstruction,,1,0,0,0,,,Single-Family Residential,Single-Family Residential,Neighborhood Mixed-Use,Neighborhood Mixed-Use,Neighborhood Mixed-Use,17887T1,2014-01-15,O2013-8401,16122140550000,2014,Neighborhood Mixed-Use,6.124694929185842
residential_16133050280000,residential,2006,TRUE,Multi-Family Residential,coincident_validated_project,,1,0,0,0,,,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,,,,16133050490000,2006,Multi-Family Residential,1.4308207167521403e-5
residential_17071120040000,residential,2017,TRUE,Single-Family Residential,coincident_validated_project,,1,0,0,0,,,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,,,,17071120500000,2018,Single-Family Residential,0.7503385304043915
residential_17072150390000,residential,2012,TRUE,Single-Family Residential,coincident_validated_project,,1,0,0,0,,,Single-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,17370,2011-12-14,O2011-8884,17072150890000,2011,Single-Family Residential,0.003373865829861602
residential_17074300250000,residential,2007,TRUE,Multi-Family Residential,coincident_validated_project,,1,0,0,0,,,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,,,,17074300510000,2008,Multi-Family Residential,1.204770482811238e-4
residential_17341230340000,residential,2014,TRUE,Single-Family Residential,coincident_validated_project,,1,0,0,0,,,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,,,,17341230630000,2014,Single-Family Residential,0.40542080045734646
residential_19171000540000,residential,2019,TRUE,Single-Family Residential,current_polygon_last_event_preconstruction,,1,0,0,0,,,Neighborhood Mixed-Use,Neighborhood Mixed-Use,Neighborhood Mixed-Use,Neighborhood Mixed-Use,Single-Family Residential,A8283,2017-12-13,O2017-1024,19171000600000,2020,Single-Family Residential,6.248338163677131
residential_20032120440000,residential,2015,TRUE,Multi-Family Residential,coincident_validated_project,,1,0,0,0,,,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,,,,20032120740000,2014,Multi-Family Residential,0.14526259947289893
residential_20032120450000,residential,2015,TRUE,Multi-Family Residential,coincident_validated_project,,1,0,0,0,,,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,,,,20032120760000,2014,Multi-Family Residential,0.43644321606380965
residential_20231190180000,residential,2007,TRUE,Multi-Family Residential,coincident_validated_project,,1,0,0,0,,,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,,,,20231190510000,2008,Multi-Family Residential,7.886743835387394e-5
residential_20232240040000,residential,2015,TRUE,Multi-Family Residential,current_polygon_last_event_preconstruction,,1,0,0,0,,,Neighborhood Mixed-Use,Neighborhood Mixed-Use,Neighborhood Mixed-Use,Multi-Family Residential,Multi-Family Residential,A8018,2014-09-10,O2014-5915,20232240240000,2014,Neighborhood Mixed-Use,2.710192418670822
residential_20251140340000,residential,2006,TRUE,Multi-Family Residential,coincident_validated_project,,1,0,0,0,,,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,Multi-Family Residential,,,,20251140520000,2007,Multi-Family Residential,7.615105127718226e-5
residential_multicard_14074070290000,residential,2007,TRUE,Single-Family Residential,validated_component_adjacent_year,,1,1,0,1,,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,,,,14074070290000,2006,Single-Family Residential,6.434191308976855e-4
residential_multicard_17071140440000,residential,2015,TRUE,Single-Family Residential,coincident_validated_project,,1,0,0,0,,,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,Single-Family Residential,,,,17071140540000,2016,Single-Family Residential,0.014524884299263763
residential_multicard_17173330340000,residential,2009,TRUE,Planned Development,validated_component_adjacent_year,,1,1,0,1,,Planned Development,,Planned Development,Planned Development,Planned Development,Planned Development,21046,2022-09-21,O2021-1102,17173330340000,2008,Planned Development,1.2136008545037002e-4
