project_id,project_pin,construction_year,within_500ft,search_geometry_source,current_pin,current_pin10,current_tax_year,current_class,current_x_3435,current_y_3435,current_address,latest_assessor_year,latest_assessor_cards,latest_assessor_classes,latest_assessor_year_built,latest_assessor_units,latest_assessor_building_sqft,latest_assessor_land_sqft,component_project_ids,represented_by_other_final_project,same_original_pin
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290620000,1727129062,2025,295,1178860.2935125935,1887736.7877707216,2508 S CALUMET AVE,2025,1,295,2005,1,1603,769,NA,FALSE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290630000,1727129063,2025,295,1178858.0548969707,1887753.904672942,2506 S CALUMET AVE,2025,1,295,2005,1,1882,885,NA,FALSE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290640000,1727129064,2025,295,1178859.4058649235,1887771.4961863323,2504 S CALUMET AVE,2025,1,295,2005,1,1603,804,NA,FALSE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290650000,1727129065,2025,295,1178858.8826108966,1887790.208954127,2502 S CALUMET AVE,2025,1,295,2008,1,1641,926,residential_17271290650000,TRUE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290660000,1727129066,2025,100,1178870.9282149356,1887707.68105233,2510 S CALUMET AVE CA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290670000,1727129067,2025,100,1178870.880229656,1887617.0517164771,2520 S CALUMET AVE CA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290850000,1727129085,2025,100,1178865.193861643,1887532.3682169272,2530 S CALUMET AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290860000,1727129086,2025,100,1178824.213023429,1887688.4291538317,2501 S CALUMET AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290140000,17271290140000,2007,TRUE,construction_year_parcel,17271290880000,1727129088,2025,100,1178893.431469955,1887684.183471528,2532 S CALUMET AVE,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290250000,1727129025,2025,295,1179160.2476711213,1887595.0928009276,2524 S KING DR,2025,1,295,2005,1,2556,1124,NA,FALSE,FALSE
residential_multicard_17271290150000,17271290150000,2007,TRUE,construction_year_parcel,17271290260000,1727129026,2025,295,1179158.262633012,1887615.7081443255,2522 S KING DR,2025,1,295,2005,1,2284,903,NA,FALSE,FALSE
