project_id,initial_issue
residential_tieback_13364070380000,building_evidence_needed
residential_tieback_14064010160000,building_evidence_needed
residential_tieback_14181220290000,building_evidence_needed
residential_tieback_14191310430000,building_evidence_needed
residential_tieback_14194180260000,building_evidence_needed
residential_tieback_14201130240000,building_evidence_needed
residential_tieback_14202280110000,building_evidence_needed
residential_tieback_14204010050000,building_evidence_needed
residential_tieback_14204170040000,building_evidence_needed
residential_tieback_14291030090000,building_evidence_needed
residential_tieback_14291090060000,building_evidence_needed
residential_tieback_14291130200000,building_evidence_needed
residential_tieback_14291240560000,building_evidence_needed
residential_tieback_14291290090000,building_evidence_needed
residential_tieback_14292080150000,building_evidence_needed
residential_tieback_14293000710000,building_evidence_needed
residential_tieback_14293010030000,building_evidence_needed
residential_tieback_14293040500000,building_evidence_needed
residential_tieback_14293150070000,building_evidence_needed
residential_tieback_14301030040000,building_evidence_needed
residential_tieback_14301180050000,building_evidence_needed
residential_tieback_14301180060000,building_evidence_needed
residential_tieback_14301180220000,building_evidence_needed
residential_tieback_14311050250000,building_evidence_needed
residential_tieback_14311270220000,building_evidence_needed
residential_tieback_14311380110000,building_evidence_needed
residential_tieback_14314180010000,building_evidence_needed
residential_tieback_14314200490000,building_evidence_needed
residential_tieback_14314280030000,building_evidence_needed
residential_tieback_14322240250000,building_evidence_needed
residential_tieback_14324030600000,building_evidence_needed
residential_tieback_14324120340000,building_evidence_needed
residential_tieback_14333010660000,building_evidence_needed
residential_tieback_14333021451001,building_evidence_needed
residential_tieback_14333170330000,building_evidence_needed
residential_tieback_14333180330000,building_evidence_needed
residential_tieback_16013170270000,building_evidence_needed
residential_tieback_16013250500000,building_evidence_needed
residential_tieback_16133040020000,building_evidence_needed
residential_tieback_16133150050000,building_evidence_needed
residential_tieback_16363080360000,building_evidence_needed
residential_tieback_16364170010000,building_evidence_needed
residential_tieback_17054140070000,building_evidence_needed
residential_tieback_17062290030000,building_evidence_needed
residential_tieback_17072020180000,building_evidence_needed
residential_tieback_17073250521001,building_evidence_needed
residential_tieback_17084440100000,building_evidence_needed
residential_tieback_17103180510000,building_evidence_needed
residential_tieback_17181010050000,building_evidence_needed
residential_tieback_17181030140000,building_evidence_needed
residential_tieback_17211140190000,building_evidence_needed
residential_tieback_17213240050000,building_evidence_needed
residential_tieback_17223100230000,building_evidence_needed
residential_tieback_17223100260000,building_evidence_needed
residential_tieback_17223100280000,building_evidence_needed
residential_tieback_17223100290000,building_evidence_needed
residential_tieback_17223100300000,building_evidence_needed
residential_tieback_17223100310000,building_evidence_needed
residential_tieback_17223100320000,building_evidence_needed
residential_tieback_17223100330000,building_evidence_needed
residential_tieback_17223100340000,building_evidence_needed
residential_tieback_17293100010000,building_evidence_needed
residential_tieback_17294250940000,building_evidence_needed
residential_tieback_17312120510000,building_evidence_needed
residential_tieback_17313060060000,building_evidence_needed
residential_tieback_17314200230000,building_evidence_needed
residential_tieback_17321110420000,building_evidence_needed
residential_tieback_17321110440000,building_evidence_needed
residential_tieback_17321110450000,building_evidence_needed
residential_tieback_17321110460000,building_evidence_needed
residential_tieback_17324080040000,building_evidence_needed
residential_tieback_17324080260000,building_evidence_needed
residential_tieback_17331130380000,building_evidence_needed
residential_tieback_17331130430000,building_evidence_needed
residential_tieback_17331231220000,building_evidence_needed
residential_tieback_17332080010000,building_evidence_needed
residential_tieback_17332080030000,building_evidence_needed
residential_tieback_17332080100000,building_evidence_needed
residential_tieback_17333050280000,building_evidence_needed
residential_tieback_17333050310000,building_evidence_needed
residential_tieback_17341050010000,building_evidence_needed
residential_tieback_19171010200000,building_evidence_needed
residential_tieback_19192130050000,building_evidence_needed
residential_tieback_20021020140000,building_evidence_needed
residential_tieback_20024000310000,building_evidence_needed
residential_tieback_20024000560000,building_evidence_needed
residential_tieback_20024040410000,building_evidence_needed
residential_tieback_20024040560000,building_evidence_needed
residential_tieback_20032000220000,building_evidence_needed
residential_tieback_20034020040000,building_evidence_needed
residential_tieback_20174140240000,building_evidence_needed
residential_tieback_20211200220000,building_evidence_needed
residential_tieback_20221050360000,building_evidence_needed
residential_tieback_20231030370000,building_evidence_needed
residential_tieback_20231050120000,building_evidence_needed
residential_tieback_20231160210000,building_evidence_needed
residential_tieback_20231160220000,building_evidence_needed
residential_tieback_20231190130000,building_evidence_needed
residential_tieback_25124230230000,building_evidence_needed
commercial_11293000160000,location_missing
commercial_13241160430000,location_missing
commercial_13253140740000,location_missing
commercial_13361030360000,location_missing
commercial_14204030750000,location_missing
commercial_14294190080000,location_missing
commercial_14294190090000,location_missing
commercial_14294190580000,location_missing
commercial_16111020190000,location_missing
commercial_16132180010000,location_missing
commercial_16242010140000,location_missing
commercial_17042120010000,location_missing
commercial_17042220640000,location_missing
commercial_17044510060000,location_missing
commercial_17062350680000,location_missing
commercial_17074160420000,location_missing
commercial_17074170400000,location_missing
commercial_17082130110000,location_missing
commercial_17092610280000,location_missing
commercial_17102120370000,location_missing
commercial_17161000490000,location_missing
commercial_17164110150000,location_missing
commercial_17164160140000,location_missing
commercial_20023050190000,location_missing
commercial_20034130510000,location_missing
commercial_20042140440000,location_missing
commercial_20042160930000,location_missing
residential_16132060770000,recorded_decision_needs_application
residential_17062150410000,recorded_decision_needs_application
residential_297_group_14202150290000,recorded_decision_needs_application
residential_297_group_16014080410000,recorded_decision_needs_application
residential_297_group_17172140050000,recorded_decision_needs_application
residential_tieback_13261060030000,recorded_decision_needs_application
residential_tieback_13361070880000,recorded_decision_needs_application
residential_tieback_14171150250000,recorded_decision_needs_application
residential_tieback_14171150260000,recorded_decision_needs_application
residential_tieback_14193230280000,recorded_decision_needs_application
residential_tieback_14201180260000,recorded_decision_needs_application
residential_tieback_14203270150000,recorded_decision_needs_application
residential_tieback_14292270330000,recorded_decision_needs_application
residential_tieback_14311070100000,recorded_decision_needs_application
residential_tieback_14313080420000,recorded_decision_needs_application
residential_tieback_14313240020000,recorded_decision_needs_application
residential_tieback_16012070380000,recorded_decision_needs_application
residential_tieback_16012250060000,recorded_decision_needs_application
residential_tieback_16014090530000,recorded_decision_needs_application
residential_tieback_16014300040000,recorded_decision_needs_application
residential_tieback_16014300050000,recorded_decision_needs_application
residential_tieback_17051160110000,recorded_decision_needs_application
residential_tieback_17053080540000,recorded_decision_needs_application
residential_tieback_17053210120000,recorded_decision_needs_application
residential_tieback_17062210310000,recorded_decision_needs_application
residential_tieback_17063260150000,recorded_decision_needs_application
residential_tieback_17083340230000,recorded_decision_needs_application
residential_tieback_17203090110000,recorded_decision_needs_application
residential_overlap_11321040210000,residential_commercial_overlap
residential_overlap_13141220320000,residential_commercial_overlap
residential_overlap_13243090220000,residential_commercial_overlap
residential_overlap_13253150700000,residential_commercial_overlap
residential_overlap_13312050690000,residential_commercial_overlap
residential_overlap_13312140010000,residential_commercial_overlap
residential_overlap_14283120910000,residential_commercial_overlap
residential_overlap_14291010490000,residential_commercial_overlap
residential_overlap_14294161030000,residential_commercial_overlap
residential_overlap_14333000110000,residential_commercial_overlap
residential_overlap_16132010030000,residential_commercial_overlap
residential_overlap_16242010170000,residential_commercial_overlap
residential_overlap_16242020090000,residential_commercial_overlap
residential_overlap_16242020170000,residential_commercial_overlap
