pin,construction_year,construction_zone_group
10314090390000,2018,Neighborhood Mixed-Use
10333090050000,2014,Single-Family Residential
10333160130000,2018,Single-Family Residential
10333230010000,2007,Single-Family Residential
10333280210000,2021,Neighborhood Mixed-Use
10333300650000,2011,Single-Family Residential
11303170240000,2007,Multi-Family Residential
11303200330000,2008,Neighborhood Mixed-Use
11303220080000,2006,Multi-Family Residential
11303220110000,2011,Multi-Family Residential
11303220120000,2008,Multi-Family Residential
11304180100000,2014,Single-Family Residential
11311100120000,2008,Single-Family Residential
11311110160000,2006,Multi-Family Residential
11311220330000,2013,Multi-Family Residential
11312100410000,2006,Single-Family Residential
11312140340000,2014,Single-Family Residential
11312200050000,2010,Single-Family Residential
11313010240000,2008,Multi-Family Residential
11321120020000,2012,Multi-Family Residential
11321130260000,2008,Neighborhood Mixed-Use
11321130300000,2008,Neighborhood Mixed-Use
11321140130000,2012,Commercial
11321160360000,2010,Multi-Family Residential
11323190150000,2017,Neighborhood Mixed-Use
11323200060000,2021,Neighborhood Mixed-Use
11323300400000,2014,Neighborhood Mixed-Use
11323310340000,2008,Neighborhood Mixed-Use
11323310360000,2019,Planned Development
12242020150000,2007,Single-Family Residential
12242100220000,2007,Single-Family Residential
12242100230000,2007,Single-Family Residential
12242220200000,2007,Single-Family Residential
12242290130000,2008,Single-Family Residential
12243110410000,2021,Single-Family Residential
12243150070000,2016,Single-Family Residential
12243300010000,2018,Single-Family Residential
12244030010000,2022,Neighborhood Mixed-Use
12244030110000,2018,Single-Family Residential
12244040320000,2015,Single-Family Residential
12244150400000,2021,Multi-Family Residential
12244180480000,2016,Single-Family Residential
12252090390000,2015,Single-Family Residential
12252100080000,2022,Single-Family Residential
13011200230000,2019,Multi-Family Residential
13011210070000,2018,Multi-Family Residential
13011260270000,2006,Multi-Family Residential
13011260550000,2006,Multi-Family Residential
13011260620000,2007,Single-Family Residential
13011260640000,2007,Single-Family Residential
13011260650000,2009,Single-Family Residential
13012280250000,2019,Single-Family Residential
13013110490000,2021,Multi-Family Residential
13013180010000,2006,Single-Family Residential
13013210180000,2008,Neighborhood Mixed-Use
13014060090000,2007,Single-Family Residential
13014130470000,2008,Single-Family Residential
13014130480000,2008,Single-Family Residential
13021130170000,2010,Single-Family Residential
13021130180000,2010,Single-Family Residential
13021130190000,2010,Single-Family Residential
13021140350000,2018,Single-Family Residential
13021140450000,2018,Single-Family Residential
13021140500000,2010,Single-Family Residential
13021140520000,2007,Single-Family Residential
13021230200000,2018,Single-Family Residential
13021230210000,2018,Single-Family Residential
13022030120000,2011,Single-Family Residential
13022030130000,2011,Single-Family Residential
13022030470000,2014,Single-Family Residential
13022040520000,2006,Single-Family Residential
13022060150000,2018,Single-Family Residential
13022060160000,2018,Single-Family Residential
13022080410000,2008,Single-Family Residential
13022080420000,2008,Single-Family Residential
13022090360000,2016,Single-Family Residential
13022090450000,2019,Single-Family Residential
13022090460000,2019,Single-Family Residential
13022090490000,2016,Single-Family Residential
13022130210000,2022,Single-Family Residential
13022170120000,2021,Single-Family Residential
13024100020000,2007,Single-Family Residential
13024160190000,2006,Single-Family Residential
13024160200000,2006,Single-Family Residential
13024160320000,2017,Single-Family Residential
13024210200000,2008,Single-Family Residential
13024260130000,2006,Single-Family Residential
13024260140000,2007,Single-Family Residential
13024280080000,2007,Single-Family Residential
13024330230000,2008,Neighborhood Mixed-Use
13031000820000,2007,Single-Family Residential
13031000830000,2008,Single-Family Residential
13031310050000,2014,Single-Family Residential
13033160010000,2008,Single-Family Residential
13033161680000,2008,Single-Family Residential
13042080370000,2008,Single-Family Residential
13042080410000,2019,Single-Family Residential
13042080420000,2019,Single-Family Residential
13042090560000,2016,Single-Family Residential
13042170150000,2011,Single-Family Residential
13042170260000,2006,Single-Family Residential
13043080080000,2009,Planned Development
13043080090000,2007,Planned Development
13043080100000,2007,Planned Development
13043080110000,2007,Planned Development
13043080120000,2011,Planned Development
13043080130000,2008,Planned Development
13043120290000,2008,Planned Development
13043120300000,2007,Planned Development
13043120310000,2012,Planned Development
13043120320000,2011,Planned Development
13043120330000,2014,Planned Development
13043120340000,2007,Planned Development
13043120350000,2007,Planned Development
13043120360000,2012,Planned Development
13043120370000,2014,Planned Development
13043120380000,2015,Planned Development
13043120390000,2011,Planned Development
13043120420000,2011,Planned Development
13043120430000,2011,Planned Development
13043120460000,2011,Planned Development
13043120470000,2011,Planned Development
13043120520000,2008,Planned Development
13043120530000,2008,Planned Development
13043120540000,2008,Planned Development
13043120550000,2011,Planned Development
13043120560000,2012,Planned Development
13043120570000,2007,Planned Development
13043120580000,2011,Planned Development
13043120590000,2014,Planned Development
13043120600000,2011,Planned Development
13043120610000,2011,Planned Development
13043120620000,2014,Planned Development
13043120630000,2013,Planned Development
13043120640000,2017,Planned Development
13043120650000,2013,Planned Development
13043120660000,2014,Planned Development
13043120670000,2014,Planned Development
13043120680000,2011,Planned Development
13043120690000,2007,Planned Development
13043120700000,2017,Planned Development
13043120710000,2007,Planned Development
13043120720000,2007,Planned Development
13043120730000,2008,Planned Development
13043120740000,2008,Planned Development
13043120750000,2009,Planned Development
13043120760000,2007,Planned Development
13043120770000,2011,Planned Development
13043120780000,2008,Planned Development
13043120790000,2007,Planned Development
13043120800000,2009,Planned Development
13043120810000,2009,Planned Development
13043120820000,2013,Planned Development
13043120830000,2011,Planned Development
13043120840000,2012,Planned Development
13043120850000,2011,Planned Development
13043120860000,2007,Planned Development
13043120880000,2011,Planned Development
13043120890000,2011,Planned Development
13043120900000,2012,Planned Development
13043120910000,2011,Planned Development
13043120920000,2012,Planned Development
13043120940000,2011,Planned Development
13044110430000,2006,Single-Family Residential
13044110440000,2006,Single-Family Residential
13051110270000,2011,Single-Family Residential
13051140450000,2019,Neighborhood Mixed-Use
13051140460000,2019,Neighborhood Mixed-Use
13051140470000,2021,Neighborhood Mixed-Use
13051140480000,2021,Neighborhood Mixed-Use
13051190200000,2012,Single-Family Residential
13052010070000,2018,Single-Family Residential
13052160330000,2008,Single-Family Residential
13053020330000,2021,Single-Family Residential
13054000010000,2019,Multi-Family Residential
13054130220000,2010,Single-Family Residential
13062040220000,2009,Single-Family Residential
13062190240000,2006,Single-Family Residential
13062240030000,2020,Single-Family Residential
13064060160000,2022,Single-Family Residential
13064090100000,2018,Single-Family Residential
13064090110000,2018,Single-Family Residential
13064090370000,2020,Single-Family Residential
13064150010000,2019,Single-Family Residential
13071260010000,2020,Single-Family Residential
13072030360000,2014,Single-Family Residential
13072050400000,2006,Single-Family Residential
