pin,pin10,card_num,cards_in_history,minimum_post_1999_construction_year,latest_report_through_2022_construction_year,latest_report_through_2025_construction_year,latest_report_at_sample_end_construction_year,latest_report_all_construction_year,modal_post_1999_construction_year,latest_repeated_post_1999_construction_year,minimum_post_1999_selected_tax_year,latest_report_through_2022_selected_tax_year,latest_report_through_2025_selected_tax_year,latest_report_at_sample_end_selected_tax_year,latest_report_all_selected_tax_year,modal_post_1999_selected_tax_year,latest_repeated_post_1999_selected_tax_year,reports,first_tax_year,last_tax_year,distinct_years_all,distinct_years_post_1999,has_pre_1999_report,first_post_1999_tax_year,minimum_post_1999_year,maximum_post_1999_year,first_report_lag_minimum,revised_post_1999,unique_pin10_permit_match,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,latest_minus_minimum,latest_2025_minus_minimum,modal_minus_minimum,minimum_in_paper_window,latest_in_paper_window,latest_2025_in_paper_window,modal_in_paper_window,review_priority,minimum_permit_gap,latest_permit_gap
13133130400000,1313313040,1,1,2004,2007,2007,2007,2007,2007,2007,2005,2022,2025,2022,2026,2026,2026,22,2005,2026,2,2,FALSE,2005,2004,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,FALSE,TRUE,TRUE,TRUE,1,NA,NA
14183000240000,1418300024,1,1,2004,2007,2007,2007,2007,2007,2007,2005,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2005,2004,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,FALSE,TRUE,TRUE,TRUE,1,NA,NA
14184210060000,1418421006,1,1,2004,2007,2007,2007,2007,2007,2007,2005,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2005,2004,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,FALSE,TRUE,TRUE,TRUE,1,NA,NA
16354070220000,1635407022,1,1,2004,2007,2007,2007,2007,2007,2007,2005,2022,2025,2022,2026,2026,2026,28,1999,2026,3,2,TRUE,2005,2004,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,FALSE,TRUE,TRUE,TRUE,1,NA,NA
17173050080000,1717305008,1,1,2005,2008,2008,2008,2008,2005,2008,2006,2022,2025,2022,2026,2019,2026,21,2006,2026,3,3,FALSE,2006,2005,2008,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
17293090360000,1729309036,22,28,2005,2008,2008,2008,2008,2008,2008,2009,2018,2018,2018,2018,2018,2018,10,2009,2018,2,2,FALSE,2009,2005,2008,4,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,FALSE,TRUE,TRUE,TRUE,1,NA,NA
20041290270000,2004129027,1,1,2004,2007,2007,2007,2007,2007,2007,2005,2022,2025,2022,2026,2026,2026,22,2005,2026,2,2,FALSE,2005,2004,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,FALSE,TRUE,TRUE,TRUE,1,NA,NA
09253050430000,0925305043,1,1,2005,2007,2007,2007,2007,2005,2007,2013,2022,2025,2022,2026,2021,2026,14,2013,2026,2,2,FALSE,2013,2005,2007,8,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
09254140410000,0925414041,1,1,2005,2007,2007,2007,2007,2005,2007,2006,2022,2025,2022,2026,2021,2026,28,1999,2026,3,2,TRUE,2006,2005,2007,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
09362020330000,0936202033,1,1,2004,2006,2006,2006,2006,2004,2006,2005,2022,2025,2022,2026,2021,2026,22,2005,2026,2,2,FALSE,2005,2004,2006,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0,FALSE,TRUE,TRUE,FALSE,1,NA,NA
