pin,pin10,card_num,cards_in_history,tax_year,previous_year_built,year_built,transition_type,previous_building_sqft,building_sqft,sqft_ratio,previous_land_sqft,land_sqft,previous_apartments,apartments,previous_building_use,building_use,previous_residence_type,residence_type,large_characteristic_change,candidate_pins_under_pin10,new_construction_permits_under_pin10,permit_id,permit_application_date,permit_application_year,permit_issue_date,permit_issued,permit_status,permit_address,work_description,unique_pin10_permit_match,build_minus_permit_year,permit_supports_new_year,permit_postdates_previous_reported_year,candidate_type
09254250310000,0925425031,1,1,2014,1954,2011,pre_1999_to_post_1999,840,2500,2.9761904761904763,3903,3903,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09254260020000,0925426002,1,1,2002,1950,2001,pre_1999_to_post_1999,1183,2880,2.4344885883347422,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09254320440000,0925432044,1,1,2012,1952,2011,pre_1999_to_post_1999,1391,2868,2.061826024442847,4500,4500,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE,1,1,2328504,2011-11-28,2011,2011-11-28,1,COMPLETE,7239 N OCONTO AVE,DEMO EXISTING ONE STORY RESIDENCE AND CONSTRUCT NEW TWO STORY RESIDENCE ON EXISTING FOUNDATION.,TRUE,0,TRUE,TRUE,old_building_to_new_building
09361040600000,0936104060,1,1,2018,1920,2017,pre_1999_to_post_1999,1602,2886,1.801498127340824,6072,6072,0,0,Single-Family,Single-Family,1.5 Story,2 Story,TRUE,1,1,2791514,2016-10-21,2016,2016-12-09,1,COMPLETE,7027 N OZARK AVE,"ERECT A NEW FRAME  2 STORY SINGLE FAMILY HOME WITH BASEMENT, FRONT OPEN PORCH, REAR WOOD OPEN DECK, AND DETACHED 3 CAR FRAME PRIVATE GARAGE",TRUE,1,TRUE,TRUE,old_building_to_new_building
09362000050000,0936200005,1,1,2005,1929,2004,pre_1999_to_post_1999,1032,3364,3.25968992248062,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362000100000,0936200010,1,1,2002,1920,1999,pre_1999_to_post_1999,720,2536,3.522222222222222,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362000120000,0936200012,1,1,2020,1921,2019,pre_1999_to_post_1999,720,2925,4.0625,7350,7350,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,1,3036675,2019-06-10,2019,2019-08-30,1,COMPLETE,7107 N ORIOLE AVE,"BUILDING OF A SINGLE FAMILY RESIDENCE FRAME CONSTRUCTION, 2-STORY HIGH WITH BASEMENT PLUS A 3-CAR DETACHED FRAME GARAGE.(CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS)",TRUE,0,TRUE,TRUE,old_building_to_new_building
09362010150000,0936201015,1,1,2003,1923,2002,pre_1999_to_post_1999,585,3031,5.181196581196581,NA,NA,0,0,Single-Family,Single-Family,1 Story,2 Story,TRUE,1,0,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,FALSE,old_building_to_new_building
09362010240000,0936201024,1,1,2009,1924,2008,pre_1999_to_post_1999,1214,3222,2.654036243822076,6463,6463,0,0,Single-Family,Single-Family,1 Story,1.5 Story,TRUE,1,1,1890344,2008-08-11,2008,2008-10-23,1,COMPLETE,7100 N OLCOTT AVE,BUILD A NEW 1 1/2 STORY BRICK VENEER RESIDENCE.  BUILDING TO HAVE 2144 S.F. ON THE FIRST FLOOR AND AN UNFINISHED BASEMENT AND ATTIC.   PROVIDE A NEW CONCRETE FRONT WALK.,TRUE,0,TRUE,TRUE,old_building_to_new_building
09362020270000,0936202027,1,1,2020,1908,2019,pre_1999_to_post_1999,1590,2882,1.8125786163522013,7350,7350,0,0,Single-Family,Single-Family,2 Story,2 Story,TRUE,1,1,2993437,2019-01-18,2019,2019-01-30,1,COMPLETE,7112 N OSCEOLA AVE,NEW 2 STORY (4A CONSTRUCTION) SINGLE FAMILY RESIDENCE WITH BASEMENT AND OPEN FRONT PORCH. NEW FRAME 3 CAR GARAGE. 280 LF OF 6 FT HIGH WOOD FENCE. ALL WORK AS PER PLANS.,TRUE,0,TRUE,TRUE,old_building_to_new_building
