variant,construction_sample,outcome,treatment,estimate,se,p_value,n,ward_pairs,pins
full_record_endpoint_minus_one_to_permit_year,all,density_far,continuous,-0.06694048791533004,0.03305416446967581,0.04499635062539894,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,all,density_far,binary,-0.06805695523932073,0.05275013558116154,0.19939035829436638,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,all,density_dupac,continuous,-0.042363715733589165,0.04177244570044046,0.31248378064347015,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,all,density_dupac,binary,-0.06411939593788103,0.07004294185779847,0.36174283362972914,4109,125,4109
full_record_endpoint_minus_one_to_permit_year,multifamily,density_far,continuous,-0.23503805981300865,0.06867058901386554,9.271836919498905e-4,881,93,881
full_record_endpoint_minus_one_to_permit_year,multifamily,density_far,binary,-0.2684795349075736,0.09968818874327118,0.008410289536208341,881,93,881
full_record_endpoint_minus_one_to_permit_year,multifamily,density_dupac,continuous,-0.17284660370481758,0.05634448889094619,0.0028335633601999596,881,93,881
full_record_endpoint_minus_one_to_permit_year,multifamily,density_dupac,binary,-0.3162881169415693,0.1177311729841092,0.008567217030660388,881,93,881
full_record_latest_repeated_post_1999,all,density_far,continuous,-0.06614250161588198,0.03357559956034501,0.05107212015804438,4109,125,4109
full_record_latest_repeated_post_1999,all,density_far,binary,-0.06759482883890208,0.05331075005146261,0.20719500525761558,4109,125,4109
full_record_latest_repeated_post_1999,all,density_dupac,continuous,-0.042751155703230875,0.04142911009314717,0.30412226517304586,4109,125,4109
full_record_latest_repeated_post_1999,all,density_dupac,binary,-0.06980578623912402,0.06866935241263523,0.3113472058519714,4109,125,4109
full_record_latest_repeated_post_1999,multifamily,density_far,continuous,-0.23362999564164974,0.06752061672392894,8.203154966029471e-4,883,93,883
full_record_latest_repeated_post_1999,multifamily,density_far,binary,-0.24272167141046716,0.09602273773637336,0.01318495862630786,883,93,883
full_record_latest_repeated_post_1999,multifamily,density_dupac,continuous,-0.1742025140796381,0.05635554888780616,0.0026385700234379597,883,93,883
full_record_latest_repeated_post_1999,multifamily,density_dupac,binary,-0.3050449895784287,0.12087725477446275,0.013331488569822691,883,93,883
full_record_latest_report_all,all,density_far,continuous,-0.06618711462933864,0.03356081726991703,0.05081772209158985,4110,125,4110
full_record_latest_report_all,all,density_far,binary,-0.06767571383994672,0.05328375314502316,0.20642701421793605,4110,125,4110
full_record_latest_report_all,all,density_dupac,continuous,-0.04288125929141171,0.04138667215669849,0.30216588034621544,4110,125,4110
full_record_latest_report_all,all,density_dupac,binary,-0.07003822879984685,0.06858309601097509,0.3091398546536819,4110,125,4110
full_record_latest_report_all,multifamily,density_far,continuous,-0.23362999564164974,0.06752061672392894,8.203154966029471e-4,883,93,883
full_record_latest_report_all,multifamily,density_far,binary,-0.24272167141046716,0.09602273773637336,0.01318495862630786,883,93,883
full_record_latest_report_all,multifamily,density_dupac,continuous,-0.1742025140796381,0.05635554888780616,0.0026385700234379597,883,93,883
full_record_latest_report_all,multifamily,density_dupac,binary,-0.3050449895784287,0.12087725477446275,0.013331488569822691,883,93,883
full_record_latest_report_at_sample_end,all,density_far,continuous,-0.0648659802213795,0.03325813968543591,0.053387180134945304,4113,125,4113
full_record_latest_report_at_sample_end,all,density_far,binary,-0.06514846097358946,0.053183789347701745,0.22290898695816655,4113,125,4113
full_record_latest_report_at_sample_end,all,density_dupac,continuous,-0.04011579618950844,0.041890191449532974,0.3401068504862289,4113,125,4113
full_record_latest_report_at_sample_end,all,density_dupac,binary,-0.06347177684805244,0.07108932507822334,0.3736694402889368,4113,125,4113
full_record_latest_report_at_sample_end,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
full_record_latest_report_at_sample_end,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
full_record_latest_report_at_sample_end,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
full_record_latest_report_at_sample_end,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
full_record_latest_report_through_2022,all,density_far,continuous,-0.0648659802213795,0.03325813968543591,0.053387180134945304,4113,125,4113
full_record_latest_report_through_2022,all,density_far,binary,-0.06514846097358946,0.053183789347701745,0.22290898695816655,4113,125,4113
full_record_latest_report_through_2022,all,density_dupac,continuous,-0.04011579618950844,0.041890191449532974,0.3401068504862289,4113,125,4113
full_record_latest_report_through_2022,all,density_dupac,binary,-0.06347177684805244,0.07108932507822334,0.3736694402889368,4113,125,4113
full_record_latest_report_through_2022,multifamily,density_far,continuous,-0.23534939940390054,0.06915913131892747,9.884752190800399e-4,881,93,881
full_record_latest_report_through_2022,multifamily,density_far,binary,-0.25909844819931144,0.09888412014275064,0.010279575244937307,881,93,881
full_record_latest_report_through_2022,multifamily,density_dupac,continuous,-0.17610386324588603,0.05734925696855684,0.0028074686328088032,881,93,881
full_record_latest_report_through_2022,multifamily,density_dupac,binary,-0.3187074855715147,0.12173194830337337,0.010338947012060487,881,93,881
