segment_id,segment_number,segment_type,nearest_street_name,nearest_street_class,distance_to_nearest_street_ft
2_43_2015_2023_1,1,no_feature,W FULLERTON AVE,2,661.6586247480827
2_43_2015_2023_2,2,arterial,W FULLERTON AVE,2,378.76923215734024
2_43_2015_2023_3,3,collector,N RACINE AVE,3,245.64245745434513
2_43_2015_2023_4,4,collector,N RACINE AVE,3,1.0915890505044301e-4
2_43_2015_2023_5,5,collector,N CLYBOURN AVE,3,4.819960062385372e-5
2_43_2015_2023_6,6,collector,N CLYBOURN AVE,3,174.6185146388595
2_43_2015_2023_7,7,arterial,W NORTH AVE,2,7.11969785734087e-5
2_43_2015_2023_8,8,arterial,N HALSTED ST,2,7.392828971325912
2_43_2015_2023_9,9,no_feature,W NORTH AVE,2,758.9297399979805
2_43_2015_2023_10,10,arterial,W NORTH AVE,2,9.377773163868653e-5
2_43_2015_2023_11,11,arterial,W NORTH AVE,2,644.0324996415287
2_43_2015_2023_12,12,collector,N CLARK ST,3,488.8395086309692
2_43_2015_2023_13,13,mixed,W NORTH BLVD,2,4.651719651769824e-6
2_43_2015_2023_14,14,arterial,N STATE PKWY,2,597.8633247554461
2_43_2015_2023_15,15,arterial,N STATE PKWY,2,3.008262824666253e-5
2_43_2015_2023_16,16,mixed,E DIVISION ST,3,3.521734351390796e-5
