File: residential_assessor_history.parquet
Rows: 12320011
Columns: 47
SHA-256 (saved bytes): 73fbc3766adf4e4da3ec52f03c6da95a97d809767c0e6f0355ba4afa58b75c5d
Key: row_id
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                    column inferred_type non_missing distinct  min         max                 mean                  sd
                       pin       VARCHAR    12320011   441774    -           -                    -                   -
                  tax_year       INTEGER    12320011       29 1999        2026   2012.4992037750615   8.067765214488468
                  card_num       INTEGER    12320011       56    1          60   1.0188220611166663  0.2735028077822346
                     class       VARCHAR    12320011       29    -           -                    -                   -
             township_code       VARCHAR    12320011        9    -           -                    -                   -
         proration_key_pin       VARCHAR      296892     7023    -           -                    -                   -
        pin_proration_rate        DOUBLE    12320011      196  0.0         1.0    0.987499167332009 0.08467951434558747
       card_proration_rate        DOUBLE    12315805      223  0.0      3770.3 0.014057099991928716  2.6195373735052114
                       cdu       VARCHAR    12304085        7    -           -                    -                   -
          pin_is_multicard       BOOLEAN    12320011        2    -           -                    -                   -
             pin_num_cards       INTEGER    12320011       37    1          60   1.0367913632544645  0.4515629009850127
          pin_is_multiland       BOOLEAN    12320011        2    -           -                    -                   -
         pin_num_landlines       INTEGER    12320011        6    1           6   1.0113702820557546 0.11468799311288752
                year_built       INTEGER    12319867      223 1801        2026   1930.1718404914598  30.344826645510093
             building_sqft        DOUBLE    12275868    10238  0.0    643884.0    1835.332553347755  1252.9114831445002
                 land_sqft        DOUBLE     9334267    11732  1.0 228167280.0   4028.0627442947584   91076.60007460736
              num_bedrooms        DOUBLE    12275031       39  0.0        90.0   3.7267052930456956   1.900972300525535
                 num_rooms        DOUBLE    12274881       73  1.0        91.0    7.448627893011753   4.176943476729702
            num_full_baths        DOUBLE    12275029       33  0.0        99.0   1.7221778457712809   1.010753925928807
            num_half_baths        DOUBLE    12271231       17  0.0        71.0  0.27738887810033075  0.5349999511750623
            num_fireplaces        DOUBLE    12262912       13  0.0        22.0  0.14171519782576927  0.4697066421150204
         type_of_residence       VARCHAR    12275685        5    -           -                    -                   -
      construction_quality       VARCHAR    12320011        3    -           -                    -                   -
            num_apartments        DOUBLE    11541370        6  0.0         6.0    0.761528050829321  1.3283944956563045
              attic_finish       VARCHAR    12271195        3    -           -                    -                   -
           garage_attached       VARCHAR    12267507        2    -           -                    -                   -
      garage_area_included       VARCHAR    12267438        2    -           -                    -                   -
               garage_size        DOUBLE    12273721        9  0.0         4.0   1.3051163131376378     0.8889236628539
  garage_ext_wall_material       VARCHAR     9038880        4    -           -                    -                   -
                attic_type       VARCHAR    12274943        3    -           -                    -                   -
             basement_type       VARCHAR    12274974        4    -           -                    -                   -
         ext_wall_material       VARCHAR    12275129        4    -           -                    -                   -
           central_heating       VARCHAR    12274392        4    -           -                    -                   -
          repair_condition       VARCHAR    12274998        3    -           -                    -                   -
           basement_finish       VARCHAR    12272124        3    -           -                    -                   -
             roof_material       VARCHAR    12275065        6    -           -                    -                   -
     single_v_multi_family       VARCHAR    12275293        2    -           -                    -                   -
         site_desirability       VARCHAR    12274957        3    -           -                    -                   -
      num_commercial_units       INTEGER    12306510        7   -1           5 0.023657153815338387 0.17574706592369593
                renovation       VARCHAR       70791        1    -           -                    -                   -
                     porch       VARCHAR    12272043        3    -           -                    -                   -
               central_air       VARCHAR    12275008        2    -           -                    -                   -
               design_plan       VARCHAR    12274972        3    -           -                    -                   -
                    row_id       VARCHAR    12320011 10587206    -           -                    -                   -
           apartments_text       VARCHAR    11541370        6    -           -                    -                   -
          source_row_order        BIGINT    12320011 11213488    1    12320011            6160006.0   3556480.977972165
reported_proration_key_pin       VARCHAR      296892     7023    -           -                    -                   -
