external_row_id,matter_id,matter_intro_date,matter_title,address_phrase_source,address_phrase,census_query_address,query_note,input_address,match_status,match_type,matched_address,coordinates,longitude,latitude,tiger_line_id,tiger_line_side,geocoder_source,geocoder_endpoint,geocoder_benchmark
O2012-6644,O2012-6644,2012-10-03,Zoning Reclassification Map No. 12-F at W Garfield Blvd and Chicago Transit Authority Red Line right-of-way,matter_title_address_phrase,W Garfield Blvd and Chicago Transit Authority Red Line right-of-way,W Garfield Blvd and Chicago Transit Authority Red Line right-of-way,address_query,"W Garfield Blvd and Chicago Transit Authority Red Line right-of-way, Chicago, IL",No_Match,,,,,,,,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2013-2484,O2013-2484,2013-04-10,Zoning Reclassification Map No.5-1 at 3053 W Armitage Ave - App No. 17713,matter_title_address_phrase,3053 W Armitage Ave,3053 W Armitage Ave,address_query,"3053 W Armitage Ave, Chicago, IL",Match,Exact,"3053 W ARMITAGE AVE, CHICAGO, IL, 60647","-87.704438781935,41.917362848118",-87.704438781935,41.917362848118,616886934,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2013-4946,SO2013-4946,2013-06-26,Zoning Reclassification Map No. 5-G at 1907-1909 N Bissell Ave - App No. 17761T1,address_raw,1907-1909 N Bissell Ave,1907-1909 N Bissell Ave,address_query,"1907-1909 N Bissell Ave, Chicago, IL",Match,Exact,"1909 N BISSELL ST, CHICAGO, IL, 60614","-87.652006759841,41.916204706611",-87.652006759841,41.916204706611,111767121,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2013-6409,O2013-6409,2013-09-11,Zoning Reclassification Map No. 5-G at 1906 N Halsted St,matter_title_address_phrase,1906 N Halsted St,1906 N Halsted St,address_query,"1906 N Halsted St, Chicago, IL",Match,Exact,"1906 N HALSTED ST, CHICAGO, IL, 60614","-87.64851320132,41.91615035867",-87.64851320132,41.91615035867,639815529,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2013-7532,O2013-7532,2013-10-16,Zoning Reclassification Map No. 14-D at 1525 E 55th St (a.k.a. 5500 S Lake Park Ave and 5505-5519 S Harper Ave) - App No. 17836,address_raw,1525 E 55th St (a.k.a. 5500 S Lake Park Ave and 5505-5519 S Harper Ave),1525 E 55th St,address_query,"1525 E 55th St, Chicago, IL",Match,Exact,"1525 E 55TH ST, CHICAGO, IL, 60615","-87.589078364126,41.795208747058",-87.589078364126,41.795208747058,111771951,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2013-7542,O2013-7542,2013-10-16,Zoning Reclassification Map No. 11-G at 4635-4641 N Broadway - App No. 17846,address_raw,4635-4641 N Broadway,4635-4641 N Broadway,address_query,"4635-4641 N Broadway, Chicago, IL",Match,Exact,"4641 N BROADWAY ST, CHICAGO, IL, 60640","-87.657806557665,41.966057950839",-87.657806557665,41.966057950839,111761626,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2013-9415,O2013-9415,2013-12-11,Zoning Reclassification Map No. 16-N at 7155-7157 W 63rd St aka 6301-6319 S Harlem Ave - App No. 17894,address_raw,7155-7157 W 63rd St aka 6301-6319 S Harlem Ave,7155-7157 W 63rd St,address_query,"7155-7157 W 63rd St, Chicago, IL",Match,Exact,"7157 W 63RD ST, CHICAGO, IL, 60638","-87.800301005184,41.777254867301",-87.800301005184,41.777254867301,111810508,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
SO2014-2421,SO2014-2421,2014-04-02,"Zoning reclassification Map Nos. 5-H, 5-I and 5-J regarding establishment of 606 Trail and Park",none,,,606_trail_corridor_not_point_geocoded,,NO_QUERY,,,,,,,,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2014-3296,O2014-3296,2014-04-30,Zoning Reclassification Map No.3-E at 900 N Dewitt Pl (240 E Delaware Pl) - App No. 18016,address_raw,900 N Dewitt Pl (240 E Delaware Pl),900 N Dewitt Pl,address_query,"900 N Dewitt Pl, Chicago, IL",Match,Exact,"900 N DEWITT PL, CHICAGO, IL, 60611","-87.620292802875,41.899323241308",-87.620292802875,41.899323241308,111768969,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2014-4944,O2014-4944,2014-06-25,Zoning Reclassification Map No. 11-G at 4025-4027 N Broadway - App No. 18073T1,address_raw,4025-4027 N Broadway,4025-4027 N Broadway,address_query,"4025-4027 N Broadway, Chicago, IL",Match,Exact,"4027 N BROADWAY ST, CHICAGO, IL, 60613","-87.650922815306,41.955290996694",-87.650922815306,41.955290996694,111766564,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2014-5815,O2014-5815,2014-07-30,Zoning Reclassification Map No. 20-I at 2843 W 79th St - App No. 18128,address_raw,2843 W 79th St,2843 W 79th St,address_query,"2843 W 79th St, Chicago, IL",Match,Exact,"2843 W 79TH ST, CHICAGO, IL, 60652","-87.694111200686,41.74982761753",-87.694111200686,41.74982761753,111819985,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2014-8750,O2014-8750,2014-10-08,Zoning Reclassification Map No. 11-H at 4416 N Winchester Ave,matter_title_address_phrase,4416 N Winchester Ave,4416 N Winchester Ave,address_query,"4416 N Winchester Ave, Chicago, IL",Match,Exact,"4416 N WINCHESTER AVE, CHICAGO, IL, 60640","-87.677581173714,41.962005086669",-87.677581173714,41.962005086669,652586876,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2014-8795,O2014-8795,2014-11-05,Zoning Reclassification Map No. 5-J at 1652 N St Louis Ave - App No. 18209,address_raw,1652 N St Louis Ave,1652 N St Louis Ave,address_query,"1652 N St Louis Ave, Chicago, IL",Match,Exact,"1652 N ST LOUIS AVE, CHICAGO, IL, 60647","-87.71341991836,41.911249246793",-87.71341991836,41.911249246793,605042944,L,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
O2014-9804,O2014-9804,2014-12-10,Zoning Reclassification Map No. 5-J at 1929 N Drake Ave - RS3 to RT4,matter_title_address_phrase,1929 N Drake Ave,1929 N Drake Ave,address_query,"1929 N Drake Ave, Chicago, IL",Match,Exact,"1929 N DRAKE AVE, CHICAGO, IL, 60647","-87.715046386707,41.916234980751",-87.715046386707,41.916234980751,605223714,R,census_geocoder,https://geocoding.geo.census.gov/geocoder/locations/onelineaddress,Public_AR_Current
