File: preferred_historical_predecessor_selected.gpkg
Rows: 3836
Columns: 14
SHA-256 (saved bytes): 0c067a9a925ad4e712a07fe5730f01e3b0e6566f3d35fbb8f0daefcc89f8046b
Key: request_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                column inferred_type non_missing distinct    min    max               mean                 sd
                   fid        BIGINT        3836     3836      1   3836             1918.5 1107.5021444674499
            request_id       VARCHAR        3836     3836      -      -                  -                  -
         source_family       VARCHAR        3836        2      -      -                  -                  -
            project_id       VARCHAR        3836     3685      -      -                  -                  -
          project_kind       VARCHAR        3836        7      -      -                  -                  -
      candidate_status       VARCHAR        3836        9      -      -                  -                  -
         component_pin       VARCHAR        3836     3826      -      -                  -                  -
                 pin10       VARCHAR        3836     3792      -      -                  -                  -
           target_year        DOUBLE        3836       17 2006.0 2022.0 2011.0265901981231  4.946421877192379
      reference_source       VARCHAR        3836        5      -      -                  -                  -
    predecessor_status       VARCHAR        3836        2      -      -                  -                  -
predecessor_object_ids       VARCHAR        3836     1571      -      -                  -                  -
    predecessor_pin14s       VARCHAR        3836     1481      -      -                  -                  -
    predecessor_pin10s       VARCHAR        3836     1481      -      -                  -                  -
