candidate_project_id,replacement_project_id,suppression_reason,evidence_ids
residential_13364220520000,residential_adjudicated_campbell_2006,"One townhouse unit PIN cannot coexist with the permit-defined eight-unit site project.",permits_100085992_100085993/current_pins_1336422050_1336422058
residential_17223091310000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669467_100684885
residential_17223091320000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669467_100684885
residential_17223091330000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669467_100684885
residential_17223091350000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669467_100684885
residential_17223091360000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669470_100684888
residential_17223091380000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669470_100684888
residential_17223091390000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669470_100684888
residential_17223091400000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669470_100684888
residential_17223091410000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669471_100684890
residential_17223091430000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669471_100684890
residential_17223091440000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669471_100684890
residential_17223091450000,residential_adjudicated_cullerton_prairie_2017,"Successor unit PIN is part of the permit-defined 12-unit project.",permits_100669471_100684890
