source_name,source_role,path,upstream_target,bytes,modified_at,sha256
commercial_valuation,raw,../input/commercial_value_raw.csv,../../../download_commercial_valuation_data/output/commercial_valuation_data.csv,39062050,2026-07-06T15:16:13-0500,14bbb56ab42254134de0cb16ed2b0266bd1899d4efecce7651bc7c6d9b147d78
residential_improvements,raw,../input/residential_improvement_characteristics_full.csv,../../../download_residential_improvements_full/output/residential_improvement_characteristics_full.csv,4616818279,2026-07-06T15:03:32-0500,7f1c6f74b57f8aa9bffd47b43358675bb71d1e7ae28023d7319f7f7b0cd12604
building_permits,supporting,../input/building_permits_clean.gpkg,../../../clean_building_permits/output/building_permits_clean.gpkg,418115584,2026-07-06T16:30:46-0500,13038d7d15b1f45c15d393cd977360e9962ff61f6d9fdc64e66dd99b4aa14437
parcel_universe_2025,supporting,../input/parcel_universe_2025_city.csv,../../../download_parcel_universe_data/output/parcel_universe_2025_city.csv,790555942,2026-07-06T15:15:56-0500,dcde5547c88f9805b5bcb9538152db655b41cce6f9301c01835b504d6d9a7b34
historical_parcel_records,supporting,../input/density_historical_exact_parcel_records.csv,../../density_project_lineage/output/density_historical_exact_parcel_records.csv,1425298,2026-07-21T23:09:08-0500,d895b5303c443ad5c6e5810b5f405347f64e155ddb5a1f4c04c71ed200c80b62
historical_parcel_addresses,supporting,../input/density_parcel_address_selected_history.csv,../../density_project_lineage/output/density_parcel_address_selected_history.csv,145803,2026-07-21T23:11:37-0500,4611e17e73c29d65a07dab8735863e2ca7bc248c2354f6af34e3f0248bd41674
frozen_historical_coordinates,supporting,../input/density_historical_coordinates.csv,../../../density_historical_coordinates/output/density_historical_coordinates.csv,29373,2026-07-19T16:25:59-0500,1c96af5f6dd8be2f1b8655622b5827ec93438ffe80d240b382797aca605d0417
commercial_cross_section,current_production,../input/multifamily_data_cleaned.csv,../../../commercial_value_data_cleaning/output/multifamily_data_cleaned.csv,295136,2026-07-06T15:16:17-0500,2c50f842b3c947ce091d4222554fedbaf975f660b2e6e04dc1655b56239cb2a4
residential_cross_section,current_production,../input/residential_cross_section.csv,../../../residential_improvements_data_cleaning/output/residential_cross_section.csv,8186785,2026-07-19T16:26:43-0500,5b86128d3c64fa3df54ca7113e38d93340413aa27000214c5d565c7577476830
geocoded_construction,current_production,../input/geocoded_residential_data.gpkg,../../../geocode_ccao_data/output/geocoded_residential_data.gpkg,4562944,2026-07-19T16:28:21-0500,b453961576c4412e6cf2b9bb84a5a7f9c6d331bd682ac8a77061d30cb93fd998
