pin,construction_year,construction_proxy_date,multifamily,dist_to_boundary,ward_pair,longitude,latitude,anchor_date,anchor_zone_group,anchor_source,construction_replayed_zone_group,construction_linked_event_count,construction_applied_event_count,construction_applied_matter_ids,zone_code_2025,zone_group_2025,ordinance_number_2025,ordinance_date_2025,current_ordinance_date_recovered,current_event_date_for_validation,current_check_replayed_zone_group,current_check_linked_event_count,current_check_applied_event_count,current_check_applied_matter_ids,current_last_event_preconstruction,current_replay_matches_2025,current_event_source_groups,current_event_destination_groups,current_event_transition_source,current_event_origin_supports_construction_group,construction_zone_group,construction_zoning_status,construction_zone_group_supported
11311220330000,2013,2013-06-15,True,1430.6268503146198,49_50,-87.6861391299,42.006074025,2012-10-31,Multi-Family Residential,official_october_2012_snapshot,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,,,,,Multi-Family Residential,0,0,,False,True,,,,False,Multi-Family Residential,supported_validated_snapshot_replay,True
11312100410000,2006,2006-06-15,False,1279.0882292861804,49_50,-87.6770717003,42.0092749979,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
11312140340000,2014,2014-06-15,False,446.59687861666293,49_50,-87.6797311671,42.0080160748,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
11312200050000,2010,2010-06-15,False,1086.1125035499874,49_50,-87.6768700445,42.0073750748,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
11313010240000,2008,2008-06-15,False,559.1238563013078,49_50,-87.681887793,42.00420536680001,2006-01-01,Multi-Family Residential,reviewed_history_seed,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,,,,,Multi-Family Residential,0,0,,False,True,,,,False,Multi-Family Residential,supported_reviewed_2006_history,True
11321120020000,2012,2012-06-15,True,1214.5745874476224,40_49,-87.6696657396,42.0087233641,2006-01-01,Multi-Family Residential,reviewed_history_seed,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,,,,,Multi-Family Residential,0,0,,False,True,,,,False,Multi-Family Residential,supported_reviewed_2006_history,True
11321130260000,2008,2008-06-15,True,1020.2199072110026,40_49,-87.6665287891,42.00824139880001,2006-01-01,Neighborhood Mixed-Use,reviewed_history_seed,Neighborhood Mixed-Use,0,0,,C1-3,Commercial,17018,2010-04-14,,2010-04-14,Commercial,1,1,journal_17018,False,True,Neighborhood Mixed-Use,Commercial,council_journal_parser,True,Neighborhood Mixed-Use,supported_reviewed_2006_history,True
11321130300000,2008,2008-06-15,True,1036.477555800515,40_49,-87.6676336969,42.0082672587,2006-01-01,Neighborhood Mixed-Use,reviewed_history_seed,Neighborhood Mixed-Use,0,0,,B3-5,Neighborhood Mixed-Use,15147,2005-09-14,,2005-09-14,Neighborhood Mixed-Use,0,0,,True,True,,,,False,Neighborhood Mixed-Use,supported_current_polygon_last_event_preconstruction,True
11321140130000,2012,2012-06-15,True,1082.524569981223,40_49,-87.66519828020002,42.0084050093,2006-01-01,Commercial,reviewed_history_seed,Commercial,0,0,,C1-3,Commercial,,,,,Commercial,0,0,,False,True,,,,False,Commercial,supported_reviewed_2006_history,True
11321160360000,2010,2010-06-15,True,555.9785906295604,40_49,-87.6674089999,42.0069520982,2006-01-01,Multi-Family Residential,reviewed_history_seed,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,,,,,Multi-Family Residential,0,0,,False,True,,,,False,Multi-Family Residential,supported_reviewed_2006_history,True
