pin,construction_year,construction_proxy_date,multifamily,dist_to_boundary,ward_pair,longitude,latitude,anchor_date,anchor_zone_group,anchor_source,construction_replayed_zone_group,construction_linked_event_count,construction_applied_event_count,construction_applied_matter_ids,zone_code_2025,zone_group_2025,ordinance_number_2025,ordinance_date_2025,current_ordinance_date_recovered,current_event_date_for_validation,current_check_replayed_zone_group,current_check_linked_event_count,current_check_applied_event_count,current_check_applied_matter_ids,current_last_event_preconstruction,current_replay_matches_2025,current_event_source_groups,current_event_destination_groups,current_event_transition_source,current_event_origin_supports_construction_group,construction_zone_group,construction_zoning_status,construction_zone_group_supported
13223040340000,2011,2011-06-15,False,360.97118816624175,30_38,-87.7412619204,41.9452044283,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13223040350000,2011,2011-06-15,False,385.97069483452,30_38,-87.7412599823,41.9451358405,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13223070170000,2021,2021-06-15,False,328.9971047993646,30_31,-87.7457960833,41.944022652600005,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223070390000,2018,2018-06-15,False,328.3496846826363,30_31,-87.7457683478,41.94289755569999,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223070400000,2018,2018-06-15,False,329.6782094573414,30_31,-87.7457618111,41.9428340677,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223070410000,2018,2018-06-15,False,329.7054136998999,30_31,-87.7457600207,41.9427691293,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223070420000,2019,2019-06-15,False,329.38015753196305,30_31,-87.7458117169,41.9445538587,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223070430000,2019,2019-06-15,False,329.77524185609633,30_31,-87.7458078185,41.944485327,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223080480000,2007,2007-06-15,False,745.5884475878098,30_38,-87.7442278755,41.9426411859,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13223110060000,2022,2022-06-15,False,852.0673990604841,30_45,-87.7405177233,41.943866019800005,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223110160000,2017,2017-06-15,False,1127.4844022191653,30_45,-87.7404962174,41.9431103968,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223110170000,2017,2017-06-15,False,1152.5237641733352,30_45,-87.74049426300002,41.9430416998,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223130120000,2019,2019-06-15,True,577.426524135564,30_31,-87.7448123128,41.9413374158,2015-11-18,Multi-Family Residential,official_november_2015_snapshot,Multi-Family Residential,0,0,,RT-3.5,Multi-Family Residential,17908,2014-03-05,,2014-03-05,Multi-Family Residential,0,0,,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13223160530000,2017,2017-06-15,False,1237.714972815435,30_31,-87.7399496033,41.9423194889,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223160540000,2017,2017-06-15,False,1212.5445988923366,30_31,-87.73994756,41.9422504337,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223170050000,2021,2021-06-15,False,1160.3869713303775,30_31,-87.7392354121,41.94211670340001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223190280000,2014,2014-06-15,False,342.7729991412463,30_38,-87.74569689160002,41.94041593690001,2012-10-31,Multi-Family Residential,official_october_2012_snapshot,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,16768,2009-02-11,,2009-02-11,Multi-Family Residential,0,0,,True,True,Single-Family Residential,Multi-Family Residential,council_journal_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13223200490000,2014,2014-06-15,False,444.196696171578,30_31,-87.744778029,41.9400744535,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13223200500000,2014,2014-06-15,False,419.31403092606314,30_31,-87.7447753912,41.9400061943,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13223230060000,2018,2018-06-15,False,467.6725154440626,30_31,-87.7379486234,41.940233787,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13223230070000,2008,2008-06-15,False,96.13059315920472,30_31,-87.7379464325,41.9401570454,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13224000130000,2019,2019-06-15,False,261.1316139753502,30_45,-87.7368724075,41.9455359882,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13224000280000,2022,2022-06-15,True,237.06269868805052,30_45,-87.73634931493527,41.94561087501489,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Multi-Family Residential,1,1,O2019-6813,RM-4.5,Multi-Family Residential,20149,2019-10-16,,2019-10-16,Multi-Family Residential,1,1,O2019-6813,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224000290000,2022,2022-06-15,True,262.0020138258675,30_45,-87.73634740033417,41.945542452580064,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Multi-Family Residential,1,1,O2019-6813,RM-4.5,Multi-Family Residential,20149,2019-10-16,,2019-10-16,Multi-Family Residential,1,1,O2019-6813,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224000370000,2014,2014-06-15,False,486.40982628673345,30_38,-87.7363300228,41.944926779300005,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13224000380000,2014,2014-06-15,False,511.3497989477026,30_38,-87.7363281054,41.9448583551,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13224020250000,2014,2014-06-15,False,107.71090122802497,30_38,-87.7331977389,41.9460039098,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13224060060000,2013,2013-06-15,False,342.1619938098703,30_38,-87.7314957531,41.945380748400005,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13224070120000,2021,2021-06-15,False,355.92404032249334,30_45,-87.7298996602,41.9453655112,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13224130140000,2018,2018-06-15,False,612.4961115808744,30_45,-87.7318929448,41.94463327890001,2015-11-18,Commercial,official_november_2015_snapshot,Single-Family Residential,1,1,O2017-7763,RS-3,Single-Family Residential,19439T1,2017-12-13,,2017-12-13,Single-Family Residential,1,1,O2017-7763,True,True,Commercial,Single-Family Residential,modern_matter_parser,False,Single-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224130150000,2018,2018-06-15,False,624.5631297775568,30_45,-87.7317881588,41.94460186650001,2015-11-18,Commercial,official_november_2015_snapshot,Single-Family Residential,1,1,O2017-7763,RS-3,Single-Family Residential,19439T1,2017-12-13,,2017-12-13,Single-Family Residential,1,1,O2017-7763,True,True,Commercial,Single-Family Residential,modern_matter_parser,False,Single-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224160040000,2011,2011-06-15,True,638.1785180680196,30_31,-87.7316593011,41.9435188271,2006-01-01,Commercial,reviewed_history_seed,Neighborhood Mixed-Use,1,1,journal_16142,B2-3,Neighborhood Mixed-Use,17667,2013-04-10,,2013-04-10,Neighborhood Mixed-Use,2,1,journal_16142,False,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_reviewed_2006_history,True
13224160050000,2011,2011-06-15,False,593.6397648165582,30_31,-87.7314176234,41.94339972,2006-01-01,Commercial,reviewed_history_seed,Neighborhood Mixed-Use,1,1,journal_16142,B2-3,Neighborhood Mixed-Use,17667,2013-04-10,,2013-04-10,Neighborhood Mixed-Use,2,1,journal_16142,False,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_reviewed_2006_history,True
13224160060000,2014,2014-06-15,True,550.4111813013716,30_31,-87.7311881256,41.943280896,2012-10-31,Neighborhood Mixed-Use,official_october_2012_snapshot,Neighborhood Mixed-Use,1,0,,B2-3,Neighborhood Mixed-Use,17667,2013-04-10,,2013-04-10,Neighborhood Mixed-Use,1,0,,True,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_current_polygon_last_event_preconstruction,True
13224160070000,2013,2013-06-15,True,528.9719162104235,30_31,-87.7310894885,41.9432158474,2012-10-31,Neighborhood Mixed-Use,official_october_2012_snapshot,Neighborhood Mixed-Use,1,0,,B2-3,Neighborhood Mixed-Use,17667,2013-04-10,,2013-04-10,Neighborhood Mixed-Use,1,0,,True,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_current_polygon_last_event_preconstruction,True
13224160080000,2013,2013-06-15,True,509.6058008161503,30_31,-87.7309825597,41.9431510159,2012-10-31,Neighborhood Mixed-Use,official_october_2012_snapshot,Neighborhood Mixed-Use,1,0,,B2-3,Neighborhood Mixed-Use,17667,2013-04-10,,2013-04-10,Neighborhood Mixed-Use,1,0,,True,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_current_polygon_last_event_preconstruction,True
13224160090000,2012,2012-06-15,True,485.58085030195593,30_31,-87.7308759976,41.94308602860001,2006-01-01,Commercial,reviewed_history_seed,Neighborhood Mixed-Use,1,1,journal_16142,B2-3,Neighborhood Mixed-Use,17667,2013-04-10,,2013-04-10,Neighborhood Mixed-Use,2,1,journal_16142,False,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_reviewed_2006_history,True
13224160100000,2012,2012-06-15,True,469.6504737999814,30_31,-87.7308044278,41.9430432515,2006-01-01,Commercial,reviewed_history_seed,Neighborhood Mixed-Use,1,1,journal_16142,B2-3,Neighborhood Mixed-Use,17667,2013-04-10,,2013-04-10,Neighborhood Mixed-Use,2,1,journal_16142,False,True,Neighborhood Mixed-Use,Neighborhood Mixed-Use,modern_matter_parser,True,Neighborhood Mixed-Use,supported_reviewed_2006_history,True
13224200250000,2022,2022-06-15,False,1231.6455136091697,30_31,-87.73246489532713,41.942404695971625,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Multi-Family Residential,1,1,O2020-1860,RT-4,Multi-Family Residential,20360,2020-05-20,,2020-05-20,Multi-Family Residential,1,1,O2020-1860,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224200260000,2022,2022-06-15,False,1231.564838669305,30_31,-87.73240421780747,41.94240542803743,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Multi-Family Residential,1,1,O2020-1860,RT-4,Multi-Family Residential,20360,2020-05-20,,2020-05-20,Multi-Family Residential,1,1,O2020-1860,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224210200000,2018,2018-06-15,False,1130.7522834724778,30_31,-87.7310629077,41.9421482453,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13224250140000,2019,2019-06-15,False,899.6817803696058,30_31,-87.7355125196,41.94145238160001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Multi-Family Residential,1,1,O2014-6777,RT-4,Multi-Family Residential,A8038,2016-03-16,,2016-03-16,Multi-Family Residential,1,1,O2014-6777,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224250160000,2019,2019-06-15,False,899.9513193596116,30_31,-87.7353286434,41.9414549274,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Multi-Family Residential,1,1,O2014-6777,RT-4,Multi-Family Residential,A8038,2016-03-16,,2016-03-16,Multi-Family Residential,1,1,O2014-6777,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13224250200000,2007,2007-06-15,False,286.3441035296172,30_31,-87.7356850123,41.9410633167,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13224270200000,2016,2016-06-15,False,758.2988924963298,30_31,-87.7316034967,41.9411190063,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13224270210000,2015,2015-06-15,False,758.2243862321527,30_31,-87.7315072943,41.9411203128,2014-07-30,Single-Family Residential,official_july_2014_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13224300270000,2015,2015-06-15,False,427.2621891911426,30_31,-87.7349567911,41.9401623604,2014-07-30,Single-Family Residential,official_july_2014_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13224350220000,2021,2021-06-15,True,95.8549900731634,30_31,-87.7343947161,41.9392602035,2015-11-18,Planned Development,official_november_2015_snapshot,Planned Development,0,0,,PD 409,Planned Development,20350,2020-06-17,,2020-06-17,Planned Development,0,0,,True,True,Planned Development;Neighborhood Mixed-Use,,modern_matter_parser,True,Planned Development,supported_current_polygon_last_event_preconstruction,True
13224360410000,2022,2022-06-15,True,200.18689333598877,30_31,-87.7300091796,41.93960679260001,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Multi-Family Residential,1,1,O2019-6815,RM-5,Multi-Family Residential,20151-T1,2020-01-15,,2020-01-15,Multi-Family Residential,1,1,O2019-6815,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13231010380000,2016,2016-06-15,False,618.284457409689,30_45,-87.7251785921,41.9524901278,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231010390000,2014,2014-06-15,False,546.1655376152441,30_39,-87.7252730853,41.9524888187,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231070200000,2015,2015-06-15,False,237.7797322602044,35_45,-87.7186459318,41.9523550236,2014-07-30,Single-Family Residential,official_july_2014_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231070210000,2014,2014-06-15,False,169.7808861541247,33_35,-87.7186479982,41.9524237471,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231070220000,2014,2014-06-15,False,194.85027391419615,33_35,-87.7186496341,41.95249253069999,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231070230000,2014,2014-06-15,False,222.12665441281675,33_35,-87.7186714897,41.9525671397,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231070240000,2014,2014-06-15,False,267.64323115871883,33_35,-87.7187656881,41.952696795200005,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231110310000,2022,2022-06-15,False,324.00261859693177,30_45,-87.7229645426,41.9502165613,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13231150100000,2021,2021-06-15,True,237.61538286956664,35_45,-87.718603665,41.95084019259999,2015-11-18,Multi-Family Residential,official_november_2015_snapshot,Multi-Family Residential,0,0,,RM-5,Multi-Family Residential,18146T1,2014-11-05,,2014-11-05,Multi-Family Residential,0,0,,True,True,Single-Family Residential,Multi-Family Residential,modern_matter_parser,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13231150360000,2011,2011-06-15,False,95.429960430511,35_39,-87.7186097664,41.95104622449999,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231150370000,2013,2013-06-15,False,95.6271194903586,35_39,-87.7186064502,41.95095492920001,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231210380000,2006,2006-06-15,False,176.49546192855763,35_39,-87.7210167718,41.9495976276,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231210390000,2006,2006-06-15,False,155.33050033795615,35_39,-87.7210148327,41.94953041139999,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231210400000,2008,2008-06-15,False,45.34705863064064,35_39,-87.7203889041,41.94882692270001,2006-01-01,Multi-Family Residential,reviewed_history_seed,Multi-Family Residential,0,0,,RT-4,Multi-Family Residential,13582,2002-05-01,,2002-05-01,Multi-Family Residential,0,0,,True,True,,,,False,Multi-Family Residential,supported_current_polygon_last_event_preconstruction,True
13231230110000,2018,2018-06-15,False,236.86411098172516,35_45,-87.7185565597,41.9491549749,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13231230170000,2015,2015-06-15,False,236.35263868067045,35_45,-87.7185371345,41.9484611499,2014-07-30,Single-Family Residential,official_july_2014_snapshot,Single-Family Residential,0,0,,RS-2,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280340000,2008,2008-06-15,False,370.7550171137893,30_39,-87.7222720844,41.94769217950002,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231280350000,2008,2008-06-15,False,396.928666548112,30_39,-87.72218545590002,41.9475732839,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231280360000,2008,2008-06-15,False,418.2556059472105,30_39,-87.7221824055,41.94750482090001,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231280370000,2013,2013-06-15,True,439.78258031443863,30_39,-87.7221804263,41.94743617849999,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280380000,2013,2013-06-15,True,461.308722755842,30_35,-87.7221784385,41.94736753509999,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280390000,2014,2014-06-15,False,482.835634245571,30_35,-87.7221764543,41.9472988908,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280400000,2016,2016-06-15,False,455.2492465551131,30_45,-87.7221744696,41.94723024729999,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280410000,2014,2014-06-15,False,525.8915653692906,30_35,-87.7221725036,41.947161603000005,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280420000,2011,2011-06-15,False,547.4207732054555,30_35,-87.7221705435,41.9470929616,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231280440000,2008,2008-06-15,False,566.2623869723915,30_35,-87.7221665708,41.9469556744,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231280450000,2017,2017-06-15,False,353.18239336838127,30_45,-87.721803212,41.947395475499995,2015-11-18,Single-Family Residential,official_november_2015_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_anchor_replay_matches_current_group,True
13231280460000,2008,2008-06-15,False,431.3792084365196,30_35,-87.7217358002,41.94727557009999,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231280470000,2008,2008-06-15,False,435.2457069946017,30_35,-87.7216962696,41.947205213,2006-01-01,Single-Family Residential,reviewed_history_seed,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_reviewed_2006_history,True
13231280480000,2014,2014-06-15,False,425.4283650004451,30_35,-87.7216568578,41.947134058,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280490000,2015,2015-06-15,False,425.828463598058,30_45,-87.7215994516,41.94707834260001,2014-07-30,Single-Family Residential,official_july_2014_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
13231280500000,2014,2014-06-15,False,375.1205746743567,30_35,-87.7214689113,41.947071326899994,2012-10-31,Single-Family Residential,official_october_2012_snapshot,Single-Family Residential,0,0,,RS-3,Single-Family Residential,,,,,Single-Family Residential,0,0,,False,True,,,,False,Single-Family Residential,supported_validated_snapshot_replay,True
