File: chicago_rent_panel.parquet
Rows: 1436620
Columns: 46
SHA-256 (saved bytes): 998d1ae2936c609e5451cdabc88ee02b72be422a2917e882f4025ce010698ade
Key: rent_panel_id
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                     column inferred_type non_missing distinct        min      max                mean                  sd
              rent_panel_id       VARCHAR     1436620  1569088          -        -                   -                   -
                         id       VARCHAR     1436620  1327405          -        -                   -                   -
                property_id       VARCHAR           0        0          -        -                   -                   -
                    unit_id       VARCHAR           0        0          -        -                   -                   -
               property_key       VARCHAR     1436620   215292          -        -                   -                   -
              floorplan_key       VARCHAR     1436620   517914          -        -                   -                   -
               analysis_key       VARCHAR     1436620   517914          -        -                   -                   -
                 key_source       VARCHAR     1436620        1          -        -                   -                   -
               address_norm       VARCHAR     1321581   189676          -        -                   -                   -
            address_missing       INTEGER     1436620        2          0        1  0.0800761509654606 0.27141114989612475
                  file_date          DATE     1436620       96          -        -                   -                   -
                month_start          DATE     1436620       96          -        -                   -                   -
                       year       INTEGER     1436620       10       2014     2022  2017.1452513538723   2.645934977147097
        first_observed_date          DATE     1436620     2622          -        -                   -                   -
                posted_date          DATE     1436620     2835          -        -                   -                   -
             available_date          DATE       43131      849          -        -                   -                   -
                 rent_price        DOUBLE     1436620    16287      490.0  16713.0  1968.6616494462694  1021.9348512012654
        first_observed_rent        DOUBLE     1436620    10952      490.0  16713.0  1970.5939434297172  1023.9645695152659
            rent_price_mean        DOUBLE     1436620    97451      490.0  16713.0  1968.6526998941504  1021.6056378443603
             rent_price_p25        DOUBLE     1436620    23941      490.0  16713.0  1961.7993973380237  1017.8528992184386
             rent_price_p75        DOUBLE     1436620    29074      490.0  16713.0  1975.4296777453328   1026.122222726661
             rent_price_min        DOUBLE     1436620    10317      490.0  16713.0  1954.3441668604084  1013.9282657050661
             rent_price_max        DOUBLE     1436620    11320      490.0  16713.0  1983.0308098348899  1031.4845471070344
                active_days        BIGINT     1436620       29          1       31   3.492799070039398   4.316407100402039
       distinct_daily_rents        BIGINT     1436620       26          1       25  1.5499596274588965  1.6173132161285901
             raw_rows_month        DOUBLE     1436620      553        1.0   1795.0   5.790124041152149  15.797080048009354
            multi_rent_days        DOUBLE     1436620       32        0.0     31.0  0.6150561735183974  2.3602769335250806
      same_rent_repeat_days        DOUBLE     1436620       32        0.0     31.0  0.3177089279002102  1.7986743532593752
    rent_values_across_days        DOUBLE     1436620      363        1.0    795.0   4.808674527710877  10.046435006290904
 share_address_missing_days        DOUBLE     1436620        2        0.0      1.0  0.0800761509654606 0.27141114989612475
      share_multi_rent_days        DOUBLE     1436620      279        0.0      1.0 0.12322051615152171  0.2971000697250059
share_same_rent_repeat_days        DOUBLE     1436620      341        0.0      1.0 0.05106677731382724 0.19661570336047748
              building_type       VARCHAR     1397760       17          -        -                   -                   -
        building_type_clean       VARCHAR     1436620        6          -        -                   -                   -
        availability_status       VARCHAR       43630        3          -        -                   -                   -
                       beds        DOUBLE     1436620       10        0.0      8.0  1.6208976625690859  1.0476933006039575
                      baths        DOUBLE     1432840       18        0.0      8.0  1.3188198612545714  0.5459764241614342
                       sqft        DOUBLE      923163     2761      233.0   6000.0   983.2796472562267   440.1679887840327
                 year_built        DOUBLE        9865       67     1866.0   2017.0  1993.6003041054232  31.301649934695046
                   latitude        DOUBLE     1436620   148308 41.5605147 42.08648   41.89777838537433 0.06389999600988355
                  longitude        DOUBLE     1436620    89354  -88.09321 -87.5249  -87.64909747949574 0.03939452998114105
                    doorman       INTEGER     1436620        2          0        1 0.13185045453912655 0.33832823094480047
                  furnished       INTEGER     1436620        2          0        1 0.04317356016204703  0.2032477124587638
                        gym       INTEGER     1436620        2          0        1 0.19167838398463058 0.39362150468003637
                    laundry       INTEGER     1436620        2          0        1  0.4857060322145035  0.4997958146707724
                       pool       INTEGER     1436620        2          0        1 0.17569016162938006 0.38055647352834227
