project_id,construction_year,selected_source_addresses,component_pins,component_count,selected_vintage,source_row_ids,assessor_land_sqft,project_land_area_sqft,assessor_to_parcel_land_ratio,land_area_agrees_within_10pct,land_area_agrees_within_25pct,exact_construction_year_components,geography_status,requested_components,resolved_components,collapsed_components,within_1500ft,within_500ft,candidate_status,decision_reason,land_review_required,land_review_reason
commercial_11323190150000,2014,6556 N SHERIDAN CHICAGO,11323190150000/11323190160000,2,2024,44950,15000,14888.131599966437,1.0075139314347419,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,coherent_2024_revision_same_entity,FALSE,use_exact_construction_year_parcel_union
commercial_11323310340000,2008,1209 W ARTHUR CHICAGO,11323310340000,1,2024,44970,31919,26113.880800507963,1.2223001339340998,FALSE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,student_housing_unit_definition_requires_review,FALSE,use_exact_construction_year_parcel_union
commercial_11323310360000,2019,6418 N SHERIDAN CHICAGO,11323310360000,1,2024,44971,45094,40262.069338440895,1.1200119800336674,FALSE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_revision_same_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13114290270000,2008,3300 W LAWRENCE CHICAGO,13114290270000,1,2024,25834,18750,18750.137599970505,0.999992661388762,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13114310260000,2014,4814 N KEDZIE CHICAGO,13114310260000,1,2024,25842,18769,18757.05339915864,1.0006369124503263,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13132140280000,2017,2407 W EASTWOOD CHICAGO,13132140280000/13132140290000,2,2024,26033,8100,8114.2336876653135,0.9982458371038845,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13142030200000,2008,4738 N KIMBALL CHICAGO,13142030200000/13142030210000/13142030220000/13142030230000,4,2024,26165,24835,24836.684799883515,0.999932164864309,TRUE,TRUE,TRUE,complete_construction_year_geometry,4,4,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13143060050000,2011,3643 W MONTROSE CHICAGO,13143060050000/13143060060000,2,2024,26218,15625,15621.014800063858,1.0002551178644377,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13143110250000,2019,4211 N ELSTON CHICAGO,13143110250000/13143110310000/13143110320000,3,2024,26223,6250,6241.748472917825,1.001321989682535,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,retain_mechanical,coherent_2024_revision_same_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13143310300000,2020,4022 N ELSTON CHICAGO,13143310300000,1,2024,21282,23689,23689.460585113615,0.9999805573828091,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13144020050000,2019,3435 W MONTROSE CHICAGO,13144020050000/13144020060000/13144020070000/13144020080000,4,2024,21283,17750,17746.035927633697,1.0002233779071827,TRUE,TRUE,TRUE,complete_construction_year_geometry,4,4,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13144290420000,2014,3326 W IRVING PARK CHICAGO,13144290420000,1,2024,26280,6250,6271.558200010448,0.99656254485362,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13151010310000,2006,4719 W LAWRENCE CHICAGO,13151010310000,1,2024,26284,13500,13442.403397596092,1.0042846952810691,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13151040020000,2006,4521 W LAWRENCE CHICAGO,13151040020000/13151040350000,2,2024,26286,29935,29935.270200275,0.9999909738488013,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13171051090000,2022,6009 W LAWRENCE CHICAGO,13171051090000,1,2024,26411,20341,20340.911083517363,1.0000043713126847,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13171051100000,2010,4732 N AUSTIN CHICAGO,13171051100000,1,2024,26412,18358,18357.936947823735,1.0000034346003281,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13171051110000,2022,6017 W LAWRENCE CHICAGO,13171051110000/13171051120000/13171051130000,3,2024,26413,17686,27826.58535616676,0.635579240989428,FALSE,FALSE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13202270270000,2018,3648 N CENTRAL CHICAGO,13202270270000,1,2024,26462,9375,9379.408472425072,0.9995299839602857,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13222030300000,2015,3939 N KEELER CHICAGO,13222030020000/13222030300000,2,2024,26554,9594,10245.58335995674,0.9364034885018504,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13224350220000,2021,4258 W BELMONT CHICAGO,13224350220000/13224350230000/13224350240000/13224350250000/13224350260000/13224350360000/13224350370000,7,2024,26596,77985,77836.35317261517,1.0019097352499953,TRUE,TRUE,TRUE,complete_construction_year_geometry,7,7,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13224360410000,2022,3214 N KARLOV CHICAGO,13224360410000,1,2024,26598,6156,6156.428000431042,0.9999304790974551,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13243180370000,2006,3110 W BELMONT CHICAGO,13243180370000/13243180380000,2,2024,26687,6000,5950.898400073143,1.0082511238851353,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13252010060000,2012,2609 W BELMONT CHICAGO,13252010060000/13252010070000/13252010080000/13252010090000/13252010100000/13252010110000/13252010120000,7,2024,59276,20313,20378.80440042913,0.9967709391024067,TRUE,TRUE,TRUE,complete_construction_year_geometry,7,7,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13252280380000,2022,2520 W DIVERSEY CHICAGO,13252280380000/13252280390000,2,2024,59285,6288,6256.5726700113155,1.005023090379709,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13252280400000,2019,2514 W DIVERSEY CHICAGO,13252280400000/13252280410000,2,2024,59286,6288,6259.09339724193,1.0046183370215898,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13252280420000,2021,2508 W DIVERSEY CHICAGO,13252280420000/13252280430000,2,2024,59287,6288,6257.881217315473,1.0048129361422184,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13262140850000,2018,2945 N MILWAUKEE CHICAGO,13262140850000/13262140860000,2,2024,26728,9375,9378.051117906349,0.9996746533082419,TRUE,TRUE,TRUE,complete_construction_year_geometry,2,2,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13264080450000,2021,2650 N EMMETT CHICAGO,13264080450000,1,2024,21297,46393,46392.74878523871,1.0000054149574635,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13272040010000,2022,4183 W BELMONT CHICAGO,13272040010000/13272040020000/13272040030000/13272040040000,4,2024,26836,13500,13499.52172754705,1.0000354288442659,TRUE,TRUE,TRUE,complete_construction_year_geometry,4,4,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13281160440000,2014,2917 N CENTRAL CHICAGO,13281160440000,1,2024,26908,15750,15750.62980042398,0.9999600142704158,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13283000590000,2019,5525 W DIVERSEY CHICAGO,13283000590000,1,2024,26941,37500,37548.43535730522,0.9987100565750792,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13302270040000,2018,2815 N NATOMA CHICAGO,13302270040000,1,2024,27038,24891,24891.01500006253,0.9999993973703953,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13312050690000,2017,2148 N NATCHEZ CHICAGO,13312050690000,1,2024,27063,166481,167719.0245902161,0.9926184605876349,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,retain_mechanical,coherent_2024_primary_entity,FALSE,use_exact_construction_year_parcel_union
commercial_13312140010000,2020,2044 N NATCHEZ CHICAGO,13312140010000,1,2024,27064,210101,210101.23438494865,0.9999988844189833,TRUE,TRUE,TRUE,complete_construction_year_geometry,1,1,0,TRUE,TRUE,review_required,permit_unit_counts_do_not_include_assessor_count,FALSE,use_exact_construction_year_parcel_union
commercial_13354020010000,2011,3435 W ARMITAGE CHICAGO,13354020010000/13354020020000/13354020030000,3,2024,21315,18750,18738.79039993626,1.0005982029695886,TRUE,TRUE,TRUE,complete_construction_year_geometry,3,3,0,TRUE,TRUE,retain_mechanical,2024_primary_year_recode,FALSE,use_exact_construction_year_parcel_union
commercial_13361030360000,2017,2346 N CALIFORNIA CHICAGO,13361030360000/13361030370000/13361030380000/13361030390000/13361030400000/13361030410000/13361030420000/13361030430000/13361030440000,9,2024,59351,31548,30165.99579430744,1.0458133129473337,TRUE,TRUE,TRUE,complete_construction_year_geometry,9,9,0,TRUE,TRUE,review_required,component_membership_changed_across_vintages,FALSE,use_exact_construction_year_parcel_union
