project_id,reported_land_sqft,land_sqft,evidence,decision_author,decision_date
residential_14283191160000,143807,3523.5,PD853 PDF pages 15-16 and 24: December 20 2013 approval of two lots from lots 20-22; each 40.5 by 87 feet; 439 W Deming; individual surface lot above shared garage; Assessor building area unchanged,Jacob Herbstman,2026-09-08
residential_14283191170000,143807,3523.5,PD853 PDF pages 15-16 and 24: December 20 2013 approval of two lots from lots 20-22; each 40.5 by 87 feet; 435 W Deming; individual surface lot above shared garage; Assessor building area unchanged,Jacob Herbstman,2026-09-08
