project_id,dwelling_units,decision_reason,permit_addresses,addresses_with_unit_counts,addresses_with_resolved_units,resolved_address_unit_sum,assessor_units_match_one_address,assessor_units_match_resolved_address_sum
commercial_11293000160000,38,component_membership_changed_across_vintages,1,1,0,NA,FALSE,FALSE
commercial_11323310340000,152,student_housing_unit_definition_requires_review,1,1,1,152,TRUE,TRUE
commercial_12242320280000,16,permit_unit_counts_do_not_include_assessor_count,2,2,2,16,FALSE,TRUE
commercial_13093170070000,8,permit_unit_counts_do_not_include_assessor_count,1,1,1,7,FALSE,FALSE
commercial_13093170090000,8,permit_unit_counts_do_not_include_assessor_count,1,1,1,7,FALSE,FALSE
commercial_13114290270000,4,permit_unit_counts_do_not_include_assessor_count,1,1,1,6,FALSE,FALSE
commercial_13132050020000,8,permit_unit_counts_do_not_include_assessor_count,1,1,1,9,FALSE,FALSE
commercial_13142030200000,60,permit_unit_counts_do_not_include_assessor_count,1,1,1,59,FALSE,FALSE
commercial_13143060050000,15,permit_unit_counts_do_not_include_assessor_count,4,4,4,21,FALSE,FALSE
commercial_13173090120000,30,permit_unit_counts_do_not_include_assessor_count,2,2,2,30,FALSE,TRUE
commercial_13173110010000,17,permit_unit_counts_do_not_include_assessor_count,1,1,1,15,FALSE,FALSE
commercial_13203280120000,48,permit_unit_counts_do_not_include_assessor_count,2,2,0,NA,FALSE,FALSE
commercial_13243220400000,21,permit_unit_counts_do_not_include_assessor_count,1,1,1,12,FALSE,FALSE
commercial_13253150250000,7,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_13261040230000,27,component_membership_changed_across_vintages,1,1,1,27,TRUE,TRUE
commercial_13273040010000,85,component_membership_changed_across_vintages,1,1,1,85,TRUE,TRUE
commercial_13312050180000,39,permit_unit_counts_do_not_include_assessor_count,2,1,1,3,FALSE,FALSE
commercial_13312140010000,84,permit_unit_counts_do_not_include_assessor_count,19,15,15,84,FALSE,TRUE
commercial_13361030360000,138,component_membership_changed_across_vintages,1,1,0,NA,FALSE,FALSE
commercial_13361150430000,23,permit_unit_counts_do_not_include_assessor_count,1,1,1,24,FALSE,FALSE
commercial_13362100010000,216,component_membership_changed_across_vintages,2,0,0,NA,FALSE,FALSE
commercial_13362150350000,140,permit_unit_counts_do_not_include_assessor_count,1,1,1,120,FALSE,FALSE
commercial_13363150560000,12,permit_unit_counts_do_not_include_assessor_count,1,1,1,6,FALSE,FALSE
commercial_13363150590000,12,permit_unit_counts_do_not_include_assessor_count,2,2,2,12,FALSE,TRUE
commercial_13364000330000,12,permit_unit_counts_do_not_include_assessor_count,3,2,2,12,FALSE,TRUE
commercial_13364010010000,61,permit_unit_counts_do_not_include_assessor_count,1,1,1,59,FALSE,FALSE
commercial_13364140420000,6,permit_unit_counts_do_not_include_assessor_count,2,1,1,7,FALSE,FALSE
commercial_13364250360000,12,permit_unit_counts_do_not_include_assessor_count,1,1,1,15,FALSE,FALSE
commercial_14051050140000,7,permit_unit_counts_do_not_include_assessor_count,1,1,1,6,FALSE,FALSE
commercial_14051050280000,7,permit_unit_counts_do_not_include_assessor_count,1,1,1,6,FALSE,FALSE
commercial_14052000010000,55,permit_unit_counts_do_not_include_assessor_count,1,1,1,58,FALSE,FALSE
commercial_14074180020000,150,permit_unit_counts_do_not_include_assessor_count,8,8,8,150,FALSE,TRUE
commercial_14083170400000,54,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_14084040010000,64,missing_or_nonpositive_building_area,1,1,1,64,TRUE,TRUE
commercial_14171000010000,36,permit_unit_counts_do_not_include_assessor_count,1,1,1,39,FALSE,FALSE
commercial_14171200250000,26,missing_or_nonpositive_building_area,1,1,0,NA,FALSE,FALSE
commercial_14172290080000,381,permit_unit_counts_do_not_include_assessor_count,3,1,1,373,FALSE,FALSE
commercial_14181140140000,19,permit_unit_counts_do_not_include_assessor_count,1,1,1,24,FALSE,FALSE
commercial_14194350290000,20,permit_unit_counts_do_not_include_assessor_count,1,1,1,19,FALSE,FALSE
commercial_14201040060000,9,missing_or_nonpositive_building_area,1,0,0,NA,FALSE,FALSE
commercial_14202240190000,18,missing_or_nonpositive_building_area,1,1,1,18,TRUE,TRUE
commercial_14202300160000,79,documented_manual_case,2,0,0,NA,FALSE,FALSE
commercial_14203000310000,140,permit_unit_counts_do_not_include_assessor_count,1,1,1,136,FALSE,FALSE
commercial_14203080100000,53,missing_or_nonpositive_building_area,2,0,0,NA,FALSE,FALSE
commercial_14204020100000,9,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_14204030750000,148,missing_or_nonpositive_building_area,3,1,1,148,TRUE,TRUE
commercial_14204180360000,139,permit_unit_counts_do_not_include_assessor_count,1,1,1,140,FALSE,FALSE
commercial_14204200460000,6,permit_unit_counts_do_not_include_assessor_count,1,1,1,7,FALSE,FALSE
commercial_14211000120000,97,permit_unit_counts_do_not_include_assessor_count,1,1,1,100,FALSE,FALSE
commercial_14213040110000,198,missing_or_nonpositive_building_area,2,1,1,198,TRUE,TRUE
commercial_14213120380000,18,missing_or_nonpositive_building_area,1,1,0,NA,FALSE,FALSE
commercial_14281230200000,56,permit_unit_counts_do_not_include_assessor_count,1,1,1,53,FALSE,FALSE
commercial_14283160520000,14,missing_or_nonpositive_building_area,1,1,1,14,TRUE,TRUE
commercial_14291000140000,9,missing_or_nonpositive_building_area,1,1,1,9,TRUE,TRUE
commercial_14294161030000,9,component_membership_changed_across_vintages,1,0,0,NA,FALSE,FALSE
commercial_14294190020000,20,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_14294190580000,191,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_14301220270000,30,permit_unit_counts_do_not_include_assessor_count,2,2,2,30,FALSE,TRUE
commercial_14301230060000,176,permit_unit_counts_do_not_include_assessor_count,1,1,1,59,FALSE,FALSE
commercial_14303020298002,74,missing_or_nonpositive_building_area,NA,0,0,NA,FALSE,FALSE
commercial_14303140460000,30,documented_manual_case,1,1,1,34,FALSE,FALSE
commercial_14311100140000,14,permit_unit_counts_do_not_include_assessor_count,1,1,1,13,FALSE,FALSE
commercial_14312120200000,298,component_membership_changed_across_vintages,1,0,0,NA,FALSE,FALSE
commercial_14313080700000,55,documented_manual_case,1,1,1,44,FALSE,FALSE
commercial_14321060130000,160,student_housing_unit_definition_requires_review,NA,0,0,NA,FALSE,FALSE
commercial_16013050010000,49,component_membership_changed_across_vintages,1,1,1,49,TRUE,TRUE
commercial_16022280210000,9,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_16111020190000,10,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_16132180010000,70,permit_unit_counts_do_not_include_assessor_count,8,7,7,76,FALSE,FALSE
commercial_16143160370000,10,permit_unit_counts_do_not_include_assessor_count,8,8,8,52,FALSE,FALSE
commercial_16242010140000,9,permit_unit_counts_do_not_include_assessor_count,1,1,1,5,FALSE,FALSE
commercial_16242070180000,8,permit_unit_counts_do_not_include_assessor_count,2,2,2,8,FALSE,TRUE
commercial_16242070530000,11,permit_unit_counts_do_not_include_assessor_count,3,3,3,17,FALSE,FALSE
commercial_16244000200000,12,permit_unit_counts_do_not_include_assessor_count,3,1,1,4,FALSE,FALSE
commercial_17041120710000,48,permit_unit_counts_do_not_include_assessor_count,3,3,2,NA,FALSE,FALSE
commercial_17041410320000,9,permit_unit_counts_do_not_include_assessor_count,1,1,1,8,FALSE,FALSE
commercial_17042021050000,61,permit_unit_counts_do_not_include_assessor_count,1,1,1,60,FALSE,FALSE
commercial_17042120010000,105,component_membership_changed_across_vintages,1,1,1,105,TRUE,TRUE
commercial_17043060300000,106,permit_unit_counts_do_not_include_assessor_count,1,1,1,94,FALSE,FALSE
commercial_17044290090000,202,permit_unit_counts_do_not_include_assessor_count,1,1,1,208,FALSE,FALSE
commercial_17044370150000,24,permit_unit_counts_do_not_include_assessor_count,1,1,1,23,FALSE,FALSE
commercial_17044510060000,370,permit_unit_counts_do_not_include_assessor_count,1,1,1,405,FALSE,FALSE
commercial_17053010190000,40,permit_unit_counts_do_not_include_assessor_count,1,1,1,41,FALSE,FALSE
commercial_17062350680000,150,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_17064030060000,6,missing_or_nonpositive_building_area,NA,0,0,NA,FALSE,FALSE
commercial_17074160420000,68,permit_unit_counts_do_not_include_assessor_count,1,1,1,25,FALSE,FALSE
commercial_17074170400000,14,permit_unit_counts_do_not_include_assessor_count,1,1,1,6,FALSE,FALSE
commercial_17074170530000,14,permit_unit_counts_do_not_include_assessor_count,1,1,1,6,FALSE,FALSE
commercial_17074170560000,22,permit_unit_counts_do_not_include_assessor_count,3,3,3,22,FALSE,TRUE
commercial_17074220390000,23,permit_unit_counts_do_not_include_assessor_count,3,3,3,23,FALSE,TRUE
commercial_17074220430000,23,permit_unit_counts_do_not_include_assessor_count,2,2,2,18,FALSE,FALSE
commercial_17074220460000,16,permit_unit_counts_do_not_include_assessor_count,1,1,1,8,FALSE,FALSE
commercial_17074290130000,27,documented_manual_case,NA,0,0,NA,FALSE,FALSE
commercial_17082070020000,363,permit_unit_counts_do_not_include_assessor_count,2,2,2,363,FALSE,TRUE
commercial_17082130110000,141,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_17082260110000,16,permit_unit_counts_do_not_include_assessor_count,3,3,3,20,FALSE,FALSE
commercial_17084440130000,54,permit_unit_counts_do_not_include_assessor_count,2,1,1,27,FALSE,FALSE
commercial_17091020220000,105,permit_unit_counts_do_not_include_assessor_count,2,1,1,104,FALSE,FALSE
commercial_17092170170000,176,permit_unit_counts_do_not_include_assessor_count,1,1,1,100,FALSE,FALSE
commercial_17092610280000,409,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_17093010120000,100,permit_unit_counts_do_not_include_assessor_count,1,1,1,109,FALSE,FALSE
commercial_17093030020000,848,permit_unit_counts_do_not_include_assessor_count,2,2,0,NA,FALSE,FALSE
commercial_17093180010000,227,permit_unit_counts_do_not_include_assessor_count,2,2,2,308,FALSE,FALSE
commercial_17093180030000,31,permit_unit_counts_do_not_include_assessor_count,1,1,1,61,FALSE,FALSE
commercial_17093220170000,199,permit_unit_counts_do_not_include_assessor_count,1,1,1,155,FALSE,FALSE
commercial_17094300060000,265,permit_unit_counts_do_not_include_assessor_count,2,1,0,NA,FALSE,FALSE
commercial_17101030090000,102,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_17102120370000,486,permit_unit_counts_do_not_include_assessor_count,1,1,0,NA,FALSE,FALSE
commercial_17103180610000,515,permit_unit_counts_do_not_include_assessor_count,2,1,0,NA,FALSE,FALSE
commercial_17153000140000,169,documented_manual_case,1,1,0,NA,FALSE,FALSE
commercial_17164010220000,352,documented_manual_case,NA,0,0,NA,FALSE,FALSE
commercial_17164040190000,178,student_housing_unit_definition_requires_review,NA,0,0,NA,FALSE,FALSE
commercial_17164050110000,349,component_membership_changed_across_vintages,2,1,1,349,TRUE,TRUE
commercial_17164100040000,84,permit_unit_counts_do_not_include_assessor_count,2,1,1,42,FALSE,FALSE
commercial_17164110150000,440,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_17164160140000,342,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_17171050030000,72,permit_unit_counts_do_not_include_assessor_count,2,2,2,72,FALSE,TRUE
commercial_17171170020000,93,permit_unit_counts_do_not_include_assessor_count,2,2,2,93,FALSE,TRUE
commercial_17172270010000,135,component_membership_changed_across_vintages,1,0,0,NA,FALSE,FALSE
commercial_17172310020000,300,student_housing_unit_definition_requires_review,1,0,0,NA,FALSE,FALSE
commercial_17173320070000,12,permit_unit_counts_do_not_include_assessor_count,12,11,11,66,FALSE,FALSE
commercial_17173320160000,12,permit_unit_counts_do_not_include_assessor_count,12,11,11,66,FALSE,FALSE
commercial_17193010330000,6,permit_unit_counts_do_not_include_assessor_count,1,1,1,3,FALSE,FALSE
commercial_17194110010000,15,component_membership_changed_across_vintages,2,2,1,NA,FALSE,FALSE
commercial_17201020620000,8,permit_unit_counts_do_not_include_assessor_count,13,12,12,72,FALSE,FALSE
commercial_17201020640000,12,permit_unit_counts_do_not_include_assessor_count,8,6,6,36,FALSE,FALSE
commercial_17201270040000,59,component_pin_text_required_repair,1,1,1,59,TRUE,TRUE
commercial_17221040060000,305,permit_unit_counts_do_not_include_assessor_count,1,1,1,307,FALSE,FALSE
commercial_17221060620000,278,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_17223180290000,275,component_membership_changed_across_vintages,NA,0,0,NA,FALSE,FALSE
commercial_17274000070000,1679,component_membership_changed_across_vintages,1,0,0,NA,FALSE,FALSE
commercial_17282130210000,8,permit_unit_counts_do_not_include_assessor_count,2,2,2,12,FALSE,FALSE
commercial_17294190380000,6,permit_unit_counts_do_not_include_assessor_count,2,2,2,6,FALSE,TRUE
commercial_17312140380000,6,missing_or_nonpositive_land_area,1,1,1,6,TRUE,TRUE
commercial_17334070618002,80,permit_unit_counts_do_not_include_assessor_count,3,2,2,80,FALSE,TRUE
commercial_17341040180000,16,permit_unit_counts_do_not_include_assessor_count,2,2,2,16,FALSE,TRUE
