project_id,permit_chain_id,permit_records,directly_matched_permits,permit_numbers,permit_addresses,address_keys,earliest_application_date,earliest_issue_date,latest_issue_date,permit_statuses,work_descriptions,distinct_unit_counts,unit_counts,unit_contexts,resolved_chain_units,chain_resolution
commercial_11293000160000,permit_chain_100702395,4,1,100702395/100758077/100768168/100786837,1531 W HOWARD ST,1531 W HOWARD,2018-02-27,2018-03-26,2018-10-05,COMPLETE,"100702395: ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES.  *SPRINKLER SYSTEM IS REQUIRED FOR ALL CONSTRUCTION TYPE 1C BUILDING OF COLD FORMED STEEL FRAMING FOR BEARING WALLS, UP TO 7 STORIES.*    **CERTIFIED PLAN CORRECTIONS PROJECT - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS ** || 100768168: CHNAGE OF GENERAL CONTRACTOR TO WATERMARK PROPERTIES LLC IN PERMIT #100702395 || 100758077: REVISION TO PERMIT #100702395:NO CHANGE IN OCCUPANCY OF BUILDING. REPLACE 19 CAR GARAGE W/19 OPEN PARKING STALLS ON 6 STORY, 38 DU(31 DWELLING , 7 EFFICIENCY) W/(1) MERCANTILE SPACE, RELOCATE WATER ROOM,REPLACE STORAGE AREA W/FITNESS ROOM, REVISED EXTERIOR WINDOWS,PROVIDE NEW FURNACE FOR FITNESS ROOM, RELOCATE WASTE LINE. RESIDENTIAL FLOORS (FLRS. 2 THRU 6) ONLY REVISING EXTERIOR WINDOWS**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT ** || 100786837: REVISION TO CHANGE OF CONTRACTORS #100702395 FOR NEW ALL MANSONARY,VENT/HEAT,REFRIG,PLUMBING CONTRACTORS.",2,7/38,"100702395: 38 [ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES.] || 100702395: 7 [ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES. *SPRINKLER SYSTEM IS REQUIRED FOR] || 100758077: 38 [2395:NO CHANGE IN OCCUPANCY OF BUILDING. REPLACE 19 CAR GARAGE W/19 OPEN PARKING STALLS ON 6 STORY, 38 DU(31 DWELLING , 7 EFFICIENCY) W/(1) MERCANTILE SPACE, RELOCATE WATER ROOM,REPLACE STORAGE AREA W/FITN]",NA,conflicting_unit_counts
commercial_11323310340000,permit_chain_100217431,1,1,100217431,1209 W ARTHUR AVE,1209 W ARTHUR,2007-12-21,2007-12-28,2007-12-28,COMPLETE,"100217431: CONSTRUCT FOUNDATIONS ONLY FOR PROPOSED 152 UNIT APARTMENT BUILDING PER PLANS.                                                                                                                                            MODIFICATION OF THE PUBLIC WAY, INCLUDING REMOVAL OF EXISTING TREES, IS NOT PERMITTED UNDER THIS PERMIT.",1,152,100217431: 152 [CONSTRUCT FOUNDATIONS ONLY FOR PROPOSED 152 UNIT APARTMENT BUILDING PER PLANS.],152,single_unit_count
commercial_11323310340000,permit_chain_100221353,3,1,100221353/100261628/B100261495,1209 W ARTHUR AVE,1209 W ARTHUR,2008-01-24,2008-01-25,2008-10-08,COMPLETE,"100221353: NEW CONSTRUCTION OF AN 8 STORY, 152 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL AS PER PLANS || B100261495: CHANGE NAME OF ELECTRICAL CONTRACTOR TO SHAMROCK ELECTRIC CO. INC. FOR BUILDING PERMIT NO. 100221353 || 100261628: MECHANICAL REVISION TO EXISTING PERMIT # 100221353.",1,152,"100221353: 152 [NEW CONSTRUCTION OF AN 8 STORY, 152 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL AS PER PLANS]",152,single_unit_count
commercial_11323310340000,permit_chain_100236353,1,1,100236353,1209 W ARTHUR AVE,1209 W ARTHUR,2008-06-27,2008-06-27,2008-06-27,COMPLETE,100236353: INSTALLATION OF TEMPORARY SINGLE 4000LBS CONSTRUCTION HOSIT,0,,NA,NA,no_unit_count
commercial_12242320280000,permit_chain_100804920,2,1,100804920/100841384,3638 N HARLEM AVE,3638 N HARLEM,2019-03-22,2019-05-20,2019-09-18,COMPLETE,"100804920: ERECT NEW 4 STORY MASONRY BUILDING 8 DWELLING UNITS TYPE 3B CONSTRUCTION WITH 10 OUTDOOR PARKING SPACES, NEW MASONRY TRASH ENCLOSURE AND SITE WORK AS PER PLANS. || 100841384: ALTERNATIVE CODE APPROVAL FOR PERMIT # 100804920: INSTALL PVC FOR DRAINAGE & VENT ABOVE & BELOW GROUND",1,8,"100804920: 8 [ERECT NEW 4 STORY MASONRY BUILDING 8 DWELLING UNITS TYPE 3B CONSTRUCTION WITH 10 OUTDOOR PARKING SPACES, NEW MASONRY TRASH ENCLOSURE AND SITE WORK AS P]",8,single_unit_count
commercial_12242320280000,permit_chain_100804925,2,1,100804925/100841391,3644 N HARLEM AVE,3644 N HARLEM,2019-03-22,2019-06-04,2019-09-18,COMPLETE,"100804925: ERECT NEW 4 STORY MASONRY BUILDING, 8 DWELLING UNITS TYPE 3B CONSTRUCTION, 10 OUTDOOR PARKING SPACES, NEW MASONRY TRASH ENCLOSURE AND SITE WORK AS PER PLANS.**CONDITIONAL PERMIT SUBJECT TO FIELD INSPECTIONS. || 100841391: ALTERNATIVE CODE APPROVAL FOR PERMIT # 100804925: INSTALL PVC FOR DRAINAGE & VENT ABOVE & BELOW GROUND",1,8,"100804925: 8 [ERECT NEW 4 STORY MASONRY BUILDING, 8 DWELLING UNITS TYPE 3B CONSTRUCTION, 10 OUTDOOR PARKING SPACES, NEW MASONRY TRASH ENCLOSURE AND SITE WORK AS PER P]",8,single_unit_count
commercial_13093170070000,permit_chain_100752414,1,1,100752414,5522 W HIGGINS AVE,5522 W HIGGINS,2018-04-20,2019-06-27,2019-06-27,COMPLETE,"100752414: ERECT A 3 STORY , IIIB MASONRY 7 UNIT APARMENT  BUILDING  WITH BASEMENT  AND PARKING SPACES PER PLANS",1,7,"100752414: 7 [ERECT A 3 STORY , IIIB MASONRY 7 UNIT APARMENT BUILDING WITH BASEMENT AND PARKING SPACES PER PLANS]",7,single_unit_count
commercial_13093170090000,permit_chain_100493445,2,2,100493445/100571569,5512 W HIGGINS AVE,5512 W HIGGINS,2013-10-21,2013-10-21,2015-03-23,COMPLETE/EXPIRED,"100493445: ERECT 3 STORY ,IIB MASONRY 7 UNIT APARMRENT BUILDING WITH A BASEMENT ,AND 7 CAR PARKING || 100571569: REVISION PERMIT # 100493445, TO REDUCE THE FRONT YARD TO 8.0' AND THE REAR YARD OPEN SPACE TO 172 SQ.FT AND ERECT  IIIB MASONRY REAR DETACHED 7-CAR PRIVATE GARAGE BY VARIANCE PER PLANS",1,7,"100493445: 7 [ERECT 3 STORY ,IIB MASONRY 7 UNIT APARMRENT BUILDING WITH A BASEMENT ,AND 7 CAR PARKING]",7,single_unit_count
commercial_13114290270000,permit_chain_100211769,2,1,100211769/100307911,3300 W LAWRENCE AVE,3300 W LAWRENCE,2008-04-22,2008-07-21,2009-08-27,EXPIRED,"100211769: ERECT 6 D.U. WITH (2) FIRST FLOOR OFFICE SPACES MASONRY BUILDING.  6 EXTERIOR PARKING SPACES ON CONCRETE PAD.  6' HIGH 9' BY 4' MASONRY TRASH ENCLOSURE, 74' LONG 6' HIGH WOOD FENCE AS PER PLANS || 100307911: REVIOSION TO PERMIT #100211769 TO CHANGE PLUMBER TO JEM METRO. SUBJECT TO FIELD INSPECTIONS",1,6,100211769: 6 [ERECT 6 D.U. WITH (2) FIRST FLOOR OFFICE SPACES MASONRY BUILDING. 6 EXTERIOR PARKING SPACES ON CONCRETE PAD.],6,single_unit_count
commercial_13132050020000,permit_chain_100637003,3,1,100637003/100725773/100733932,2515 W LAWRENCE AVE,2515 W LAWRENCE,2016-04-15,2016-06-20,2017-11-02,COMPLETE,"100637003: OFFICE ON GROUND LEVEL AND 9 DU ABOVE: ERECT 4-STORY BUILDING WITH BASEMENT, ROOFTOP STAIRWAY AND ELEVATOR ENCLOSURES, COVERED AND OPEN PARKING LOTS AND TRASH ENCL. || 100725773: REVISION TO PERMIT #100637003 TO CHANGE PLUMBING CONTRACTOR TO PAPPAS COMPANY LTD. || 100733932: CHANGE OF PLUMBING CONTRACTOR 100637003 TO MIHO'S PLUMBING",1,9,"100637003: 9 [OFFICE ON GROUND LEVEL AND 9 DU ABOVE: ERECT 4-STORY BUILDING WITH BASEMENT, ROOFTOP STAIRWAY AND ELEVATOR ENCLOSURES, COVERED AND]",9,single_unit_count
