project_id,source_family,project_kind,component_pins,component_count,construction_year,dwelling_units,building_sqft,land_sqft,class_values,source_row_ids,permit_chain_ids,permit_numbers,direct_permit_ids,year_source,units_source,building_source,land_source,current_distance_m,current_within_1500ft,selected_vintage,selected_source_addresses,selected_property_type_use,selected_property_description,observed_2021,observed_2024,selected_vintage_conflict,stable_component_membership,substantive_unit_change,substantive_building_change,substantive_land_change,selected_parser_repair,selected_parser_residue,same_address_cross_family,documented_manual_case,student_housing,permit_unit_mismatch,permit_unit_evidence,documented_case_pins,documented_case_actions,documented_case_evidence,documented_case_confidence,candidate_status,decision_reason,units_2021,units_2024,permit_addresses,addresses_with_unit_counts,addresses_with_resolved_units,resolved_address_unit_sum,resolved_permit_unit_values,resolved_permit_address_evidence,unit_permit_chain_ids,unit_permit_numbers,unit_permit_addresses,unit_permit_counts,unit_permit_contexts,unit_permit_descriptions,stable_two_vintages,changed_two_vintages,only_2021,only_2024,permit_supports_2021,permit_supports_2024,source_count_pattern,recommended_units,recommended_units_source,unit_review_required,unit_review_reason
commercial_09363030360000,commercial,commercial_entity_family,09363030360000,1,2014,8,18480,8700,commercial_2024,21331,permit_chain_100632057,100632057,2724335,commercial_2024_rows:21331,commercial_2024_apartment_unit_sum_rows:21331,commercial_2024_rows:21331,commercial_2024_rows:21331,2672.55842793604,FALSE,2024,6770 N NORTHWEST CHICAGO,"Multifamily-Mixed Use, Low rise (3 floors or less)",NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,8,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,8,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_09364150320000,commercial,commercial_entity_family,09364150320000,1,2008,8,9927,8500,commercial_2024,21339,permit_chain_100327201,100327201,2137131,commercial_2024_rows:21339,commercial_2024_apartment_unit_sum_rows:21339,commercial_2024_rows:21339,commercial_2024_rows:21339,1723.8351855884248,FALSE,2024,6650 N HARLEM CHICAGO,Multifamily-Low Rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,8,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,8,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,8,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_09364190520000,commercial,commercial_entity_family,09364190520000/09364190530000/09364190540000/09364190550000/09364190560000/09364190570000/09364190970000,7,2007,36,74248,35986,commercial_2024,21345,NA,NA,NA,commercial_2024_rows:21345,commercial_2024_apartment_unit_sum_rows:21345,commercial_2024_rows:21345,commercial_2024_rows:21345,1874.0384970832351,FALSE,2024,6505 N NORTHWEST CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,36,36,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,36,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_09364190960000,commercial,commercial_entity_family,09364190960000,1,1999,27,46548,27200,commercial_2024,21346,NA,NA,NA,commercial_2024_rows:21346,commercial_2024_apartment_unit_sum_rows:21346,commercial_2024_rows:21346,commercial_2024_rows:21346,1752.4174994715288,FALSE,2024,6463 N NORTHWEST CHICAGO,Multifamily-Low Rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,27,27,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,27,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_09364250490000,commercial,commercial_entity_family,09364250490000,1,2008,10,16965,16310,commercial_2024,21349,NA,NA,NA,commercial_2024_rows:21349,commercial_2024_apartment_unit_sum_rows:21349,commercial_2024_rows:21349,commercial_2024_rows:21349,1746.192974016158,FALSE,2024,7240 W DEVON CHICAGO,"Multifamily-Mixed Use, Low rise (3 floors or less)",NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,10,10,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,10,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_10362300510000,commercial,commercial_entity_family,10362300510000,1,2019,44,44725,27857,commercial_2024,44290,NA,NA,NA,commercial_2024_rows:44290,commercial_2024_apartment_unit_sum_rows:44290,commercial_2024_rows:44290,commercial_2024_rows:44290,790.2227114565025,FALSE,2024,2410 W PRATT CHICAGO,Multifamily-SAP35,NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,44,44,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,44,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_10364280090000,commercial,commercial_entity_family,10364280090000/10364280350000,2,2008,30,127456,23458,commercial_2024,44348,permit_chain_100160422,100160422/100191805/100276993,2016759,commercial_2024_rows:44348,commercial_2024_apartment_unit_sum_rows:44348,commercial_2024_rows:44348,commercial_2024_rows:44348,707.1627085257686,FALSE,2024,6411 N ROCKWELL CHICAGO,Multifamily-Mixed Use Mid rise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,30,NA,NA,NA,NA,retain_mechanical,2024_primary_year_recode,30,30,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,30,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11293000160000,commercial,commercial_entity_family,11293000160000/11293000170000/11293000180000/11293000190000,4,2018,38,34385,15011,commercial_2024,44400,permit_chain_100702395,100702395,2842850,commercial_2024_rows:44400,commercial_2024_apartment_unit_sum_rows:44400,commercial_2024_rows:44400,commercial_2024_rows:44400,1360.4643849555978,FALSE,2024,1531 W HOWARD CHICAGO,Multifamily-Mixed Use Mid rise (4 to 12 floors),NA,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,7/38,NA,NA,NA,NA,review_required,component_membership_changed_across_vintages,38,38,1,1,0,NA,,=,permit_chain_100702395,100702395/100758077/100768168/100786837,1531 W HOWARD ST,7/38,"100702395: 38 [ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES.] || 100702395: 7 [ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES. *SPRINKLER SYSTEM IS REQUIRED FOR] || 100758077: 38 [2395:NO CHANGE IN OCCUPANCY OF BUILDING. REPLACE 19 CAR GARAGE W/19 OPEN PARKING STALLS ON 6 STORY, 38 DU(31 DWELLING , 7 EFFICIENCY) W/(1) MERCANTILE SPACE, RELOCATE WATER ROOM,REPLACE STORAGE AREA W/FITN]","100702395: ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES.  *SPRINKLER SYSTEM IS REQUIRED FOR ALL CONSTRUCTION TYPE 1C BUILDING OF COLD FORMED STEEL FRAMING FOR BEARING WALLS, UP TO 7 STORIES.*    **CERTIFIED PLAN CORRECTIONS PROJECT - CONDITIONAL PERMIT: SUBJECT TO FIELD INSPECTIONS ** || 100768168: CHNAGE OF GENERAL CONTRACTOR TO WATERMARK PROPERTIES LLC IN PERMIT #100702395 || 100758077: REVISION TO PERMIT #100702395:NO CHANGE IN OCCUPANCY OF BUILDING. REPLACE 19 CAR GARAGE W/19 OPEN PARKING STALLS ON 6 STORY, 38 DU(31 DWELLING , 7 EFFICIENCY) W/(1) MERCANTILE SPACE, RELOCATE WATER ROOM,REPLACE STORAGE AREA W/FITNESS ROOM, REVISED EXTERIOR WINDOWS,PROVIDE NEW FURNACE FOR FITNESS ROOM, RELOCATE WASTE LINE. RESIDENTIAL FLOORS (FLRS. 2 THRU 6) ONLY REVISING EXTERIOR WINDOWS**CERTIFIED CORRECTIONS- - SUBJECT TO FIELD INSPECTIONS & AUDIT ** || 100786837: REVISION TO CHANGE OF CONTRACTORS #100702395 FOR NEW ALL MANSONARY,VENT/HEAT,REFRIG,PLUMBING CONTRACTORS.",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,38,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11303020030000,commercial,commercial_entity_family,11303020030000,1,2005,8,13416,6250,commercial_2024,44484,NA,NA,NA,commercial_2024_rows:44484,commercial_2024_apartment_unit_sum_rows:44484,commercial_2024_rows:44484,commercial_2024_rows:44484,34.45095839886942,TRUE,2024,7453 N WESTERN CHICAGO,Multifamily-Low Rise (3 floors or less),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,8,8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,8,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
commercial_11304040400000,commercial,commercial_entity_family,11304040400000,1,2004,120,110500,32648,commercial_2024,44553,NA,NA,NA,commercial_2024_rows:44553,commercial_2024_apartment_unit_sum_rows:44553,commercial_2024_rows:44553,commercial_2024_rows:44553,972.047545659626,FALSE,2024,7450 N HERMITAGE CHICAGO,Multifamily-MidRise (4 to 12 floors),NA,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,exclude_outside_period,construction_year_outside_2006_2022,120,120,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,stable_2021_2024,120,stable_commercial_2021_2024_reports,FALSE,unit_count_resolved
