project_id,address_key,permit_chains,permits_with_unit_mentions,distinct_unit_counts,unit_counts,unit_contexts,resolved_address_units,address_resolution
commercial_11293000160000,1531 W HOWARD,1,2,2,7/38,"100702395: 38 [ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES.] || 100702395: 7 [ERECT NEW 5 STORY 1C BUILDING FOR 38 DWELLING UNITS (31 DWELLING W/7 EFFICIENCY UNITS), 1-RETAIL SPACE AND 19-AUTO PARKING SPACES W/40-BICYCLE SPACES. *SPRINKLER SYSTEM IS REQUIRED FOR] || 100758077: 38 [2395:NO CHANGE IN OCCUPANCY OF BUILDING. REPLACE 19 CAR GARAGE W/19 OPEN PARKING STALLS ON 6 STORY, 38 DU(31 DWELLING , 7 EFFICIENCY) W/(1) MERCANTILE SPACE, RELOCATE WATER ROOM,REPLACE STORAGE AREA W/FITN]",NA,conflicting_unit_counts
commercial_11323310340000,1209 W ARTHUR,3,2,1,152,"100217431: 152 [CONSTRUCT FOUNDATIONS ONLY FOR PROPOSED 152 UNIT APARTMENT BUILDING PER PLANS.] || 100221353: 152 [NEW CONSTRUCTION OF AN 8 STORY, 152 UNIT RESIDENTIAL BUILDING WITH GROUND FLOOR RETAIL AS PER PLANS]",152,single_unit_count
commercial_12242320280000,3638 N HARLEM,1,1,1,8,"100804920: 8 [ERECT NEW 4 STORY MASONRY BUILDING 8 DWELLING UNITS TYPE 3B CONSTRUCTION WITH 10 OUTDOOR PARKING SPACES, NEW MASONRY TRASH ENCLOSURE AND SITE WORK AS P]",8,single_unit_count
commercial_12242320280000,3644 N HARLEM,1,1,1,8,"100804925: 8 [ERECT NEW 4 STORY MASONRY BUILDING, 8 DWELLING UNITS TYPE 3B CONSTRUCTION, 10 OUTDOOR PARKING SPACES, NEW MASONRY TRASH ENCLOSURE AND SITE WORK AS PER P]",8,single_unit_count
commercial_13093170070000,5522 W HIGGINS,1,1,1,7,"100752414: 7 [ERECT A 3 STORY , IIIB MASONRY 7 UNIT APARMENT BUILDING WITH BASEMENT AND PARKING SPACES PER PLANS]",7,single_unit_count
commercial_13093170090000,5512 W HIGGINS,1,1,1,7,"100493445: 7 [ERECT 3 STORY ,IIB MASONRY 7 UNIT APARMRENT BUILDING WITH A BASEMENT ,AND 7 CAR PARKING]",7,single_unit_count
commercial_13114290270000,3300 W LAWRENCE,1,1,1,6,100211769: 6 [ERECT 6 D.U. WITH (2) FIRST FLOOR OFFICE SPACES MASONRY BUILDING. 6 EXTERIOR PARKING SPACES ON CONCRETE PAD.],6,single_unit_count
commercial_13132050020000,2515 W LAWRENCE,1,1,1,9,"100637003: 9 [OFFICE ON GROUND LEVEL AND 9 DU ABOVE: ERECT 4-STORY BUILDING WITH BASEMENT, ROOFTOP STAIRWAY AND ELEVATOR ENCLOSURES, COVERED AND]",9,single_unit_count
commercial_13142030200000,4730 N KIMBALL,1,1,1,59,"100202286: 59 [ERECT A 5 STORY STEEL, PRECAST CONCRETE PLANK, MASONRY VENEER, 59 DWELLING UNIT BUILDING WITH PARKING AND MERCANTILE USE ON THE FIRST FLOOR. CERTIFIED CORRECTIONS-CONDITIONAL PER]",59,single_unit_count
commercial_13143060050000,3508 N SACRAMENTO,1,1,1,6,"100484431: 6 [ERECT A NEW 3 STORY MASONRY BUILDING WITH BASEMENT, 6 RESIDENTIAL UNITS TYPE 3B CONSTRUCTION, ERECT (1 ) 6 CAR MASONRY DETACHED GARAGE 50' X 20', AS PER PLANS.]",6,single_unit_count
