File: official_building_footprints_2022.gpkg
Rows: 7447
Columns: 6
SHA-256 (saved bytes): c1f07d9b6de5e954571b17f6c9b220d4b1e6e03bbe632facce1dd62b143d8ce0
Key: not declared in this report
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

   column inferred_type non_missing distinct           min           max               mean                 sd
      fid        BIGINT        7447     7447             1          7447             3724.0 2149.9080600497005
 OBJECTID        BIGINT        7447     7447        411629       1578469  919521.9889888546 242015.84126189895
Area_SQFT        DOUBLE        7447     7447 102.201968137 188283.549528  2137.387823582027  5113.748231727112
     Year       VARCHAR        7447        1             -             -                  -                  -
   Height        DOUBLE        7447     6671          7.45       981.486 28.937255807707746 20.129134589501817
 GlobalID       VARCHAR        7447     7447             -             -                  -                  -
