File: reviewed_parcels_additional_2007.gpkg
Rows: 11
Columns: 7
SHA-256 (saved bytes): 839a7701b0aefee50c6a1a1dbdddbfea0b91dc78fe7ba61869a98902286e5b33
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct   min     max              mean                sd
           fid        BIGINT          11       11     1      11               6.0   3.3166247903554
   target_year        BIGINT          11        1  2007    2007            2007.0               0.0
      layer_id        DOUBLE          11        1   7.0     7.0               7.0               0.0
     object_id        BIGINT          11       11 41718 1571674 645717.5454545454 514321.6449692475
         pin14       VARCHAR          11       11     -       -                 -                 -
         pin10       VARCHAR          11       11     -       -                 -                 -
geometry_valid        BIGINT          11        1     1       1               1.0               0.0
