File: reviewed_parcels_additional_2008.gpkg
Rows: 27
Columns: 7
SHA-256 (saved bytes): 8efc24c3a0095fff5f76380a625d488715cd356d53ae9b944522f12e8de46658
Key: target_year, object_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

        column inferred_type non_missing distinct    min     max             mean                sd
           fid        BIGINT          27       27      1      27             14.0 7.937253933193772
   target_year        BIGINT          27        1   2008    2008           2008.0               0.0
      layer_id        DOUBLE          27        1    8.0     8.0              8.0               0.0
     object_id        BIGINT          27       27 170742 1399481 960028.074074074 538272.3753297656
         pin14       VARCHAR          27       27      -       -                -                 -
         pin10       VARCHAR          27       27      -       -                -                 -
geometry_valid        BIGINT          27        1      1       1              1.0               0.0
