pin,pin10,year,lon,lat,x_3435,y_3435,row_id
10253280110000,1025328011,2013,-87.70150468845371,42.01358096553596,1155952.9250654436,1948172.602386597,102532801100002013
10253280110000,1025328011,2014,-87.70150468845371,42.01358096553596,1155952.9250654436,1948172.602386597,102532801100002014
10253280110000,1025328011,2015,-87.70150468845371,42.01358096553596,1155952.9250654436,1948172.602386597,102532801100002015
10253280110000,1025328011,2016,-87.70150468830683,42.01358096528511,1155952.9251060374,1948172.6022954818,102532801100002016
10253280110000,1025328011,2017,-87.70150468830683,42.01358096528511,1155952.9251060374,1948172.6022954818,102532801100002017
10253280110000,1025328011,2018,-87.70150468819887,42.0135809651848,1155952.9251356483,1948172.6022591414,102532801100002018
10253280120000,1025328012,2013,-87.70128167616711,42.01358691685111,1156013.514134193,1948175.2184972984,102532801200002013
10253280120000,1025328012,2014,-87.70128167616711,42.01358691685111,1156013.514134193,1948175.2184972984,102532801200002014
10253280120000,1025328012,2015,-87.70128167616711,42.01358691685111,1156013.514134193,1948175.2184972984,102532801200002015
10253280120000,1025328012,2016,-87.70128167511793,42.013586921964375,1156013.5144055577,1948175.2203627168,102532801200002016
10253280120000,1025328012,2017,-87.70128167511793,42.013586921964375,1156013.5144055577,1948175.2203627168,102532801200002017
10253280120000,1025328012,2018,-87.70128167499821,42.013586922145585,1156013.5144376063,1948175.2204289897,102532801200002018
13113220280000,1311322028,2016,-87.72649374903119,41.96920597178052,1149276.567679096,1931952.9793643884,131132202800002016
13113220280000,1311322028,2017,-87.72649374903119,41.96920597178052,1149276.567679096,1931952.9793643884,131132202800002017
13113220280000,1311322028,2018,-87.72649374937855,41.969205971751954,1149276.5675847076,1931952.9793533098,131132202800002018
13113220280000,1311322028,2019,-87.72649374937855,41.969205971751954,1149276.5675847076,1931952.9793533098,131132202800002019
13113220280000,1311322028,2020,-87.72649374937855,41.969205971751954,1149276.5675847076,1931952.9793533098,131132202800002020
13113220280000,1311322028,2021,-87.72649374937855,41.969205971751954,1149276.5675847076,1931952.9793533098,131132202800002021
13113220280000,1311322028,2022,-87.72649374937855,41.969205971751954,1149276.5675847076,1931952.9793533098,131132202800002022
13113220280000,1311322028,2023,-87.72649374937855,41.969205971751954,1149276.5675847076,1931952.9793533098,131132202800002023
13113220280000,1311322028,2024,-87.72649374937855,41.969205971751954,1149276.5675847076,1931952.9793533098,131132202800002024
13154070500000,1315407050,2025,NA,NA,NA,NA,131540705000002025
13154070510000,1315407051,2025,NA,NA,NA,NA,131540705100002025
