selected_address,address_query,response_json
1144 N HUDSON AVE,"1144 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1144 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640111910529,""y"":41.900932274676},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1144 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1146 N HUDSON AVE,"1146 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1146 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640112569175,""y"":41.900951093193},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1146 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1148 N HUDSON AVE,"1148 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1148 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640113227821,""y"":41.90096991171},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1148 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1150 N HUDSON AVE,"1150 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1150 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640113886467,""y"":41.900988730227},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1150 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1152 N HUDSON AVE,"1152 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1152 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640114545113,""y"":41.901007548744},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1152 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1154 N HUDSON AVE,"1154 N HUDSON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1154 N HUDSON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""641806707""},""coordinates"":{""x"":-87.640115203759,""y"":41.90102636726},""addressComponents"":{""zip"":""60610"",""streetName"":""HUDSON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1198"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1100"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1154 N HUDSON AVE, CHICAGO, IL, 60610""}]}}"
1234 W MONROE ST 1-10,"1234 W MONROE ST 1-10, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1234 W MONROE ST 1-10, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605106936""},""coordinates"":{""x"":-87.658428275673,""y"":41.880368547361},""addressComponents"":{""zip"":""60607"",""streetName"":""MONROE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""1214"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1246"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1234 W MONROE ST, CHICAGO, IL, 60607""}]}}"
1236 N TROY ST,"1236 N TROY ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1236 N TROY ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605044780""},""coordinates"":{""x"":-87.704495020743,""y"":41.865427865894},""addressComponents"":{""zip"":""60623"",""streetName"":""TROY"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""S"",""suffixDirection"":"""",""fromAddress"":""1200"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1298"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1236 S TROY ST, CHICAGO, IL, 60623""}]}}"
1268 N MARION CT,"1268 N MARION CT, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1268 N MARION CT, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111764737""},""coordinates"":{""x"":-87.673934092787,""y"":41.904789429507},""addressComponents"":{""zip"":""60622"",""streetName"":""MARION"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1200"",""state"":""IL"",""suffixType"":""CT"",""toAddress"":""1298"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1268 N MARION CT, CHICAGO, IL, 60622""}]}}"
1270 N MARION CT,"1270 N MARION CT, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1270 N MARION CT, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111764737""},""coordinates"":{""x"":-87.673935107218,""y"":41.904833195133},""addressComponents"":{""zip"":""60622"",""streetName"":""MARION"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1200"",""state"":""IL"",""suffixType"":""CT"",""toAddress"":""1298"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1270 N MARION CT, CHICAGO, IL, 60622""}]}}"
