selected_address,address_query,response_json
15 N BISHOP ST,"15 N BISHOP ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""15 N BISHOP ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""111765505""},""coordinates"":{""x"":-87.66362428088,""y"":41.881778793339},""addressComponents"":{""zip"":""60607"",""streetName"":""BISHOP"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""99"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""15 N BISHOP ST, CHICAGO, IL, 60607""}]}}"
1763 N WILMOT AVE,"1763 N WILMOT AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1763 N WILMOT AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""657179306""},""coordinates"":{""x"":-87.680701681922,""y"":41.913559250435},""addressComponents"":{""zip"":""60647"",""streetName"":""WILMOT"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1743"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1799"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1763 N WILMOT AVE, CHICAGO, IL, 60647""}]}}"
1800 N SPAULDING AVE,"1800 N SPAULDING AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1800 N SPAULDING AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""657137364""},""coordinates"":{""x"":-87.710262276622,""y"":41.913821470779},""addressComponents"":{""zip"":""60647"",""streetName"":""SPAULDING"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1898"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1800"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1800 N SPAULDING AVE, CHICAGO, IL, 60647""}]}}"
182 N LAMON AVE,"182 N LAMON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""182 N LAMON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111758278""},""coordinates"":{""x"":-87.747934029735,""y"":41.884161929945},""addressComponents"":{""zip"":""60644"",""streetName"":""LAMON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""100"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""198"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""182 N LAMON AVE, CHICAGO, IL, 60644""}]}}"
1831 N FREMONT ST,"1831 N FREMONT ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1831 N FREMONT ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605070981""},""coordinates"":{""x"":-87.650734410256,""y"":41.914626228641},""addressComponents"":{""zip"":""60614"",""streetName"":""FREMONT"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1811"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1899"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1831 N FREMONT ST, CHICAGO, IL, 60614""}]}}"
1838 N LOCKWOOD AVE,"1838 N LOCKWOOD AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1838 N LOCKWOOD AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""605046977""},""coordinates"":{""x"":-87.758349252665,""y"":41.913844445287},""addressComponents"":{""zip"":""60639"",""streetName"":""LOCKWOOD"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1800"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1898"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1838 N LOCKWOOD AVE, CHICAGO, IL, 60639""}]}}"
1839 N LOCKWOOD AVE,"1839 N LOCKWOOD AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1839 N LOCKWOOD AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605046977""},""coordinates"":{""x"":-87.75819533771,""y"":41.913847996636},""addressComponents"":{""zip"":""60639"",""streetName"":""LOCKWOOD"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1801"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1899"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1839 N LOCKWOOD AVE, CHICAGO, IL, 60639""}]}}"
184 N LAMON AVE,"184 N LAMON AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""184 N LAMON AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111758278""},""coordinates"":{""x"":-87.747935295448,""y"":41.884186400439},""addressComponents"":{""zip"":""60644"",""streetName"":""LAMON"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""100"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""198"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""184 N LAMON AVE, CHICAGO, IL, 60644""}]}}"
1840 N LOCKWOOD AVE,"1840 N LOCKWOOD AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1840 N LOCKWOOD AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""605046977""},""coordinates"":{""x"":-87.758349736886,""y"":41.91385606662},""addressComponents"":{""zip"":""60639"",""streetName"":""LOCKWOOD"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1800"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1898"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1840 N LOCKWOOD AVE, CHICAGO, IL, 60639""}]}}"
1841 N ORCHARD ST,"1841 N ORCHARD ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1841 N ORCHARD ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605232763""},""coordinates"":{""x"":-87.645915466964,""y"":41.915000879965},""addressComponents"":{""zip"":""60614"",""streetName"":""ORCHARD"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1801"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1999"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1841 N ORCHARD ST, CHICAGO, IL, 60614""}]}}"
1846 N LOCKWOOD AVE,"1846 N LOCKWOOD AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1846 N LOCKWOOD AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""605046977""},""coordinates"":{""x"":-87.758351198594,""y"":41.913891285613},""addressComponents"":{""zip"":""60639"",""streetName"":""LOCKWOOD"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1800"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1898"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1846 N LOCKWOOD AVE, CHICAGO, IL, 60639""}]}}"
1858 N LARAMIE AVE,"1858 N LARAMIE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1858 N LARAMIE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""618344109""},""coordinates"":{""x"":-87.755936961996,""y"":41.914784712781},""addressComponents"":{""zip"":""60639"",""streetName"":""LARAMIE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1858"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1998"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1858 N LARAMIE AVE, CHICAGO, IL, 60639""}]}}"
1901 S CALUMET AVE,"1901 S CALUMET AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1901 S CALUMET AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111769933""},""coordinates"":{""x"":-87.619055003307,""y"":41.856757019831},""addressComponents"":{""zip"":""60616"",""streetName"":""CALUMET"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""S"",""suffixDirection"":"""",""fromAddress"":""1801"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1999"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1901 S CALUMET AVE, CHICAGO, IL, 60616""}]}}"
1902 N LARAMIE AVE,"1902 N LARAMIE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1902 N LARAMIE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""618344109""},""coordinates"":{""x"":-87.755947854198,""y"":41.915057018558},""addressComponents"":{""zip"":""60639"",""streetName"":""LARAMIE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1858"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1998"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1902 N LARAMIE AVE, CHICAGO, IL, 60639""}]}}"
1904 N LARAMIE AVE,"1904 N LARAMIE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1904 N LARAMIE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""618344109""},""coordinates"":{""x"":-87.755948349299,""y"":41.915069396094},""addressComponents"":{""zip"":""60639"",""streetName"":""LARAMIE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1858"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1998"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1904 N LARAMIE AVE, CHICAGO, IL, 60639""}]}}"
1905 N BISSELL ST,"1905 N BISSELL ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1905 N BISSELL ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""111767121""},""coordinates"":{""x"":-87.652003238889,""y"":41.916121964041},""addressComponents"":{""zip"":""60614"",""streetName"":""BISSELL"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1901"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""1999"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1905 N BISSELL ST, CHICAGO, IL, 60614""}]}}"
1908 N LARAMIE AVE,"1908 N LARAMIE AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1908 N LARAMIE AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""618344109""},""coordinates"":{""x"":-87.755949339499,""y"":41.915094151164},""addressComponents"":{""zip"":""60639"",""streetName"":""LARAMIE"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""1858"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1998"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1908 N LARAMIE AVE, CHICAGO, IL, 60639""}]}}"
1909 S CALUMET AVE,"1909 S CALUMET AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""1909 S CALUMET AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111769933""},""coordinates"":{""x"":-87.619048329521,""y"":41.856659748357},""addressComponents"":{""zip"":""60616"",""streetName"":""CALUMET"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""S"",""suffixDirection"":"""",""fromAddress"":""1801"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""1999"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""1909 S CALUMET AVE, CHICAGO, IL, 60616""}]}}"
2006 W WEBSTER AVE,"2006 W WEBSTER AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2006 W WEBSTER AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""616886968""},""coordinates"":{""x"":-87.678104313327,""y"":41.921442975422},""addressComponents"":{""zip"":""60647"",""streetName"":""WEBSTER"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2000"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""2008"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2006 W WEBSTER AVE, CHICAGO, IL, 60647""}]}}"
208 E 25TH ST,"208 E 25TH ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""208 E 25TH ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""111714402""},""coordinates"":{""x"":-87.628048796659,""y"":41.492463917044},""addressComponents"":{""zip"":""60411"",""streetName"":""25TH"",""preType"":"""",""city"":""CHICAGO HTS"",""preDirection"":""E"",""suffixDirection"":"""",""fromAddress"":""208"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""298"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""208 E 25TH ST, CHICAGO HTS, IL, 60411""}]}}"
210 N HALSTED ST,"210 N HALSTED ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""210 N HALSTED ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111768100""},""coordinates"":{""x"":-87.64756367344,""y"":41.886086771972},""addressComponents"":{""zip"":""60661"",""streetName"":""HALSTED"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""200"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""212"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""210 N HALSTED ST, CHICAGO, IL, 60661""}]}}"
211 N HARBOR DR,"211 N HARBOR DR, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""211 N HARBOR DR, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[]}}"
212 N HALSTED ST,"212 N HALSTED ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""212 N HALSTED ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111768100""},""coordinates"":{""x"":-87.647564804929,""y"":41.886159187726},""addressComponents"":{""zip"":""60661"",""streetName"":""HALSTED"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""200"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""212"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""212 N HALSTED ST, CHICAGO, IL, 60661""}]}}"
2158 W WARREN BLVD,"2158 W WARREN BLVD, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2158 W WARREN BLVD, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605088254""},""coordinates"":{""x"":-87.680653777608,""y"":41.882223638471},""addressComponents"":{""zip"":""60612"",""streetName"":""WARREN"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2114"",""state"":""IL"",""suffixType"":""BLVD"",""toAddress"":""2198"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2158 W WARREN BLVD, CHICAGO, IL, 60612""}]}}"
2159 W WARREN BLVD,"2159 W WARREN BLVD, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2159 W WARREN BLVD, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""605088254""},""coordinates"":{""x"":-87.680668770991,""y"":41.882108719693},""addressComponents"":{""zip"":""60612"",""streetName"":""WARREN"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2113"",""state"":""IL"",""suffixType"":""BLVD"",""toAddress"":""2199"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2159 W WARREN BLVD, CHICAGO, IL, 60612""}]}}"
220 N HALSTED ST,"220 N HALSTED ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""220 N HALSTED ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""652590470""},""coordinates"":{""x"":-87.64756822966,""y"":41.886281949998},""addressComponents"":{""zip"":""60661"",""streetName"":""HALSTED"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""N"",""suffixDirection"":"""",""fromAddress"":""214"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""298"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""220 N HALSTED ST, CHICAGO, IL, 60661""}]}}"
2237 W COULTER ST,"2237 W COULTER ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2237 W COULTER ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""111802315""},""coordinates"":{""x"":-87.682883342278,""y"":41.846662936021},""addressComponents"":{""zip"":""60608"",""streetName"":""COULTER"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2201"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""2239"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2237 W COULTER ST, CHICAGO, IL, 60608""}]}}"
2415 W 36TH ST,"2415 W 36TH ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2415 W 36TH ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""604981421""},""coordinates"":{""x"":-87.685868587927,""y"":41.828382775773},""addressComponents"":{""zip"":""60632"",""streetName"":""36TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2409"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""2425"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2415 W 36TH ST, CHICAGO, IL, 60632""}]}}"
2419 W 36TH ST,"2419 W 36TH ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2419 W 36TH ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""604981421""},""coordinates"":{""x"":-87.685986576347,""y"":41.828379932685},""addressComponents"":{""zip"":""60632"",""streetName"":""36TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2409"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""2425"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2419 W 36TH ST, CHICAGO, IL, 60632""}]}}"
2421 W 36TH ST,"2421 W 36TH ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2421 W 36TH ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""604981421""},""coordinates"":{""x"":-87.686044338824,""y"":41.828377882276},""addressComponents"":{""zip"":""60632"",""streetName"":""36TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2409"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""2425"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2421 W 36TH ST, CHICAGO, IL, 60632""}]}}"
2425 W 36TH ST,"2425 W 36TH ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2425 W 36TH ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""604981421""},""coordinates"":{""x"":-87.686162253543,""y"":41.828373671042},""addressComponents"":{""zip"":""60632"",""streetName"":""36TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2409"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""2425"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2425 W 36TH ST, CHICAGO, IL, 60632""}]}}"
2430 W BROSS AVE,"2430 W BROSS AVE, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2430 W BROSS AVE, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""R"",""tigerLineId"":""605510504""},""coordinates"":{""x"":-87.685592246076,""y"":41.833535753883},""addressComponents"":{""zip"":""60608"",""streetName"":""BROSS"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2400"",""state"":""IL"",""suffixType"":""AVE"",""toAddress"":""2448"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2430 W BROSS AVE, CHICAGO, IL, 60608""}]}}"
2433 W 36TH ST,"2433 W 36TH ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2433 W 36TH ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""604981431""},""coordinates"":{""x"":-87.686357080674,""y"":41.828370862358},""addressComponents"":{""zip"":""60632"",""streetName"":""36TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2427"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""2499"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2433 W 36TH ST, CHICAGO, IL, 60632""}]}}"
2437 W 36TH ST,"2437 W 36TH ST, Chicago, IL","{""result"":{""input"":{""address"":{""address"":""2437 W 36TH ST, Chicago, IL""},""benchmark"":{""isDefault"":true,""benchmarkDescription"":""Public Address Ranges - Current Benchmark"",""id"":""4"",""benchmarkName"":""Public_AR_Current""}},""addressMatches"":[{""tigerLine"":{""side"":""L"",""tigerLineId"":""604981431""},""coordinates"":{""x"":-87.68638204746,""y"":41.82837086236},""addressComponents"":{""zip"":""60632"",""streetName"":""36TH"",""preType"":"""",""city"":""CHICAGO"",""preDirection"":""W"",""suffixDirection"":"""",""fromAddress"":""2427"",""state"":""IL"",""suffixType"":""ST"",""toAddress"":""2499"",""suffixQualifier"":"""",""preQualifier"":""""},""matchedAddress"":""2437 W 36TH ST, CHICAGO, IL, 60632""}]}}"
