target_year,reference_x_3435,reference_y_3435
2006,1123906.962926264,1949720.200967388
2006,1125455.053146906,1919590.9621956395
2006,1126101.303788168,1920166.7670427563
2006,1126601.3630975604,1921427.4599168024
2006,1126602.169792512,1921402.3600257572
2006,1128086.2402729942,1916217.6500000777
2006,1128087.049895801,1916192.6299354031
2006,1128381.9716077596,1941522.3011334825
2006,1129791.0514891886,1937916.3371703257
2006,1130844.069916658,1936324.680061282
2006,1131586.998737496,1860708.6934443456
2006,1131601.159979024,1860714.1091494896
2006,1131611.2268974753,1860709.3629864147
2006,1131626.6527085782,1918804.1774759935
2006,1131628.1011227786,1918751.4143134935
2006,1131632.7723739936,1860709.960295129
2006,1131652.876239909,1918804.784016759
2006,1131654.1415440403,1918752.0136437044
2006,1131654.3394750915,1860710.5463060327
2006,1131672.8003039644,1918805.281837288
2006,1131674.0656188854,1918752.510667106
2006,1131675.917321938,1860711.1446121533
2006,1131692.7242954248,1918805.7797648872
2006,1131693.989687669,1918753.0077863275
2006,1131698.5096792704,1860711.786494542
2006,1131712.6483660236,1918806.2776542515
2006,1131713.9136876485,1918753.5047863263
2006,1131732.5723662064,1918806.77553132
2006,1131733.83767981,1918754.0018473123
2006,1131752.496366392,1918807.2734083908
2006,1131753.761687606,1918754.498911325
2006,1131772.4203665832,1918807.7712854552
2006,1131773.6856875853,1918754.9959113256
2006,1131792.3443603949,1918808.2690983135
2006,1131793.60967975,1918755.4929723132
2006,1131812.268367599,1918808.7670458336
2006,1131813.533679729,1918755.9900973125
2006,1131833.2629548705,1918809.2280104903
2006,1131834.6974190592,1918756.449501659
2006,1131932.3741963927,1860805.572426564
2006,1131933.1473652474,1860783.1259451103
2006,1131933.8297956584,1860763.5994487496
2006,1131934.4926617665,1860744.0724856255
2006,1131935.1547712171,1860724.5629064916
2006,1131936.0120514326,1860699.8892280303
2006,1132001.178759658,1860807.58764978
2006,1132001.9475535676,1860785.2710189808
2006,1132002.6197953897,1860765.7529972403
2006,1132003.2921813128,1860746.235010302
2006,1132003.9645001348,1860726.7170273652
2006,1132004.8162005374,1860701.911655109
2006,1132050.0803368725,1860788.1550659495
2006,1132052.3242690444,1860721.5217976505
2006,1132073.3865373423,1860788.7938090132
2006,1132075.5803327886,1860722.1646753112
2006,1132094.9485269857,1860789.384685322
2006,1132097.1924151548,1860722.758780288
2006,1132116.495564761,1860789.9750083792
2006,1132118.789341865,1860723.352280729
2006,1132138.0875619696,1860790.56674745
2006,1132140.3763626183,1860723.9454457911
2006,1132162.4585325934,1860791.2345596245
2006,1132164.747538944,1860724.6150787256
2006,1132993.52260119,1922275.1297358645
2006,1133004.0334172703,1918781.577585418
2006,1133004.9734730402,1918751.5327249465
