target_year,reference_x_3435,reference_y_3435
2006,1131752.4963745505,1918807.2739756368
2006,1131753.7616876068,1918754.4990363268
2006,1131772.4203431748,1918807.7717195463
2006,1131773.685687586,1918754.9960363256
2006,1131792.344374529,1918808.2694756333
2006,1131793.6096875656,1918755.4930363249
2006,1131812.2683431474,1918808.767219545
2006,1131813.5336875431,1918755.990036324
2006,1131833.2629287736,1918809.2280545277
2006,1131834.6973495707,1918756.449387936
2006,1132993.522625173,1922275.129796404
2006,1133004.0334775078,1918781.5775903524
2006,1133004.973477516,1918751.5325900775
2006,1135397.2007046912,1861015.064584487
2006,1135399.6497705232,1860949.132121268
2006,1135425.4020595758,1861016.1147881993
2006,1135450.4408031406,1861016.867697168
2006,1135452.681163598,1860951.036797288
2006,1135482.5388548928,1861018.0389932813
2006,1135484.858195103,1860952.0604416968
2006,1136091.103870459,1930547.2216421328
2006,1137516.9626729635,1901138.2959106597
2006,1137517.7400000002,1901113.3159999996
2006,1137518.5200000007,1901088.3260000013
2006,1137856.5149999997,1930257.0800000012
2006,1137881.505,1930257.679999998
2006,1138434.2473701774,1914656.92030785
2006,1138971.3503104832,1930449.9452691595
2006,1138995.2999999998,1930450.519999998
2006,1139064.9199999997,1930784.5500000007
2006,1139187.5945283177,1930103.251866416
2006,1139217.5800000003,1930103.9599999995
2006,1140357.4345946468,1898376.054844042
2006,1140383.424794128,1898376.653247022
2006,1140501.4381132696,1929777.5492851995
2006,1142268.7876264125,1937841.3942126215
2006,1142312.7760313845,1937835.2186643416
2006,1142705.9134451994,1900172.112257745
2006,1142729.7759824474,1900172.7268215516
2006,1142753.637511033,1900173.2789070131
2006,1142777.496873818,1900173.8919410536
2006,1142801.3593576767,1900174.453352773
2006,1143959.8499999996,1932263.9399999976
2006,1143975.5807564696,1932283.36311659
2006,1144147.8656704896,1927814.6936900793
2006,1144165.8197834245,1927730.4821507528
2006,1144169.577425271,1927395.348956188
2006,1144176.405644833,1927680.8143362347
2006,1144200.5947404,1898659.306051141
2006,1144228.7092632628,1898660.007123713
2006,1144230.703418216,1927391.1771829491
2006,1144256.4593453822,1927395.455751779
2006,1144306.063709028,1927396.4637465351
2006,1144688.4145447132,1933252.0210605543
2006,1144704.2641776374,1933271.3599611952
2006,1145058.3766269395,1926110.891438028
