target_year,reference_x_3435,reference_y_3435
2017,1185965.8081296396,1874504.638866658
2017,1185979.9941967574,1874488.8745351152
2017,1185993.0570276263,1874474.3797214036
2017,1186006.1042199235,1874459.924546215
2017,1186014.089870287,1874548.152743478
2017,1186019.6301418657,1874444.888775608
2017,1186028.2802846066,1874532.4093459249
2017,1186041.3049107958,1874517.9272366457
2017,1186054.3419894043,1874503.4797091433
2017,1186067.7550247514,1874596.5001617551
2017,1186067.9068555357,1874488.418285948
2017,1186081.9428736467,1874580.7507769184
2017,1186094.989950096,1874566.2890165795
2017,1186108.0010420417,1874551.8284441005
2017,1186116.9007623391,1874639.0682415331
2017,1186121.54997125,1874536.7561659836
2017,1186130.2745784584,1874624.2448650296
2017,1186143.3460531926,1874609.7676175684
2017,1186156.3788010392,1874595.3233668385
2017,1186169.9069446789,1874580.295884339
