target_year,reference_x_3435,reference_y_3435
2006,1131640.7472867416,1860743.564189186
2006,1135096.9267002519,1866833.6248517828
2006,1135096.9270165574,1866833.6248007026
2006,1135096.9270339115,1866833.6248482354
2006,1139508.91686823,1867341.0804682102
2006,1139508.9168685644,1867341.0804994248
2006,1149039.401752993,1892985.204774824
2006,1153762.1332181077,1911891.4843728372
2006,1159361.8466919125,1916824.0239389758
2006,1159362.94256979,1916792.8492423687
2006,1161791.9310000015,1900227.4509999992
2006,1161821.8208407217,1900228.3112076595
2006,1167981.1462315423,1899821.6107084267
2006,1171331.0949090787,1893000.6783653717
2006,1171421.0703697978,1912404.6291264175
2006,1171488.764499999,1892701.8245000022
2006,1171501.5267442416,1892892.1608275026
2006,1172450.342829715,1908043.9506728388
2006,1172451.1963825705,1908017.9591120055
2006,1172451.9357290296,1907997.7456955719
2006,1172452.419643933,1907977.9999977513
2006,1172453.0398283692,1907961.9883696511
2006,1172453.5362601015,1907946.996431861
2006,1172454.155682132,1907927.6853266025
2006,1172512.00311462,1907944.8525078332
2006,1172528.1620336168,1907945.3057307687
2006,1172543.1670360523,1907946.4394642736
2006,1172558.5920224576,1907945.3804137467
2006,1172577.6187139275,1907946.9990004261
2006,1172597.207439325,1907947.0812113555
2006,1172613.1990241006,1907947.693553763
2006,1172633.0176025385,1907948.1613443978
2006,1172712.4831289516,1907950.5470630156
2006,1172734.653760818,1907951.0845339885
2006,1172752.1470954914,1907951.574306465
2006,1172769.140595192,1907952.0498064593
2006,1172785.1344990684,1907952.497295228
2006,1172800.12847608,1907952.9170359275
2006,1172816.1220943548,1907953.3648062134
2006,1172835.3725173248,1907953.9011800233
2006,1172892.463826805,1908055.8289640332
2006,1172893.4818702491,1908031.245173792
2006,1172893.7133109565,1908011.039745763
2006,1172894.7132653736,1907991.4021994192
2006,1172895.1309861145,1907959.9035996464
2006,1172895.6667554362,1907975.0034864736
2006,1172896.285643724,1907940.566710741
2006,1179130.5666188404,1887428.0100520607
2006,1181688.3972071637,1879359.9772984122
2006,1181688.3972342424,1879359.9774886412
2006,1183584.6621877593,1861965.7044856455
2006,1183585.2956306497,1861940.7096933727
2006,1185393.5375837625,1856256.1871792164
2006,1186478.7790006783,1862513.5149562655
2006,1186480.524007943,1862538.5581673363
2007,1140138.7471528603,1912091.3175562357
2007,1140165.3560000004,1912091.5865000014
2007,1140269.323999998,1912094.104999998
2007,1140321.3079999988,1912095.3644999992
2007,1140736.258476648,1911964.5462716168
2007,1140737.8769765259,1911912.5717796206
2007,1140738.685785301,1911886.5812943236
2007,1140878.4619999956,1911915.9845000044
2007,1140986.428539143,1912118.8392267623
2007,1141038.3284828472,1912118.6912399863
2007,1141090.312482847,1912119.942239987
2007,1141194.2805000013,1912122.4430000007
2007,1141318.365606291,1912191.3122453894
2007,1141318.3656405215,1912191.3121897604
2007,1141319.1830615997,1912163.9007887517
2007,1141319.9575612904,1912137.912798939
2007,1141321.5086706837,1912085.9125782815
2007,1141321.5087163467,1912085.912574913
2007,1141321.5087331259,1912085.9125798033
2007,1141321.5088006593,1912085.9125703452
