File: sales_with_hedonics.parquet
Rows: 222505
Columns: 63
SHA-256 (saved bytes): f36a69d9f435aea5bffd70d1af81958a9bffdb97002c46c86c394f630a547c41
Key: row_id
Types: Stored Parquet schema.
Distinct counts: approximate (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                      column inferred_type  non_missing  distinct                 min                max                  mean                    sd
                         pin       VARCHAR       222505    173586                   -                  -                     -                     -
                    tax_year       INTEGER       222505        19                2006               2022    2014.5107211073907      5.31062613536108
           improvement_class       INTEGER       222505        13                 202                297    214.20012583986878     24.21522838599237
               num_buildings       INTEGER       222505         1                   1                  1                   1.0                   0.0
            is_multibuilding       BOOLEAN       222505         1                   -                  -                     -                     -
                is_multiland       BOOLEAN       222505         2                   -                  -                     -                     -
               num_landlines       INTEGER       222505         4                   1                  4      1.00889418215321   0.10023249887425356
      tieback_proration_rate        DOUBLE       222505         1                 1.0                1.0                   1.0                   0.0
         card_proration_rate        DOUBLE       222274         3                 0.0               0.75 5.623689680304489e-06 0.0019119056231165082
                  year_built       INTEGER       222502       192                1843               2022     1933.258065096044     34.00699699492435
               building_sqft        DOUBLE       222505      7127               400.0            27270.0     1871.659720006292      1154.95515697642
                   land_sqft        DOUBLE       222447      9771               245.0            70463.0    3882.4025138572333    1464.7670040190783
                   num_rooms        DOUBLE       222500        53                 2.0               64.0     7.659721348314607     4.356460681510015
                num_bedrooms        DOUBLE       222504        25                 1.0               90.0     3.802295689066264    1.9973387004682492
              num_full_baths        DOUBLE       222504        13                 1.0               14.0    1.7935273073742495     1.038594993008783
              num_half_baths        DOUBLE       222457        10                 0.0                8.0    0.3026967009354617    0.5430388380217867
              num_fireplaces        DOUBLE       222356        11                 0.0                9.0    0.1945753656298908    0.5554284890022109
              num_apartments       INTEGER       215969         6                   0                  6    0.7237196079066903    1.2891643930871406
                 garage_size        DOUBLE       222503         9                 0.0                4.0    1.3543817386731865    0.8744799188721545
            hedonic_tax_year       INTEGER       222505        19                2006               2022    2014.5107211073907      5.31062613536108
                      row_id       INTEGER       222505    209335             7087411           98484848     80331075.81434125     35208443.11080662
           sale_document_num        BIGINT       222505    168874           600632144         7901008166    1477148946.2091773     532817429.4513127
                        year        DOUBLE       222505        17              2006.0             2022.0    2014.5107211073907      5.31062613536108
                   sale_date          DATE       222505      3739                   -                  -                     -                     -
                  sale_price        DOUBLE       222505    106451    10815.0808066276    29682344.150367     427413.3241503566    430085.84704687574
          sale_price_nominal       INTEGER       222505      9764               10090           22700000     359110.2123233186     362463.7084180333
    sale_price_real_2022_raw        DOUBLE       222505    106451    10815.0808066276    29682344.150367     427413.3241503566    430085.84704687574
sale_price_cpi_chi_all_items        DOUBLE       222505       212               197.2            278.415    229.70076619406117     20.35916082224883
 sale_price_deflator_to_2022        DOUBLE       222505       199   0.981829582936743   1.38618703515889     1.199291769591068   0.10485142714054865
                       class       INTEGER       222505        13                 202                295     214.2047414664839     24.22235460287535
                    latitude        DOUBLE       222505    156126    41.6448707351796   42.0226431371196     41.85463367357333   0.09940415621734469
                   longitude        DOUBLE       222505    206875   -87.8461794943848  -87.5248067824485    -87.69499660433861   0.06393567396359555
           coordinate_source       VARCHAR       222505         1                   -                  -                     -                     -
             coordinate_year       INTEGER       222505        19                2006               2022    2014.5107211073907      5.31062613536108
                        ward       INTEGER       222505        45                   1                 50    25.403370710770545    13.502446787454668
               neighbor_ward       INTEGER       222505        45                   1                 50     24.75170445607964    13.922100790158826
                ward_pair_id       VARCHAR       222505       138                   -                  -                     -                     -
                  segment_id       VARCHAR       136307      2360                   -                  -                     -                     -
                      dist_m        DOUBLE       222505    160493   0.311350136612877     8682.014549416     569.3064518982926     752.8345896207579
               signed_dist_m        DOUBLE       222056    196235   -8634.58691687031     8682.014549416    132.97081460887955     934.7229887209072
                        sign       INTEGER       222056         2                  -1                  1     0.075233274489318    0.9971682066276709
                alderman_own       VARCHAR       222295       111                   -                  -                     -                     -
           alderman_neighbor       VARCHAR       222280       111                   -                  -                     -                     -
              strictness_own        DOUBLE       222290       112 -3.4455760928315984 3.3357244289705767   0.15160874890704976    0.9136896044798074
         strictness_neighbor        DOUBLE       222271       112 -3.4455760928315984 3.3357244289705767   0.06974194662809408    0.9175188599331195
            same_party_names       BOOLEAN       222505         2                   -                  -                     -                     -
           resale_within_365       BOOLEAN       222505         2                   -                  -                     -                     -
    days_since_previous_sale       INTEGER        86948      5830                   1               6191    1462.7279408382021    1347.3285841797929
                   sale_year        DOUBLE       222505        17              2006.0             2022.0    2014.5107211073907      5.31062613536108
                building_age        DOUBLE       222502       191                 0.0              177.0     81.25256851623806     34.10047154868079
                 baths_total        DOUBLE       222504        21                 1.0               14.0    1.9448436882033582     1.093207339435672
                  has_garage       INTEGER       222505         2                   0                  1    0.7575020786049752    0.4285948029133718
  improvement_class_mismatch       BOOLEAN       222505         2                   -                  -                     -                     -
      baseline_sale_eligible       BOOLEAN       222505         1                   -                  -                     -                     -
                    log_sqft        DOUBLE       222505      7122   5.991464547107982 10.213542475839635     7.400638664314014   0.49186857639163273
               log_land_sqft        DOUBLE       222447      7834   5.501258210544727  11.16284302833769      8.19857972162024    0.3786147957880502
            log_building_age        DOUBLE       222250       144                 0.0  5.176149732573829     4.206509952624618    0.8247035082857956
                log_bedrooms        DOUBLE       222504        24                 0.0  4.499809670330265     1.241978611572891    0.4083807584293994
                   log_baths        DOUBLE       222504        27                 0.0 2.6390573296152584    0.5398276802545865    0.4840680322858977
                year_quarter       VARCHAR       222505        57                   -                  -                     -                     -
                  year_month       VARCHAR       222505       219                   -                  -                     -                     -
     price_per_building_sqft        DOUBLE       222505    155918  1.4903129657228018   4870.12987012987    200.80190017093366    138.84700751838264
       price_outside_p01_p99       BOOLEAN       222505         2                   -                  -                     -                     -
