analysis,outcome,estimate,std_error,p_value,ci_low,ci_high,input_n,n,alderman_pairs,ward_pairs,scenario,selected_pairs,selected_observations,percent_effect,percent_low,percent_high
density_multifamily,density_far,-0.13756551413885149,0.07000699595784798,0.052602023880647004,-0.2767119990738427,0.0015809707961397246,863,863,161,88,baseline,0,0,-12.85227459549452,-24.172715105098952,0.1582221189327062
density_multifamily,density_dupac,-0.1906915724078157,0.1080180806909645,0.08101085495209262,-0.40538920415053314,0.02400605933490177,863,863,161,88,baseline,0,0,-17.361257046578082,-33.32827287743936,2.4296524427497994
density_multifamily,density_far,-0.07313478618773497,0.07879843563956525,0.35640151030981004,-0.23017984194200522,0.08391026956653527,539,539,109,74,drop_disagreements,52,324,-7.05244588824049,-20.560927511464936,8.753130477515455
density_multifamily,density_dupac,-0.12202684789425372,0.1060676765130304,0.25370830226475183,-0.33341942233453814,0.08936572654603073,539,539,109,74,drop_disagreements,52,324,-11.487539554816053,-28.35303722359262,9.348049805121118
density_multifamily,density_far,-0.01972735791086626,0.0928908656769573,0.8323141248538176,-0.20435801181436453,0.16490329599263198,863,863,161,88,reverse_disagreements,52,324,-1.9534046844975772,-18.482952172208932,17.927907218501588
density_multifamily,density_dupac,0.02136370435253916,0.11249880494680897,0.849828609296599,-0.20223985202861183,0.24496726073369013,863,863,161,88,reverse_disagreements,52,324,2.159354209487123,-18.310103043235245,27.757948550517824
