stage,key,field,old,new
residential_project_candidate_inventory.csv,14283100240000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,14294010460000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,16022280470000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,19012210090000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,19093080290000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,20042010150000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,20153060450000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,20154020230000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,20222220160000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_project_candidate_inventory.csv,25223190160000,mechanical_status,ordinary_candidate,ordinary_history_review
residential_tieback_groups_full.csv,17063190130000,proration_sum,1,0.5
residential_tieback_groups_full.csv,17063190130000,mechanical_group_candidate,TRUE,FALSE
residential_tieback_groups_full.csv,17063190130000,review_reason,complete_stable_tieback,incomplete_proration
residential_tieback_groups_full.csv,17063190140000,proration_sum,1,0.5
residential_tieback_groups_full.csv,17063190140000,mechanical_group_candidate,TRUE,FALSE
residential_tieback_groups_full.csv,17063190140000,review_reason,complete_stable_tieback,incomplete_proration
residential_tieback_groups_full.csv,17071210020000,proration_sum,1,0.4
residential_tieback_groups_full.csv,17071210020000,mechanical_group_candidate,TRUE,FALSE
residential_tieback_groups_full.csv,17071210020000,review_reason,complete_stable_tieback,incomplete_proration
residential_tieback_groups_full.csv,17071210480000,proration_sum,1,0.6
residential_tieback_groups_full.csv,17071210480000,mechanical_group_candidate,TRUE,FALSE
residential_tieback_groups_full.csv,17071210480000,review_reason,complete_stable_tieback,incomplete_proration
residential_tieback_groups_full.csv,17202330260000,proration_sum,0.7,0.3
residential_tieback_groups_full.csv,17202330270000,proration_sum,0.3,0.7
residential_tieback_members_full.csv,16133130160000,card_proration_rate,0,0.5
residential_tieback_members_full.csv,17063190130000,pin_proration_rate,1,0.5
residential_tieback_members_full.csv,17063190140000,pin_proration_rate,1,0.5
residential_tieback_members_full.csv,17071210020000,pin_proration_rate,1,0.6
residential_tieback_members_full.csv,17071210480000,pin_proration_rate,1,0.4
residential_tieback_members_full.csv,17072100200000,card_proration_rate,0,0.5
residential_tieback_members_full.csv,17072100200000,building_sqft,0,3391
residential_tieback_members_full.csv,17202330260000,pin_proration_rate,0.3,0.7
residential_tieback_members_full.csv,17202330260000,card_proration_rate,0,0.7
residential_tieback_members_full.csv,17202330270000,pin_proration_rate,0.7,0.3
residential_tieback_members_full.csv,17202330270000,card_proration_rate,0,0.3
residential_multicard_cards.csv,17061260420000,num_apartments,NA,0
