pin,tax_year,year_built,class,building_sqft,land_sqft,num_apartments,row_id,dist_to_boundary_m,boundary_assignment_status
14204040300000,2026,2019,211,9434,2812,6,1420404030000012026,297.9711473520584,assigned
17073250521001,2026,2007,278,3025,2827,0,1707325052100112026,263.3835729801362,assigned
17093140230000,2026,2015,211,15900,3255,4,1709314023000012026,NA,no_accepted_coordinate
17194230070000,2026,2022,211,7394,3125,6,1719423007000012026,635.8196449094991,assigned
17194230080000,2026,2022,211,7394,3125,6,1719423008000012026,635.8133878551598,assigned
19363210210000,2026,2014,278,3437,7500,0,1936321021000012026,2025.8304282181653,assigned
20032000620000,2026,2022,211,5434,5170,3,2003200062000012026,NA,no_accepted_coordinate
20032250580000,2026,2008,211,3660,2637,3,2003225058000012026,NA,no_accepted_coordinate
20033030390000,2026,2006,211,4976,3925,4,2003303039000012026,NA,no_accepted_coordinate
20033150520000,2026,2022,207,1740,2353,NA,2003315052000012026,736.1477812012372,assigned
20033150530000,2026,2022,207,1692,2524,NA,2003315053000012026,725.7191191657324,assigned
20194260300000,2026,2011,207,1707,3125,0,2019426030000012026,456.18934780061653,assigned
20251150220000,2026,2022,207,1776,3048,0,2025115022000012026,188.43801249994834,assigned
20251150230000,2026,2022,207,1776,3048,0,2025115023000012026,181.0072455994078,assigned
20251150240000,2026,2022,207,1776,3279,0,2025115024000012026,173.29453947897002,assigned
20261010240000,2026,2007,207,1846,3125,0,2026101024000012026,270.32548601047705,assigned
24242200150000,2026,2021,278,2756,7471,NA,2424220015000012026,1408.068689504919,assigned
25031190320000,2026,2006,208,3983,9835,NA,2503119032000012026,NA,no_accepted_coordinate
