attom_id,address
151219162,"2519 N ROCKWELL ST, CHICAGO, IL, 60647-1918"
174792928,"5845 W GUNNISON ST, CHICAGO, IL, 60630-3224"
175248113,"3918 W 56TH ST, CHICAGO, IL, 60629-4404"
43661342,"4132 N DRAKE AVE, CHICAGO, IL, 60618-2212"
175377734,"8856 S PARNELL AVE, CHICAGO, IL, 60620-2130"
18992648,"8336 S MAY ST, CHICAGO, IL, 60620-3113"
11914053,"447 E 79TH ST, CHICAGO, IL, 60619-2819"
175168340,"2342 S TROY ST, CHICAGO, IL, 60623-3423"
4222831,"2710 W 39TH PL, CHICAGO, IL, 60632-1134"
176311664,"3542 N BELL AVE, CHICAGO, IL, 60618-6020"
43633151,"6530 S KARLOV AVE, CHICAGO, IL, 60629-5124"
149260601,"2522 N NEWLAND AVE, CHICAGO, IL, 60707-2132"
175003950,"4747 W PETERSON AVE, CHICAGO, IL, 60646-5769"
142877286,"7876 W CAHILL TER, CHICAGO, IL, 60634-2143"
8246363,"1936 W WABANSIA AVE, CHICAGO, IL, 60622-1360"
97521,"403 S HOMAN AVE, CHICAGO, IL, 60624-3351"
110309,"523 W 104TH ST, CHICAGO, IL, 60628-2416"
175114151,"2128 N SEDGWICK ST, CHICAGO, IL, 60614-4674"
145198134,"4018 W 58TH PL, CHICAGO, IL, 60629-4510"
4149480,"5815 S PERRY AVE, CHICAGO, IL, 0"
175314971,"8616 S WOOD ST, CHICAGO, IL, 60620-4805"
204297573,"3758 W 59TH ST, CHICAGO, IL, 60629-3962"
175229376,"3554 S PAULINA ST, CHICAGO, IL, 60609-1263"
175258506,"4746 S ROCKWELL ST, CHICAGO, IL, 60632-1405"
7299555,"4938 W SAINT PAUL AVE, CHICAGO, IL, 60639-4536"
175038882,"3737 N NEWLAND AVE, CHICAGO, IL, 60634-2357"
175216420,"5809 S SACRAMENTO AVE, CHICAGO, IL, 60629-2228"
38872230,"300 E 69TH ST, CHICAGO, IL, 60637-4602"
175335165,"8233 S STONY ISLAND AVE, CHICAGO, IL, 60617-1751"
38931800,"6031 N CALIFORNIA AVE, CHICAGO, IL, 60659-3915"
146748054,"2545 W MORSE AVE, CHICAGO, IL, 60645-4605"
205553065,"2117 W ARMITAGE AVE, CHICAGO, IL, 60647-4515"
31435346,"1330 W THORNDALE AVE, CHICAGO, IL, 60660-3306"
10453165,"5509 N CUMBERLAND AVE, CHICAGO, IL, 60656-4748"
174803306,"2511 N SAWYER AVE, CHICAGO, IL, 60647-1401"
51340364,"7239 S PEORIA ST, CHICAGO, IL, 60621-1633"
19109618,"11021 S GREEN ST, CHICAGO, IL, 60643-3809"
29122183,"7918 S PARNELL AVE, CHICAGO, IL, 60620-1748"
31855700,"6805 S ABERDEEN ST, CHICAGO, IL, 60621-1129"
53333050,"1539 S CENTRAL PARK AVE, CHICAGO, IL, 60623-2172"
175316938,"8350 S VERNON AVE, CHICAGO, IL, 60619-5707"
145509117,"4020 N PIONEER AVE, CHICAGO, IL, 60634-1029"
4722304,"7312 S MAPLEWOOD AVE, CHICAGO, IL, 60629-2074"
204247720,"3037 N KENNETH AVE, CHICAGO, IL, 60641-5305"
43687081,"7326 S CLYDE AVE, CHICAGO, IL, 60649-3109"
21413877,"7632 S CREGIER AVE, CHICAGO, IL, 60649-4012"
27386298,"7038 W 72ND ST, CHICAGO, IL, 60638-5909"
17824616,"2328 S AVERS AVE, CHICAGO, IL, 60623-3040"
148429546,"9604 S FOREST AVE, CHICAGO, IL, 60628-1408"
176196226,"8801 S GREENWOOD AVE, CHICAGO, IL, 60619-7044"
13102290,"2734 N MAGNOLIA AVE, CHICAGO, IL, 60614-1204"
25436298,"4901 N MEADE AVE, CHICAGO, IL, 60630-2903"
176159932,"5424 N BROADWAY ST, CHICAGO, IL, 60640-1704"
144430035,"1719 W THOME AVE, CHICAGO, IL, 60660-1112"
43665141,"6950 N OWEN AVE, CHICAGO, IL, 60631-1116"
174861659,"4632 S HERMITAGE AVE, CHICAGO, IL, 60609-3831"
142071337,"1129 E 94TH ST, CHICAGO, IL, 60619-7805"
54821052,"6301 N CENTRAL PARK AVE, CHICAGO, IL, 60659-1205"
23021821,"3855 N RICHMOND ST, CHICAGO, IL, 60618-3526"
155233379,"2549 W 116TH ST, CHICAGO, IL, 60655-1542"
43590226,"5927 W RICE ST, CHICAGO, IL, 60651-2539"
24001302,"8510 S CALUMET AVE, CHICAGO, IL, 60619-6026"
1379749,"12900 S MARQUETTE AVE, CHICAGO, IL, 60633-1748"
21917320,"5509 W THOMAS ST, CHICAGO, IL, 60651-2714"
18789657,"2648 N MENARD AVE, CHICAGO, IL, 60639-1222"
175046815,"4111 N MONITOR AVE, CHICAGO, IL, 60634-1716"
31922884,"6959 N LEOTI AVE, CHICAGO, IL, 60646-1101"
4202710,"130 S CANAL ST, CHICAGO, IL, 60606-3918"
79116,"9804 S DOBSON, CHICAGO, IL, 60644"
28988735,"5516 S AUSTIN AVE, CHICAGO, IL, 60638-2604"
21411399,"1444 N WESTERN AVE, CHICAGO, IL, 60622-2335"
175221344,"3548 S LOWE AVE, CHICAGO, IL, 60609-1623"
175167736,"4037 W CULLERTON ST, CHICAGO, IL, 60623-2845"
25137584,"3424 N HAMILTON AVE, CHICAGO, IL, 60618-6119"
175003846,"5766 N LINCOLN AVE, CHICAGO, IL, 60659-4734"
175070233,"3139 N KEATING AVE, CHICAGO, IL, 60641-5234"
175209946,"2933 S PARNELL AVE, CHICAGO, IL, 60616-3127"
43625648,"5009 W FLETCHER ST, CHICAGO, IL, 60641-5037"
31429453,"1202 N RITCHIE CT, CHICAGO, IL, 60610"
32470378,"3747 S HERMITAGE AVE, CHICAGO, IL, 60609-2004"
176242888,"1955 W 101ST ST, CHICAGO, IL, 60643-2002"
175314917,"8542 S WINCHESTER AVE, CHICAGO, IL, 60620-6009"
19597681,"1814 W NORWOOD ST, CHICAGO, IL, 60660-2474"
175212797,"940 W FULTON MARKET, CHICAGO, IL, 60607-1323"
31265888,"55 E JACKSON BLVD, CHICAGO, IL, 60604-4396"
