File: preferred_residential_project_centroids.gpkg
Rows: 12867
Columns: 6
SHA-256 (saved bytes): fd11516deb65145e3643df1a5c34dd142e3a733d09599bb42c50b7577e83bdef
Key: project_id
Types: SQLite attributes read through pandas; geometry excluded.
Distinct counts: exact (exact up to 100,000 rows).
Row counts, non-missing counts, and declared-key checks: exact.

                    column inferred_type non_missing distinct    min    max              mean                sd
                       fid        BIGINT       12867    12867      1  12867            6434.0  3714.52729159445
                project_id       VARCHAR       12867    12867      -      -                 -                 -
   project_geometry_source       VARCHAR       12867        7      -      -                 -                 -
   location_reference_year        DOUBLE       12867       20 2006.0 2025.0 2014.702028444859 6.699633624957319
location_reference_row_ids       VARCHAR        3423     3423      -      -                 -                 -
    location_reference_pin       VARCHAR        3416     3416      -      -                 -                 -
